报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.12,0.14,0.28,0.54,0.39,0.28,0.18,0.6,0.62,0.4,0.16,0.76,0.67,0.44,0.29,1.45,1.07,0.68,0.2,1.1,1.12,0.22,1.55,1.09,0.77,1.13,1.03,0.49,
每股净资产(元),4.7,4.53,11.35,11.1,10.92,10.92,10.88,10.71,10.81,10.63,10.6,10.46,10.39,10.15,20.3,20.04,19.64,19.35,19.36,19.17,5.72,4.82,4.6,0,3.82,3.45,2.59,1.77,
每股经营活动产生的现金流量净额(元),0,-0.01,-0.05,-0.23,-0.3,-0.49,0.01,-0.12,0.26,0.18,-0.01,0.31,0.1,-0.27,-0.36,-0.69,-0.87,-0.53,-0.47,-0.76,-1.91,-0.94,1.62,-0.72,-0.81,0.7,1.19,0.68,
主营业务收入(万元),15279,12167,6910,25431,14886,10105,7152,29131,18026,13756,7941,29256,20742,13911,7322,30406,17938,11082,4725,23608,14466,4136,22073,14352,9937,19968,11844,6679,
主营业务利润(万元),8578,6828,4288,12017,8792,5614,3479,15125,12268,9383,3754,15502,12974,7887,2965,13570,10054,5360,1920,11201,7893,1929,11066,7723,5333,8242,5699,2726,
营业利润(万元),4135,4768,4040,6980,5701,3874,2252,7277,8516,5842,2266,9216,9273,5658,1953,9282,6483,4105,1203,6480,5424,1076,7486,5367,3745,5450,3632,1364,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,126,-14,
营业外收支净额(万元),-81,13,23,29,28,5,19,283,-10,21,12,401,53,24,21,302,186,184,-0,565,0,0,259,166,154,154,240,-25,
利润总额(万元),4054,4781,4063,7010,5729,3879,2272,7561,8506,5862,2277,9617,9325,5682,1973,9584,6669,4289,1203,7045,5424,1076,7745,5533,3899,5603,3872,1339,
净利润(万元),3282,3789,3022,5969,4328,3106,1922,6541,6840,4410,1758,8315,7362,4850,1616,7931,5840,3728,1072,6010,4597,908,6379,4480,3150,4501,3418,1225,
净利润(扣除非经常性损益后)(万元),--,3859,--,5950,--,3103,--,6307,--,4392,--,7985,--,4830,--,7745,--,3572,--,5534,4597,908,6164,4314,3023,4434,3033,1257,
经营活动产生的现金流量净额(万元),14,-160,-529,-2530,-3269,-5369,111,-1300,2805,1946,-111,3440,1100,-2911,-1986,-3762,-4788,-2883,-2597,-4164,-7848,-3854,6654,-2939,-3338,2866,4454,1710,
现金及现金等价物净增加额(万元),-6804,-4584,-1779,-12405,-18027,-14605,-10288,-14852,-11557,-5728,-658,-15311,-16096,-11072,-2147,-17882,-10677,-9670,-2663,74542,-9149,-3883,4545,--,-3617,1690,3404,1553,
总资产(万元),147141,139656,134917,134001,133570,134340,128758,128744,126496,123449,124910,123252,123624,121120,121823,120804,119951,115181,115108,115992,26691,26464,28558,0,22710,23405,19039,6903,
流动资产(万元),71701,71822,78727,75941,83225,88674,85795,87135,90980,96092,102019,101976,107699,106372,109894,108575,108196,108592,108357,109199,19748,19611,21632,--,15848,16482,15040,6375,
总负债(万元),14389,12096,8624,10505,11689,12605,7309,8938,5638,4444,6216,6255,7231,7799,8351,8701,10336,9055,8897,10761,2791,6232,9227,--,6690,8992,9224,2475,
流动负债(万元),14389,12096,8624,10505,11689,12605,7309,8938,5538,4444,6216,6255,7062,7630,8181,8532,9990,8709,8374,10238,2291,5732,8727,--,6690,8842,9074,2279,
股东权益不含少数股东权益(万元),128842,123991,124377,121672,119634,119670,119201,117406,118432,116520,116221,114605,113899,111265,111228,109829,107609,106033,106116,105045,23509,19820,18912,0,15683,14177,9721,4428,
净资产收益率加权(%),2.61,3.07,2.46,4.99,3.65,2.62,1.63,5.64,5.82,3.77,1.52,7.41,6.51,4.32,1.46,7.38,5.45,3.5,1.02,21.02,0,4.69,39.88,0,21.49,37.99,46,32.11,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
