报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.08,0.03,0.01,0.22,0.17,0.05,0.02,-0.03,0.17,0.04,0.02,0.27,0.17,0.04,0.02,0.26,0.14,0.03,0.03,0.14,0.1,0.03,0.02,0.12,0.08,0.03,0.02,0.08,0.07,0.02,0.02,0.2,0.17,0.05,0.03,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,1.76,1.63,1.71,1.69,1.57,1.46,2.05,2.02,1.97,1.91,1.98,1.96,1.92,1.86,1.9,1.89,1.88,1.83,2.37,2.35,2.32,2.2,2.3,2.27,2.23,2.11,2.17,2.14,2.3,2.2,1.56,1.35,1.22,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.14,-0.2,0.05,0.28,0.23,-0.06,0.12,0.05,-0.19,0.02,0.12,0.25,0.09,0.06,0.09,0.15,0.04,0,0.16,0.22,0.35,0.24,0.12,0.21,0,0,0,0.39,0,0,0.53,0.33,0.03,
主营业务收入(万元),128772,23440,9888,69601,49982,21879,8063,75870,50516,24405,12426,69121,47907,24706,12911,77636,57933,30491,12933,55432,35621,18497,10430,50984,33939,17972,9892,41298,27177,16386,8374,56630,41977,24276,12594,59172,43746,28628,13609,52867,39956,21566,56366,44693,33519,
主营业务利润(万元),55205,3771,1667,15359,11998,4333,1639,13999,9173,3764,1721,13393,8324,3501,1899,12980,7833,3333,1577,6625,4642,2288,1180,6970,3856,1962,972,4710,3444,1571,693,6385,4856,2260,--,8115,6517,3607,1914,7641,5677,2883,6954,6576,4799,
营业利润(万元),9614,1304,569,6823,7025,1605,623,-1843,5039,1307,662,8158,5050,1339,731,7769,4253,1064,614,3220,2219,739,498,2760,1744,591,420,1656,1542,518,335,3081,2587,816,544,3401,2825,946,449,2962,2110,500,2883,2881,2283,
投资收益(万元),4006,51,2,163,-4,8,2,-2,-1,-1,-2,1,2,2,-4,3,1,2,-3,1,7,8,-4,-7,7,3,-5,-60,-74,6,12,38,33,24,-42,1,-74,-73,2,-50,-31,-34,-55,-7,37,
营业外收支净额(万元),256,188,64,-50,-1256,27,-19,-82,-36,-18,-8,-50,-5,-12,-16,133,27,46,53,18,36,34,22,122,172,119,15,286,--,--,--,--,--,--,--,-78,0,0,0,-62,0,0,-47,-74,0,
利润总额(万元),9871,1492,633,6772,5769,1632,603,-1925,5002,1289,654,8108,5045,1327,715,7902,4280,1110,667,3239,2254,773,520,2881,1916,710,435,1942,1581,555,381,3277,2740,952,537,3325,2670,816,439,2850,2040,451,2789,2803,2262,
净利润(万元),7853,923,300,4951,3916,1128,405,-623,3691,914,523,6098,3781,959,537,5892,3126,766,479,2321,1604,526,345,1898,1267,411,261,1308,1093,365,236,2518,2127,645,403,2605,2090,610,371,2270,1579,309,2052,2008,1618,
