报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
基本每股收益(元),0.09,0.4,0.23,1.61,1.34,0.87,0.51,1.74,1.23,0.75,0.36,0.85,0.59,0.37,0.31,1.2,0.91,0.61,0.3,0.91,0.11,0.73,0.49,
每股净资产(元),6.94,9.45,9.39,9.09,8.95,8.46,8.06,7.65,6.81,6.3,5.95,5.53,5.22,4.97,9.72,9.37,9.08,8.78,4.14,3.84,0,2.93,2.17,
每股经营活动产生的现金流量净额(元),0.23,0.8,0.28,1.65,0.82,0.75,-0.64,-1,-1.98,-1.38,-0.69,1.16,-0.34,-0.36,-0.96,-3.44,-4.22,-2.45,-2.16,0.66,-1.76,1.01,0.24,
主营业务收入(万元),89959,74526,39956,200368,154646,106084,56353,205223,140911,94080,43321,124543,86855,53400,23416,80437,57651,33171,16829,46165,8114,38356,39958,
主营业务利润(万元),27466,23660,11753,70433,54666,36223,19313,73998,53913,36440,15759,41312,28108,17145,7403,24386,17732,9954,5075,13684,2242,10250,8622,
营业利润(万元),1688,5725,3182,24233,19881,12826,7899,25935,19011,11682,5681,12665,9054,5552,2500,8129,6787,4076,1994,5076,537,4039,2882,
投资收益(万元),-419,-218,-280,-216,-190,-91,2,28,12,0,0,89,81,--,--,--,--,0,0,72,0,0,0,
营业外收支净额(万元),1233,600,289,2236,1392,942,251,1339,786,455,110,676,518,431,192,663,476,114,56,419,173,242,54,
利润总额(万元),2921,6324,3471,26468,21273,13768,8150,27274,19797,12137,5791,13341,9571,5983,2692,8791,7263,4190,2050,5495,710,4282,2936,
净利润(万元),2467,5474,3080,21790,18126,11779,6927,23375,16539,10071,4875,11377,7970,4893,2076,7017,5089,3047,1507,4530,574,3669,2417,
净利润(扣除非经常性损益后)(万元),--,4984,--,19605,--,10790,--,22263,--,9684,--,10797,--,4528,--,6358,--,2935,1465,4125,443,3446,2364,
经营活动产生的现金流量净额(万元),6735,10933,3801,22347,11096,10153,-8696,-13559,-26576,-18541,-9188,15520,-4567,-4809,-6436,-23034,-28266,-16446,-10796,3284,-8805,5059,1222,
现金及现金等价物净增加额(万元),14726,-19677,-13988,1963,395,952,-5331,-7387,-18318,-18630,-21225,17667,-7011,-4339,-1659,6876,291,19477,-5015,1380,-4265,3341,547,
总资产(万元),366476,304731,320129,327002,319905,299403,308959,304382,298257,273359,242999,210886,178790,168328,151482,135512,124507,120855,81700,70693,0,44027,38107,
流动资产(万元),236967,193289,211440,235347,243667,230408,240026,236854,236150,214073,193307,167779,141730,134294,118762,104075,96109,95391,57814,48084,--,32024,28419,
总负债(万元),162108,173793,190090,203769,198461,184705,199840,200766,206708,188707,163011,136599,108655,101447,84613,71208,62249,60912,60039,50610,--,28687,26560,
流动负债(万元),158168,154811,170035,189346,186805,174007,192158,194889,201950,184858,160083,133588,105548,98257,81336,67826,61903,60544,52649,48198,--,28235,26050,
股东权益不含少数股东权益(万元),202284,128769,127817,122898,121068,114458,108951,103420,91302,84367,79682,74047,69889,66632,65105,62770,60842,58799,20692,19184,0,14655,10851,
净资产收益率加权(%),1.74,4.32,2.47,19.28,16.16,10.75,6.46,26.53,19.89,12.61,6.34,16.66,11.94,7.56,3.25,17.12,15,14.71,0,26.77,0,28.62,26.18,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
