报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
基本每股收益(元),0.15,0.2,0.07,0.53,0.31,0.19,0.03,0.09,0.06,0.06,0.02,0.26,0.21,0.11,0.04,1.01,0.34,0.24,0.1,1.09,-0.02,0.63,0.36,
每股净资产(元),2.31,4.12,7.94,7.86,7.65,7.53,5.68,5.64,5.61,5.61,5.63,5.6,5.55,5.45,5.38,10.01,9.39,9.29,2.26,2.16,0,0,0,
每股经营活动产生的现金流量净额(元),-0.02,-0.04,-0.24,0.29,-0.05,-0.13,-0.25,-0.01,-0.26,-0.44,-0.29,-0.07,-0.58,-0.35,-0.3,-0.13,-0.84,-0.59,-0.46,1.03,-0.2,0.4,-0.43,
主营业务收入(万元),57754,40138,14139,61472,36565,21413,7245,33316,18465,9890,4291,26374,12762,7542,2574,19286,9220,6135,2826,13804,1089,8431,5116,
主营业务利润(万元),24781,17026,5346,25100,15730,8608,2362,9015,6044,3702,1548,8667,6191,3714,1266,9755,5043,3492,1594,7968,391,3255,1393,
营业利润(万元),10591,7776,1213,8014,4302,2589,224,648,646,698,279,2409,2270,1171,369,5465,1559,1149,392,5171,-124,1767,595,
投资收益(万元),506,258,85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业外收支净额(万元),890,552,299,1473,611,410,269,860,376,226,17,843,302,225,199,655,366,129,112,488,17,36,-7,
利润总额(万元),11482,8328,1512,9487,4913,2999,492,1508,1022,924,296,3252,2572,1395,568,6120,1925,1278,504,5658,-107,1804,588,
净利润(万元),8660,6159,1187,7689,4206,2344,376,956,647,647,259,2861,2270,1230,479,5423,1733,1132,442,4916,-107,1774,588,
净利润(扣除非经常性损益后)(万元),--,5845,--,7079,--,2231,--,340,--,477,--,2139,--,1040,--,4970,--,1116,440,4629,-107,1793,597,
经营活动产生的现金流量净额(万元),-1206,-1177,-3905,4684,-878,-2133,-2732,-142,-2841,-4755,-3176,-782,-6311,-3759,-3194,-776,-5023,-3511,-2084,4613,-882,1797,-869,
现金及现金等价物净增加额(万元),-12153,-13010,-16255,4349,4398,5968,-4164,34,-8151,-8888,-5353,-4712,-8484,-5968,-5106,33078,36877,38697,-2412,3368,-1620,2547,290,
总资产(万元),198875,186524,169932,175327,162835,159864,75861,79067,73302,68628,68294,75322,67639,65731,64161,66235,61382,60712,17217,18164,0,11329,4216,
流动资产(万元),126174,115799,99495,104679,98412,96281,57816,61744,57362,54164,55891,65146,59156,58266,56895,59141,55767,55196,11810,12752,--,7985,3139,
总负债(万元),58309,48663,36209,42808,34880,33571,11740,15341,10057,5424,5102,12630,6746,5860,5030,6183,5019,4950,7053,8443,--,4723,2384,
流动负债(万元),48179,34805,34695,41273,33377,32043,10325,13992,9824,5219,4910,12469,6589,5690,4877,5861,4746,4667,6801,8189,--,4669,2359,
股东权益不含少数股东权益(万元),138975,133527,130169,128824,125342,123479,61307,60931,60623,60622,60775,60513,59922,58882,58132,60052,56362,55761,10163,9721,0,6605,1831,
净资产收益率加权(%),6.52,4.68,0.92,7.42,4.44,2.94,0.62,1.57,1.07,1.06,0.43,4.79,3.81,2.07,0.8,14.04,5.67,6.37,0,58.6,0,47.7,50.62,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
