报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2007-12-31,
基本每股收益(元),0.06,0.08,0,0.12,0.04,0.01,-0.08,0.4,0.23,0.11,0,1.03,0.64,0.28,0.94,0.24,0.62,0.32,0.42,0.23,--,0.15,
每股净资产(元),1.26,2.52,2.47,2.47,2.38,2.36,4.73,4.81,4.64,7.23,7.25,7.25,6.88,2.93,2.64,1.95,1.8,2.2,1.17,1.93,--,2.3,
每股经营活动产生的现金流量净额(元),-0.05,-0.02,-0.02,0.28,-0.02,-0.05,-0.14,0.62,0.38,0.22,-0.1,0.43,0.28,0.29,0.61,0.08,0.39,0.18,0.38,0.06,--,-0.13,
主营业务收入(万元),18768,12114,5101,24120,15341,9288,3659,17420,11319,7079,2824,16464,10855,6565,12531,5214,9488,3720,6698,2161,4238,2305,
主营业务利润(万元),9846,6452,2249,12199,7551,4640,1831,10251,6755,4437,1852,10656,6926,4237,7977,3406,6284,2437,4313,1326,2673,1518,
营业利润(万元),1430,778,-76,1480,-195,-518,-784,2840,1461,767,-72,3719,1973,956,2670,894,2418,734,1260,321,763,236,
投资收益(万元),-15,-10,-6,-28,-26,-11,8,-43,-35,--,0,--,0,--,--,--,--,--,16,--,--,-48,
营业外收支净额(万元),1063,907,86,1437,1008,838,45,1207,760,282,86,1287,877,356,1568,180,456,191,699,202,329,175,
利润总额(万元),2493,1685,10,2917,813,320,-739,4047,2221,1050,14,5006,2850,1312,4238,1075,2874,925,1959,523,1092,411,
净利润(万元),2054,1310,43,2033,606,148,-675,3420,2000,974,12,4481,2568,1138,3784,982,2495,804,1667,454,680,361,
净利润(扣除非经常性损益后)(万元),--,848,--,1618,--,-216,--,3237,--,948,0,4186,--,1072,3159,979,2480,812,1311,334,--,327,
经营活动产生的现金流量净额(万元),-1714,-271,-298,4836,-403,-934,-1231,5327,3293,1190,-561,2280,1484,1143,2439,306,1577,463,1530,115,993,-308,
现金及现金等价物净增加额(万元),-6028,-4783,-3974,4099,670,-1162,-2414,-11598,-10131,-9152,-10873,24047,23960,-264,2905,562,1303,872,1906,296,719,790,
总资产(万元),59917,55850,52271,54604,52599,50004,46221,47145,44736,42635,40947,42420,41377,16241,15157,11679,10406,8592,7375,6000,--,3217,
流动资产(万元),40462,37459,35492,37709,35724,33067,29319,31242,34039,31879,30558,41161,40423,15312,14303,11169,9895,8175,6982,5153,--,3087,
总负债(万元),10660,8568,7895,10148,9879,7703,3910,4617,4770,3953,2157,3642,4577,4495,4548,3872,3204,3083,2669,2124,--,862,
流动负债(万元),10660,8568,7895,10148,9879,7703,3706,4413,4770,3953,2157,3642,4577,4495,4548,3872,3204,3083,2669,2124,--,862,
股东权益不含少数股东权益(万元),42993,43078,42210,42233,40836,40438,40482,41152,39716,38682,38790,38778,36800,11747,10609,7807,7201,5510,4706,3876,--,2272,
净资产收益率加权(%),4.77,3.06,0.1,4.87,1.47,0.36,-1.65,8.54,5.03,2.48,0,23.87,21.59,10.18,42.49,12.76,41.91,15.73,42.42,--,--,27.29,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
