报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.36,0.26,0.13,0.46,0.44,0.28,0.12,0.45,0.41,0.07,0.03,0.12,0.1,0.06,0.03,0.14,0.11,0.08,0.03,0.25,0.19,0.16,0.03,0.16,0.08,0.07,0.01,0.13,0.09,0.08,0.01,0.13,0.11,0.08,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.84,--,3.82,3.78,3.75,3.75,3.72,3.69,3.66,3.64,3.57,3.55,3.47,3.44,3.36,3.34,3.29,3.32,3.33,3.36,3.32,3.31,3.26,3.23,3.24,3.19,3.15,3.2,3.15,3.14,3.07,3.05,3.1,3.1,3.06,3.05,3.1,3.07,3.07,3.05,3.02,3.01,3.12,3.06,3.01,2.97,3.06,2.94,2.71,2.56,3.08,2.88,2.71,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.06,--,0.18,0.15,0,0.2,0.16,0.22,0.05,0.11,0.06,0.15,0.01,0.43,0.35,0.09,-0.09,-0.07,-0,0.02,-0.07,0.2,0.21,0.12,-0.07,0.16,0,--,0,0.11,0,0,0,-0.07,0,0,0,0.17,0,0,0,0.17,0,0.01,--,0.38,0.17,0.34,0.13,0.44,--,0.33,--,--,--,--,
主营业务收入(万元),85618,55927,26652,117820,88707,56462,26953,103514,78757,13872,6989,25593,18198,11445,5679,27725,22835,13771,6615,49195,37120,30693,9692,31898,16189,10335,4639,23746,16336,11911,4260,26281,15853,11445,3882,28725,12258,7875,3813,17094,12718,8205,3949,17006,12757,8223,4036,16037,12291,7971,3886,21486,16854,10727,4617,23147,11613,23511,11324,24110,11473,25653,11620,23495,17160,7950,
主营业务利润(万元),30928,20734,9467,40319,37684,23153,10395,31315,28372,-1505,-1004,-5160,-2668,-2063,-1029,-3787,-1194,-870,-488,3827,3670,4313,308,-509,-2321,-1906,1197,6441,5108,3989,1234,5487,4788,3300,--,8475,4406,2790,1281,4888,3893,2354,1005,5997,4686,2890,1388,6292,4925,3122,1368,10303,8303,5126,1856,12411,6096,12445,5778,13361,6172,15017,7263,15111,10265,2683,
营业利润(万元),17256,13337,7061,21718,25553,15183,6929,14503,15669,-5212,-2828,-13435,-9317,-6411,-3311,-12687,-7951,-5254,-2519,-4980,-2938,-172,-2168,-11318,-10618,-7540,689,4073,3387,2962,741,5194,6418,5182,690,8128,4236,3321,612,1932,2695,1774,506,4866,3686,2384,978,5406,4280,2826,959,9272,7656,4486,1588,12155,5917,11926,5257,12851,5881,14749,7171,0,0,0,
投资收益(万元),134,134,--,455,75,75,--,-25,--,--,--,358,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1108,2629,2509,0,515,442,322,77,9568,-372,-305,-208,2011,-225,-176,410,127,-101,-60,-41,1575,1338,860,424,2260,608,3041,756,2419,1513,2300,0,0,0,0,
营业外收支净额(万元),12507,8488,4496,17805,13495,9054,4609,18122,13744,9018,4615,19320,14313,9567,4817,19986,14181,9748,4117,19038,13602,9481,4199,20033,15234,10967,--,2787,--,1407,--,--,--,701,--,-254,0,--,0,-3627,0,0,-12,-1308,0,0,0,-703,0,0,0,-76,-169,-149,0,-73,0,-112,0,368,0,0,0,0,0,0,
利润总额(万元),29762,21826,11557,39523,39048,24236,11538,32626,29413,3806,1787,5885,4996,3156,1506,7298,6230,4495,1598,14057,10663,9309,2031,8715,4616,3427,689,6861,4794,4370,741,8040,7270,5883,1042,8477,4729,3708,677,7873,2290,1444,286,5568,3384,2154,1376,4830,4073,2718,905,11171,8825,5196,1997,15642,6489,16819,8036,21377,7590,17486,7366,15076,10238,2671,
净利润(万元),25438,18470,8879,32487,31152,19869,8820,27177,23660,3178,1498,5133,4210,2693,1288,6113,4957,3719,1179,11095,8223,7226,1493,7243,3729,2873,496,5692,3806,3547,517,5860,4709,3710,675,5796,3382,2927,434,4551,1394,864,119,3564,2193,1385,1056,3007,2680,1792,588,7841,6306,3719,1474,13275,5363,14770,6242,17015,6886,15953,6646,13566,10201,2671,
