报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.1,0.08,0.01,0.26,0.14,0.11,0.02,0.39,0.08,0.06,0.01,0.1,0,-0.03,-0.03,0.54,0.18,0.08,-0.11,0.82,0.25,0.13,-0.04,1.09,0.38,0.26,0.95,0.72,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.71,3.68,3.83,3.86,3.5,3.4,5.88,5.99,5.42,5.3,8.76,9.49,8.9,3.73,3.47,2.72,2,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.17,-0.06,-0.31,-0.04,-0.41,-0.3,-0.43,0.18,-0.54,-0.36,-0.64,0.59,-0.11,0.05,0.44,0.4,0.87,
主营业务收入(万元),27134,18424,7217,52562,23576,15381,5306,38755,19048,12644,5705,29399,16102,9450,4089,34496,17189,10177,2277,25029,10749,6607,1230,16636,7045,4320,13357,12398,9571,
主营业务利润(万元),13247,8571,3484,23798,10162,7087,3047,17217,9335,6322,2816,14273,7912,4991,2064,16669,8129,4990,1145,12579,4980,3161,583,8183,3487,2115,6500,5606,4281,
营业利润(万元),3714,3197,306,9103,2076,2486,635,3762,1024,691,282,3452,1120,488,-187,8837,3064,1533,-1094,8073,2122,1407,-269,4603,1463,847,3058,2741,2175,
投资收益(万元),-106,-53,--,--,--,--,--,--,--,--,--,0,--,0,43,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
营业外收支净额(万元),546,467,246,2447,1513,529,-3,4092,1381,1227,166,494,240,106,20,2286,622,176,44,1618,750,131,116,1584,591,515,--,--,330,
利润总额(万元),4261,3664,552,11550,3589,3015,632,7855,2405,1918,448,3946,1360,594,-167,11124,3686,1709,-1051,9692,2872,1538,-152,6187,2054,1361,4164,3511,2505,
净利润(万元),3642,3102,400,9901,3096,2366,432,7040,1426,1019,163,1814,78,-470,-468,9557,3210,1391,-1138,8572,2584,1323,-218,5438,1770,1197,4359,3322,2344,
净利润(扣除非经常性损益后)(万元),3458,2961,396,9210,2884,2152,435,5605,1086,698,156,1535,--,-556,--,8797,--,1242,--,8265,--,1211,--,4499,--,956,4272,3182,2291,
经营活动产生的现金流量净额(万元),2108,1041,-352,4495,-5744,-4844,-7119,6605,-2270,-4421,-4714,2620,-2992,-979,-5472,-635,-7285,-5415,-4538,1934,-5595,-3759,-3947,3613,-648,215,2038,1842,3995,
现金及现金等价物净增加额(万元),-796,6523,7140,-3544,6014,-3860,3205,60655,-12802,-14212,-14411,3716,-14235,-5341,-7726,-15910,-15418,-12380,-6443,-7266,-14129,-11699,-5171,39487,38016,341,575,573,267,
总资产(万元),201914,201403,197163,192766,196346,183336,187454,181081,107589,101864,99319,113280,90027,91547,91757,98665,72241,70532,72724,74669,64952,64988,68827,70965,65395,27412,26069,21779,17894,
流动资产(万元),157070,162371,156650,157146,163906,152340,157488,151215,79769,73908,70673,84289,63423,66272,66985,73975,60000,58828,61604,64341,55610,56511,60775,63068,58945,20933,20403,16469,13219,
总负债(万元),60611,60640,57973,53976,64361,52081,52059,30982,33009,27742,26371,40752,19638,21574,19634,26283,10034,10145,11207,12013,8284,9580,14960,12575,10674,10267,10121,9270,8707,
流动负债(万元),30979,30170,27177,32834,39130,34681,34517,28525,29953,24862,23268,37789,17683,19532,17671,24220,7656,7835,8707,9585,5807,7466,12974,10641,8449,9047,8899,8104,8403,
股东权益不含少数股东权益(万元),141302,140762,139190,138790,131985,131256,135395,144052,69145,68739,67883,67720,65984,65436,68104,68572,62207,60388,61518,62656,56668,55407,53867,58389,54721,17145,15948,12509,9186,
净资产收益率加权(%),2.6,2.21,0.29,6.83,2.19,1.65,0.3,9.14,2.08,1.49,0,2.67,0.11,-0.69,-0.69,14.64,5.16,2.22,-1.83,14.42,4.55,2.3,-0.37,19.48,--,7.24,31.31,30.63,25.25,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
