报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.6,0.38,0.15,0.61,0.44,0.42,0.15,0.72,0.53,0.32,0.11,0.56,0.46,0.32,0.14,0.65,0.41,0.32,0.25,0.72,0.5,0.36,0.24,0.71,0.58,0.23,0.09,0.28,0.17,0.02,0,2.92,-0.35,-0.23,-0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.29,--,4.08,3.95,3.76,3.92,3.68,3.59,7.66,7.4,7.19,2.99,2.87,5.26,5.12,2.18,2.05,1.95,1.86,1.84,--,--,-3.07,-2.96,-2.83,-2.72,-2.5,-2.22,-2.12,-2.03,1.64,1.75,1.86,1.87,2.17,2.03,2.02,1.87,1.65,1.6,1.47,1.46,1.4,1.33,1.33,1.32,1.39,1.26,0.85,0.91,1.06,1.53,3.55,3.41,3.01,2.85,3.51,3.78,2.65,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.15,--,-0.16,-0.08,0.09,0.6,0.44,0.69,0.73,0.46,0.84,0.88,0.73,0.91,0.66,0.53,0.39,0.3,0.1,0.03,--,-0.01,0,--,-0,-0.05,0,0,0,-0.38,0,0,0,0.93,0,0.35,0,0.06,0,-0.19,0,-0.4,0,-0.35,0,-0.29,--,-0.62,0.81,-0.12,-0.2,-0.25,0.02,--,--,--,--,--,--,--,--,
主营业务收入(万元),360152,229140,92659,457967,347804,217696,82252,373207,263168,167422,62930,336316,235264,137085,51036,174731,116893,71949,27586,86261,60907,36452,15101,47029,34348,21546,9432,21316,10853,384,99,84,56,44,7,46,36,29,12,4731,15939,12311,7175,20424,30134,18408,13622,61465,41097,25172,9052,49873,36241,18640,9399,42173,30550,17125,7175,5027,11377,6232,19064,9334,31213,16266,19416,10683,27432,30818,31797,
主营业务利润(万元),163136,108721,44133,204667,146348,88897,32456,134141,94342,61067,24669,89220,63019,44629,17809,73439,46998,26554,11777,40359,27632,15663,6327,19275,13417,8096,3382,8652,4690,362,93,51,24,14,-2,-8,-0,-1,-2,-978,1067,1166,825,-49,4058,2779,2082,7157,4021,2513,982,5787,3698,1510,688,4278,3181,1720,666,499,-889,-1178,5624,2762,5813,1798,2245,743,2485,3082,2507,
营业利润(万元),130433,85438,27848,133286,100895,60341,16660,80717,60260,39468,14024,50983,43247,33972,11826,52191,34209,18880,8706,29119,21089,12111,4572,14889,10238,6024,2269,6197,3436,293,47,-5435,-4146,-2781,-1265,-7518,-4591,-2362,-1076,-11287,-3006,-1782,-159,-7460,826,861,774,1801,938,589,173,1740,835,99,0,1477,2424,1576,-2355,-1648,-11704,-20874,4547,2178,5939,0,2324,0,2632,3209,2663,
投资收益(万元),274,-180,-94,-5072,-428,-236,-274,496,611,1,37,1789,1542,1475,-59,223,163,202,-86,-145,-63,-34,-4,-6,0,--,--,--,0,0,--,0,0,0,0,171,128,86,0,141,128,86,43,171,0,0,0,112,112,112,0,0,41,0,0,-89,-0,-0,0,0,22,0,987,-24,0,0,780,0,-61,11,113,
营业外收支净额(万元),52050,29532,21559,49572,26560,19412,11072,45682,30693,15892,4771,50473,43197,26160,15267,84460,60665,59236,12951,25373,13818,13527,12723,5579,5565,588,404,0,--,--,--,--,--,0,0,237,0,0,0,-4892,0,0,0,-226,0,0,0,-10,-2,0,0,0,2,12,0,-70,0,-57,-154,0,-98,0,0,0,0,-184,0,-4,--,--,--,
利润总额(万元),182483,114970,49407,182857,127455,79753,27731,126399,90953,55359,18795,101456,86444,60132,27093,136651,94874,78115,21658,54492,34907,25638,17295,20468,15804,6612,2673,6198,3437,293,47,34836,-4197,-2781,-1265,-7110,-4463,-2275,-1076,-16032,-2787,-1558,-142,-7332,830,866,762,3127,1048,699,172,1740,878,111,124,1318,2353,1520,-2482,-1697,-11781,-20983,5518,2157,5980,1695,3431,800,3048,3325,2829,
净利润(万元),144666,90401,35433,146233,104971,66590,22803,103599,76055,46284,16004,81004,66671,46613,19701,93617,58536,45901,16498,41926,27694,20203,13302,18015,14210,5656,2243,5205,2928,215,33,34867,-4162,-2758,-1262,-7040,-4412,-2248,-1072,-15964,-2738,-1517,-122,-7230,961,918,809,3239,1114,471,189,1720,949,140,122,1312,2379,1538,-2473,-1692,-11751,-20973,4672,1804,3152,1532,3078,691,2815,2932,2403,
