报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.75,0.42,0.14,0.98,0.7,0.87,0.36,2.03,--,0.83,0.33,1.56,1.64,1.08,2.02,
每股净资产(元),4.95,4.62,6.2,6.06,5.78,11.02,10.92,9.78,--,8.59,--,7.75,6.19,4.56,4.09,
每股经营活动产生的现金流量净额(元),0.43,-0.91,-0.02,0.3,-0.04,-0.6,-1.78,0.77,--,0.61,-0.63,1.26,0.62,1.09,1.63,
主营业务收入(万元),251677,141385,38716,196909,121940,81189,34679,134787,--,50174,19372,98287,79370,60092,47263,
主营业务利润(万元),42614,23892,8467,46571,30292,18903,8587,39134,--,15758,6054,30253,25929,21061,15899,
营业利润(万元),19565,11144,2540,17974,13379,8175,3343,16444,--,6877,2478,13608,12062,10353,8967,
投资收益(万元),1564,862,15,1078,1233,916,188,916,--,398,56,605,152,213,592,
营业外收支净额(万元),1789,669,366,1658,764,520,254,1754,--,549,442,340,2697,1475,9009,
利润总额(万元),21354,11813,2907,19632,14142,8695,3597,18198,--,7427,2921,13949,14759,11828,17976,
净利润(万元),18763,10561,2567,17354,12392,7618,3122,15844,10444,6488,2565,12176,12783,8323,15555,
净利润(扣除非经常性损益后)(万元),--,9892,--,14876,--,6321,2714,13566,8520,5670,--,11345,10370,8740,7033,
经营活动产生的现金流量净额(万元),10709,-22699,-335,5322,-635,-5384,-15912,6010,-3781,4743,-4927,9850,4843,8522,12547,
现金及现金等价物净增加额(万元),-13409,-11196,-6490,2808,5905,2122,-5126,6053,1005,13174,4647,16032,295,-1782,1639,
总资产(万元),349295,317675,278132,252197,207726,200920,192479,169155,135721,123482,--,103209,69196,56381,69805,
流动资产(万元),289273,276954,238204,214263,171086,169108,159496,137677,109463,98760,--,81158,48040,36950,51004,
总负债(万元),224837,200970,166628,143257,104342,102328,94632,92617,64565,56265,--,42677,20840,20808,38148,
流动负债(万元),202804,155637,145350,121724,100692,98482,90591,88381,47134,39636,--,35798,18784,18775,30182,
股东权益不含少数股东权益(万元),123900,115694,110962,108395,103366,98592,97715,76376,70976,67021,--,60532,48356,35573,31526,
净资产收益率加权(%),15.93,9.29,2.34,17.38,12.71,8,3.47,23.15,--,10.17,4.15,22.36,30.46,25.35,66.09,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
