报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
基本每股收益(元),0.08,0.06,0.03,0.23,0.21,0.11,0.06,--,0.21,0.19,0.04,0.3,0.21,0.2,0.09,0.35,0.27,0.23,0.22,0.83,0.65,0.5,0.8,0.47,0.28,0.51,0.67,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.65,5.63,5.63,5.54,5.45,5.42,8.3,8.08,7.8,4.04,3.53,--,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.09,-0.32,-0.38,0.38,0.46,-0.13,-0.64,0.08,1.2,0.86,1.26,--,0.66,0.48,0.28,
主营业务收入(万元),174706,120378,58435,290456,210510,133102,60985,250406,181656,108804,46828,172599,121960,75205,39096,160649,122720,82595,39242,168528,125119,81003,113417,79132,48896,124526,143796,
主营业务利润(万元),16953,11030,4368,26787,18592,11417,5133,22604,14339,8846,3879,19203,12668,7577,3353,15886,9122,6887,3771,16732,11945,8235,12969,9022,5704,9918,10702,
营业利润(万元),4687,3526,1082,5755,4900,3373,1099,4387,3314,2846,695,3457,3226,2893,1241,5246,4215,3598,2385,7566,5632,4035,6505,4284,2599,4596,6341,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业外收支净额(万元),411,333,74,570,113,1,-42,137,182,202,-62,864,102,153,149,-54,-76,-28,-81,-347,-255,-186,-206,-153,-122,--,--,
利润总额(万元),5098,3859,1156,6325,5012,3375,1057,4524,3496,3049,633,4321,3329,3046,1390,5192,4138,3570,2304,7219,5378,3849,6299,4131,2477,4454,6193,
净利润(万元),3805,2757,795,5482,3720,2723,744,4003,2822,2438,511,3985,2765,2570,1169,4648,3501,3027,1953,6205,4573,3288,5277,3063,1825,3338,4119,
净利润(扣除非经常性损益后)(万元),3472,2485,740,4891,3481,2626,732,--,2558,2203,519,3138,--,2341,--,4529,--,2975,--,6293,--,3344,5314,--,1863,3354,4137,
经营活动产生的现金流量净额(万元),32398,16690,8412,30703,28012,11241,481,-11292,-8636,-1561,2452,-3197,-1170,-4182,-4963,4986,6028,-1683,-5618,698,10553,5650,8305,4195,4373,3149,1823,
现金及现金等价物净增加额(万元),3645,6189,3050,3450,1860,2926,2151,-293,3170,1333,6781,-3874,-904,-6902,-1869,-5750,-12144,-8439,-11364,7655,26777,-138,4006,1980,1900,-1195,5542,
总资产(万元),202127,213447,198854,210988,213988,217228,221158,202332,199295,189810,182072,160087,160912,149686,143158,135566,125472,127703,121725,115535,97999,69476,56440,--,0,47808,50646,
流动资产(万元),98670,108906,93321,105156,109294,113875,118931,103176,105848,100202,93839,72865,77935,72060,74622,68041,68177,74849,78923,82914,71307,45564,33785,--,--,24717,31172,
总负债(万元),123077,135461,116891,129838,134552,138812,142082,124030,122154,113068,105935,84471,86519,75483,69040,62618,53667,56366,48830,44601,29512,42912,33182,--,--,29826,36002,
流动负债(万元),117277,128757,109267,121254,125152,136012,137882,118680,114154,103918,91435,73021,79519,68483,69040,62618,53667,56366,48830,44601,29512,42912,33182,--,--,29826,36002,
股东权益不含少数股东权益(万元),79049,77986,81963,81151,79436,78415,79075,78303,77142,76742,76137,75616,74393,74204,74118,72948,71805,71337,72895,70933,68487,26564,23259,--,0,17982,14644,
净资产收益率加权(%),4.73,3.38,0.97,6.9,4.71,3.44,0.95,--,3.69,3.18,0.68,5.37,3.74,3.46,1.59,6.48,4.9,4.2,2.72,14.22,13.22,0,25.59,--,0,20.46,40.18,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
