报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2001-12-31,2001-06-30,2000-12-31,1999-12-31,
基本每股收益(元),0.03,0.05,0.03,0.12,0.13,0.06,0.04,0.14,0.1,0.09,0.08,0.32,0.29,0.23,0.1,0.37,0.3,0.22,0.1,0.31,0.23,0.16,0.07,0.24,0.16,0.12,0.05,0.37,0.28,0.2,0.21,0.66,0.47,0.33,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.37,--,3.97,4.02,3.96,3.84,4.07,4.2,4.09,3.86,2.8,2.72,2.76,2.68,2.6,2.57,2.59,2.53,2.45,2.38,4.96,4.8,4.63,4.44,4.48,4.21,4.07,3.95,4.07,3.93,3.82,3.7,3.77,3.66,3.57,3.49,3.59,3.52,3.43,3.34,3.28,3.24,3.18,1.88,2.02,0,1.71,1.67,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0.11,--,--,--,-0.03,--,0.04,-0.02,-0.24,0.06,-0.05,-0.17,-0.04,0.19,0.34,0.09,0.05,0.34,0.02,0.04,-0.03,0.35,0.1,0.02,-0.29,0.33,0.2,0.17,-0.1,0.61,0,--,0,0.64,0,0,0,0.36,0,0,0,0.28,0,0,0,0.14,0,0.04,0.26,0.01,0,0,
主营业务收入(万元),46973,33051,14938,73046,56659,40836,22680,70511,53564,37938,20361,72641,58209,42332,24129,84095,70215,50438,25569,67096,51549,34207,16028,46081,32434,21925,10047,62462,52362,36499,17055,57753,42829,29563,13915,50179,37725,27307,13487,45713,34666,23613,8904,31304,24857,18388,8812,29316,21556,14134,5563,18944,13495,8653,16838,5641,10502,10243,
主营业务利润(万元),11242,7905,3815,20015,15399,10719,5834,17313,11214,8323,4943,21217,15695,11575,6357,24077,18629,13429,6680,18506,14056,9510,4179,12998,9099,6524,3234,21185,17439,12034,5575,19727,14726,10231,--,18514,14111,10133,4938,16751,12830,8657,3471,12839,10077,7273,3209,10424,7767,5082,1981,8091,5860,3929,7193,2743,4309,4036,
营业利润(万元),-785,851,902,1268,3635,1593,1668,1909,2569,2482,2163,6875,7849,6710,3039,11795,10407,7705,3607,9620,7389,5131,2397,6572,5465,4033,1786,12747,11046,7815,3739,13043,9832,6792,3123,10622,8568,6280,3053,9772,7375,4996,2063,7207,6329,4700,1933,5736,4179,2645,978,4318,3100,2177,3294,1405,2028,2051,
投资收益(万元),3372,2831,594,5425,4128,1767,862,3996,520,491,97,1537,2315,1532,--,488,482,475,--,67,39,38,20,1331,960,629,55,64,66,59,21,503,247,156,41,156,91,62,61,8,175,170,199,-295,-998,-582,-119,122,-238,0,-17,-41,-27,-109,560,545,972,488,
营业外收支净额(万元),1380,967,449,2843,1809,1081,539,3056,1473,1067,837,3887,2460,1820,454,866,298,195,66,1643,1010,416,265,1745,77,87,73,479,--,0,--,--,--,--,--,1,0,--,0,-127,0,0,0,-54,-21,0,0,20,95,-18,13,-154,-129,-103,0,0,0,0,
利润总额(万元),595,1818,1351,4110,5444,2675,2206,4965,4042,3549,3000,10762,10309,8530,3493,12661,10704,7899,3674,11263,8400,5548,2662,8317,5541,4120,1860,13226,11360,8125,4077,13666,10422,7367,3570,11310,9104,6299,3092,9809,7510,5220,2262,7009,5445,4238,1803,5878,4036,2627,974,4142,2961,1965,3631,1934,2927,2517,
净利润(万元),1314,2026,1238,4856,5214,2523,1722,5078,3685,2910,2491,9724,8829,6933,2887,10960,8911,6602,3009,9304,6966,4646,2236,7232,4796,3518,1634,11006,8535,6090,3075,9827,6984,4891,2344,7915,6022,4156,2034,6919,5409,3562,1552,5052,3667,2448,1051,4022,2561,1593,602,2702,1873,1636,2980,1527,2350,2121,
净利润(扣除非经常性损益后)(万元),-2340,-866,407,-2163,415,342,1336,-776,2031,1708,--,5932,--,5024,--,10238,--,6476,--,8038,--,4369,--,5419,--,3095,0,10555,0,5858,0,9133,0,4506,--,7496,0,4175,0,6780,0,3503,0,4831,0,2273,0,3651,0,1621,0,2731,1886,1725,0,1281,0,0,
经营活动产生的现金流量净额(万元),3938,841,270,10210,8820,2318,-4242,3678,-0,-2405,-837,-2461,1274,-482,-7336,1803,-1435,-5109,-1326,5550,10339,2600,1564,10286,743,1331,-793,10594,3046,528,-4330,4971,2975,2502,-1431,9214,5270,2254,367,9653,6413,2683,-1150,5453,3572,1182,-63,4253,2377,744,34,2149,0,366,2644,0,0,0,
现金及现金等价物净增加额(万元),2452,9543,2838,-1348,4384,4765,-1586,3121,59574,62553,11423,-5118,-8958,4437,-2301,-7620,-8977,-4995,-3609,3232,-1080,-6998,-2334,3380,-6691,-4237,-596,1831,-3765,-5405,-5863,-6376,-6559,-5584,-3734,-505,-972,-2897,-4,-903,-1942,-4295,-7760,-2363,-2252,-3489,-838,-3830,-13250,-13158,-1501,22641,0,-915,3701,0,0,0,
总资产(万元),267561,303412,309871,309802,277486,265322,267435,280295,277869,277837,233511,216733,202912,213158,210522,184596,191665,194077,185054,173069,126651,117655,117329,114685,106766,108507,108963,104734,102687,99529,101818,101648,97371,95227,91815,86818,85446,85149,85548,81384,80800,79952,70896,68621,68640,67880,67786,67460,64806,65152,61973,61412,63040,36422,35149,0,30010,25026,
流动资产(万元),136907,142901,136898,140191,151126,147928,149827,161843,164285,167441,113301,97142,100954,117516,116839,96153,101276,99804,97381,92514,84456,76387,75335,72298,68310,69789,70216,66506,65016,61300,62725,61974,59654,60391,60124,57604,59744,59525,60361,56411,57627,58415,50913,50512,52695,52186,52627,51553,51058,51851,--,--,--,--,0,0,0,0,
总负债(万元),70295,79891,72572,76723,79626,77702,75826,88845,84284,87385,95570,81285,77075,86046,82938,66898,67084,65446,59978,54631,40140,33500,32233,31786,26280,29141,28771,26494,26888,25737,24903,27113,25366,26102,22285,21379,22155,23783,22342,20011,21146,22193,12736,12151,13579,14084,12494,13273,11987,13686,11573,11651,14090,16436,13804,0,12897,8282,
流动负债(万元),40094,46922,38016,42171,53535,56741,54508,67032,61567,64235,70275,55299,54283,64206,55393,40494,40615,38701,34396,31662,26066,25191,24055,25519,25292,28117,27813,25702,26017,24705,23680,25554,23486,24693,21579,20724,21321,22935,21647,18665,19719,20899,11903,11328,12740,13245,11644,12418,11165,12863,--,--,--,--,0,0,0,0,
股东权益不含少数股东权益(万元),194787,220213,233447,229131,193338,182798,186031,186193,187617,184358,131211,129335,119153,120551,118924,115262,121996,126071,122552,115949,84055,81723,82655,80521,78128,76975,77762,75841,73448,71415,74384,71993,69501,66548,67150,63154,61048,59182,61008,58974,57306,55455,56570,54912,53528,52309,53837,52786,51387,50133,49142,48540,47759,18822,20180,0,17113,16744,
净资产收益率加权(%),0.62,0.9,0.54,2.39,2.7,1.37,0.93,3.02,2.83,2.23,1.93,7.97,7.48,5.85,2.47,9.46,7.69,5.41,2.46,9.47,8.45,5.66,2.71,9.25,--,4.57,0,14.81,0,8.28,0,14.69,0,7.28,--,13.05,0,6.88,0,12.19,0,6.34,0,9.43,0,4.62,0,7.94,0,3.23,0,8.45,6.96,0,16.02,0,14.45,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
