报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.33,0.29,0.11,0.64,0.55,0.38,0.09,0.76,0.75,0.63,
每股净资产(元),5.29,5.24,4.18,4.07,--,--,--,3.43,2.67,--,
每股经营活动产生的现金流量净额(元),0.16,0.08,-0.08,0.69,--,0.52,0.13,0.73,0.78,0.53,
主营业务收入(万元),20117,14955,5912,24696,19383,13420,5041,25234,22517,18927,
主营业务利润(万元),5741,4537,1815,8529,6911,4811,1670,9488,8974,7687,
营业利润(万元),2550,2232,773,4158,3638,2702,648,5208,4766,4478,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),257,123,58,529,439,122,28,365,713,346,
利润总额(万元),2806,2355,831,4686,4077,2824,675,5573,5478,4823,
净利润(万元),2467,2059,704,4055,3478,2423,591,4799,4739,4012,
净利润(扣除非经常性损益后)(万元),--,1956,654,3607,--,2319,567,4488,4133,3719,
经营活动产生的现金流量净额(万元),1321,675,-521,4390,3683,3265,844,4654,4946,3344,
现金及现金等价物净增加额(万元),1291,6993,-1608,1810,-213,959,134,594,31,-680,
总资产(万元),53066,56751,47418,48325,--,--,--,40219,32175,24420,
流动资产(万元),23918,28858,20108,21040,--,--,--,16376,10384,8787,
总负债(万元),8335,12410,20905,22507,--,--,--,18514,15269,12253,
流动负债(万元),6588,10110,14053,15602,--,--,--,11565,8975,11458,
股东权益不含少数股东权益(万元),44696,44288,26464,25760,--,--,--,21705,16906,12167,
净资产收益率加权(%),6.79,6.32,2.69,17.09,--,10.57,4.09,24.86,32.6,39.49,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
