报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.1,0.07,0.04,0.27,0.17,0.11,0.05,0.11,0.1,0.07,0.04,0.22,0.17,0.13,0.16,0.8,0.7,0.55,0.8,0.52,0.37,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.53,--,3.44,3.4,7.19,7.03,6.92,6.75,2.26,2.04,1.63,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.02,--,0.36,0.27,0.34,0.48,0.22,0.17,0.52,0.55,0.82,
主营业务收入(万元),102489,66290,28838,143701,104751,69510,30304,109122,83070,53292,26853,103824,77204,51789,25851,125983,98852,66898,101869,68265,70958,
主营业务利润(万元),24064,16560,8299,36513,26932,17158,7126,22190,17238,11493,5957,22874,17596,11852,6788,36422,30489,21542,29784,17942,14464,
营业利润(万元),6139,4900,2461,18117,10773,7224,3375,6653,6265,4035,2253,11865,9441,6803,3986,24144,20653,14832,17729,7767,6101,
投资收益(万元),--,--,--,--,--,--,--,314,188,98,39,--,--,--,--,--,--,--,123,0,40,
营业外收支净额(万元),1333,524,283,1245,1091,972,413,1330,772,741,750,3923,2965,2809,1769,1686,1014,937,844,1115,292,
利润总额(万元),7473,5424,2744,19362,11864,8196,3788,7983,7036,4776,3003,15789,12406,9611,5755,25830,21668,15768,18573,8882,6393,
净利润(万元),6081,4562,2368,16545,10259,6912,3296,6756,6055,4034,2573,13419,10422,8009,4837,22010,18325,13289,18219,8719,6218,
净利润(扣除非经常性损益后)(万元),4978,4132,2132,15543,9365,6102,2898,5381,5446,3454,--,10179,--,5691,--,20630,--,12486,14952,7060,5280,
经营活动产生的现金流量净额(万元),10615,6038,-1731,9009,15949,11504,4181,-5361,1419,3151,957,22642,21909,16423,10381,14624,6890,5164,11749,9276,13885,
现金及现金等价物净增加额(万元),-10251,-9172,-3843,-440,5350,-5378,-7695,-48841,-51459,-34450,-20201,-46558,-27589,-25906,-374,118432,122053,152070,715,-992,4312,
总资产(万元),326846,324126,324578,297178,285305,258188,252559,243906,263011,253302,245572,239841,229210,227202,248244,246900,248926,268716,95902,79873,70169,
流动资产(万元),119539,118603,121731,110851,114784,103617,100998,107017,102566,119552,126019,137113,160931,164727,184169,187276,205630,229311,57549,46349,38636,
总负债(万元),96410,95307,92335,73709,69915,46175,38899,33567,53624,45969,27344,24193,16569,16971,25801,29343,35093,60215,44394,45405,42712,
流动负债(万元),73420,71707,68475,57718,60322,40395,32878,28541,49562,41967,23543,19754,12326,12765,19057,21749,27034,51656,33476,35738,41067,
股东权益不含少数股东权益(万元),221714,220195,223659,221291,214339,210992,212642,209347,208352,206331,217185,214612,211616,209202,221424,216587,212903,207866,50813,34282,27251,
净资产收益率加权(%),2.71,2.04,1.06,7.68,4.78,3.25,1.56,3.2,2.85,1.88,1.19,6.26,4.85,3.67,2.21,15.03,14.55,16.02,42.96,28.08,25.7,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
