报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2003-12-31,2002-12-31,2000-12-31,1999-12-31,
基本每股收益(元),2.16,1.45,0.78,2.47,2.01,1.34,0.7,2.16,1.74,1.7,0.86,3.22,2.44,1.59,0.77,2.36,1.74,1.13,0.87,3.28,2.45,1.65,0.82,2.66,1.91,1.24,0.59,2.28,1.89,1.31,0.62,1.75,1.23,0.75,0.3,0.95,0.44,0.62,--,--,0.48,--,0.48,--,--,--,
每股净资产(元),15.87,15.12,14.33,13.54,12.28,11.57,11.27,10.49,10.21,14.51,14.27,13.35,12.78,12.03,11.49,10.68,9.91,9.38,16.2,15.35,14.84,14,12.34,11.92,11.17,10.62,10.4,9.8,9.34,8.78,8.4,7.78,7.4,6.92,6.62,4.05,3.54,--,0,2.67,--,0,2.02,1.67,--,--,
每股经营活动产生的现金流量净额(元),31.86,35.73,-2.82,35.8,--,8.61,7.91,10.98,9.43,16.55,9.73,9.19,6.02,19.57,1.01,-0.73,-8.18,-8.28,-17.22,19.63,24.01,13.89,2.31,14.37,-3.14,-1.9,-10.68,0.67,-11.77,-13.14,-8.07,5.05,0.8,4.68,2.13,2.73,--,--,0,-3.75,--,0,--,8.24,--,--,
主营业务收入(万元),11235400,7225800,3420700,12489800,9085000,5940800,2860200,10928700,8030400,5346400,2509600,8761900,6352200,4122100,1923200,5987000,4108700,2624600,1165347,4345591,3179338,2035846,962505,3167905,2195633,1392258,672333,2971498,2226832,1501675,733878,2205541,1598286,1003595,464663,1364958,605379,973659,0,388371,741795,0,565527,644426,381223,271431,
主营业务利润(万元),5212400,3544900,1913000,6019000,4946600,3324500,1752100,5407800,4366200,2864100,1452500,4606800,3497400,2261900,1096000,3353200,2464800,1599400,678372,2389675,1753042,1120311,527551,1721678,1227571,797354,370326,1397019,1165292,801562,385795,1084856,789036,508453,210126,500436,225988,352826,0,0,280815,0,206461,0,3138,-7089,
营业利润(万元),5212400,3544900,1913000,6019000,4946600,3324500,1752100,5407800,4366200,2864100,1452500,4606800,3497400,2261900,1096000,3353200,2464800,1599400,678372,2389675,1753042,1120311,527551,1721678,1227571,797354,370326,1397019,1165292,801562,385795,1084856,789036,508453,210126,500436,225988,352826,0,96925,280815,0,206461,152439,3138,-7089,
投资收益(万元),210300,302200,106000,-9600,8700,84600,-7000,2200,40500,80300,7800,-34600,-36200,2100,-11100,32400,31300,12800,19196,35439,50773,15281,2309,100751,38969,23163,23863,45082,11386,19650,24217,-53092,-12739,-3220,5121,--,--,--,0,49259,--,0,--,102983,44925,47398,
营业外收支净额(万元),24800,13300,7800,40800,31400,18400,-300,18300,4700,1700,2800,12500,9100,9100,4300,13200,7500,5300,2178,10861,5893,4352,2376,1271,-2155,-624,2602,6710,3682,2600,1496,6161,--,2054,721,4184,515,1646,0,0,-522,0,1148,0,1736,-479,
利润总额(万元),5237200,3558200,1920800,6059800,4978000,3342900,1751800,5426100,4370900,2865800,1455300,4619300,3506500,2271000,1100300,3366400,2472300,1604700,680550,2400536,1758935,1124663,529927,1722949,1225417,796729,372928,1403729,1168974,804162,387292,1091017,791986,510507,210848,504620,226503,354472,0,97318,280292,0,207609,153075,50337,40422,
净利润(万元),4122100,2774400,1479000,4713800,3830400,2552700,1336300,4121100,3310200,2163800,1097700,3471800,2634100,1710200,828800,2550500,1878800,1223200,522108,1852058,1359536,876368,407890,1328194,957189,622320,294116,1138503,942650,654397,308779,858577,602389,364270,140832,379826,174580,246497,0,59366,176559,222200,143396,98708,36690,31308,
净利润(扣除非经常性损益后)(万元),4078900,2750800,1468600,4666000,3798300,2533100,1335500,4099800,3300900,2159000,--,3458500,--,1700800,--,2531500,--,1211800,--,1833600,--,869646,0,1259613,0,615145,--,1118745,--,651645,0,799041,0,362677,--,376666,--,245864,0,0,172756,0,143007,0,--,--,
经营活动产生的现金流量净额(万元),60702600,68073900,-5372800,68206000,21385200,16394700,15076800,20911900,17961400,21022300,12356700,11670100,6496700,21107500,1090900,-788500,-8823000,-8935400,-10316704,11765176,14385446,8322263,1156938,7184816,-1569825,-948946,-5341908,332853,-5884293,-6569076,-4037283,2526155,399545,2341611,1062565,1091126,-586914,8295128,0,-1500226,1359308,0,921715,2471358,--,--,
现金及现金等价物净增加额(万元),-18167000,2552000,-15936100,23000700,15637300,14537400,14914900,-12801200,-10102700,4595400,1205500,-751200,-431900,17636900,-1920500,125400,-8978500,-9279700,-10409894,7856774,10709021,7489182,1554836,3471199,-7178436,-4559335,-6097852,-1451533,-5211619,-6935044,-4605039,5552625,-1493634,-1197847,-2102102,1642990,-3095875,3649054,0,-2244861,-50079,0,1099567,1750322,--,--,
总资产(万元),528939800,512590300,451303600,440639900,399557700,394820000,379314500,367743500,363365000,357727800,346961100,325097500,296468600,278045100,262939800,240879800,209210900,208990600,191699043,184967338,181026724,171480374,149406972,133216155,126631162,121363497,109723676,102089882,92531263,91696391,86616963,85133527,85761510,81555498,71142663,61770434,53221955,47509410,40000000,33649340,34006471,0,25906032,18965585,8559017,4918291,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,0,24147736,--,0,--,13782971,6018545,3592319,
