报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.77,0.56,1,0.67,0.57,1.01,0.92,0.63,
每股净资产(元),7.54,7.31,5.09,--,--,4.29,3.48,2.76,
每股经营活动产生的现金流量净额(元),0.49,0.39,1.06,--,0.52,0.74,0.76,0.65,
主营业务收入(万元),18935,13209,23939,17513,12212,21289,18388,14323,
主营业务利润(万元),6380,4489,7482,5405,3933,7287,6488,4467,
营业利润(万元),3272,2349,3531,2376,2022,3888,3343,2354,
投资收益(万元),124,5,12,9,8,--,--,--,
营业外收支净额(万元),339,34,546,328,288,190,390,173,
利润总额(万元),3610,2382,4077,2704,2309,4079,3732,2526,
净利润(万元),3089,2041,3493,2323,1980,3502,3216,2184,
净利润(扣除非经常性损益后)(万元),--,2008,3019,--,1728,3340,2885,2038,
经营活动产生的现金流量净额(万元),2253,1807,3683,1610,1802,2589,2641,2273,
现金及现金等价物净增加额(万元),4171,3975,1739,-255,184,-1010,648,-856,
总资产(万元),43238,43288,26639,--,--,23358,21220,12151,
流动资产(万元),27919,27980,11308,--,--,8116,8411,6735,
总负债(万元),8256,9355,8919,--,--,8435,9103,2555,
流动负债(万元),5416,6490,6056,--,--,5517,6784,2432,
股东权益不含少数股东权益(万元),34982,33934,17720,--,--,14923,12117,9596,
净资产收益率加权(%),12.12,9.73,21.56,--,12.63,26.01,29.63,25.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
