报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-06-30,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),-0.19,-0.17,-0.11,0.05,-0.26,-0.15,-0.09,0.02,0.01,-0.07,-0.07,0.03,-0,-0.01,-0.09,0.03,-0.12,-0.03,-0.07,0.02,-0.09,-0.02,-0.06,0.04,0.12,0.01,-0.06,0.03,0.05,0.11,-0.03,2.1,2.08,1.09,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.97,4.14,--,4.27,4.4,4.26,4.13,4.56,4.95,5.06,4.9,4.58,4.84,6.11,6.57,5.84,6.25,5.82,4.94,5.81,8.8,9.09,12.59,13.73,17.86,15.66,5.07,6.75,6.74,6.74,6.7,6.9,6.89,6.85,6.81,6.7,7.08,7.02,4.67,4.15,0,3.97,3.8,3.14,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.06,--,-0.19,-0.1,-0.1,-0.36,-0.4,-0.12,-0.07,-0.29,-0.22,-0.18,-0.09,-0.26,-0.2,-0.14,-0.09,-0.43,-0.31,-0.33,-0.25,-0.43,-0.34,-0.59,-0.3,-0.9,0,--,0,0.55,0,0,0,-1.33,0,0,0,0.43,--,0,--,--,--,
主营业务收入(万元),101079,64905,29238,118699,85123,56045,26644,118355,87302,58851,27229,122762,84312,54614,25664,111528,82425,54649,26430,93639,67558,43608,21162,71299,51075,32812,15127,56589,38839,24073,10164,42970,30191,20462,10078,40381,28160,17162,8308,53693,54039,35531,17914,56892,35697,22559,11647,58591,22298,11389,57419,52146,41099,
主营业务利润(万元),11800,7432,3125,13244,10218,7145,3336,24104,19387,13579,6205,22785,15360,10045,4295,15073,11217,8071,3731,14847,10979,7916,3860,13848,9593,6120,3019,11790,7768,4551,1856,8931,6720,4424,--,10574,7461,4633,2444,10462,7854,5297,3087,12728,9644,6996,3739,16319,6532,3484,16322,15584,12818,
营业利润(万元),-14364,-11806,-7348,-368,-15274,-9056,-5126,1819,1682,-1822,-2417,3842,1175,241,-4146,-356,-6359,-2030,-3505,-2488,-5864,-2105,-3320,278,5598,79,-2717,-3867,-1041,30,-1969,73903,72866,18992,6446,-11305,-145,-149,259,502,852,874,825,1521,1933,1522,1090,5495,1712,996,4919,4485,4318,
投资收益(万元),3117,879,12,27196,1350,767,16,17126,9373,3022,9,15606,10001,6269,10,18365,4997,4754,267,12385,4022,3782,194,13032,12993,3809,5,6773,6741,6561,382,88700,79085,23289,5736,15128,1503,1460,461,529,599,512,-12,3641,1134,1045,0,538,474,0,2198,3910,1238,
营业外收支净额(万元),948,408,95,344,647,518,214,1258,1146,894,332,1380,917,551,285,1805,632,334,198,3597,2127,1548,1140,1803,350,966,19,4463,--,--,--,--,--,--,--,-305,0,--,0,-48,0,0,0,-2,0,0,0,-8,-5,0,-273,-6,-0,
利润总额(万元),-13416,-11398,-7253,-24,-14627,-8538,-4911,3077,2829,-928,-2085,5222,2092,792,-3861,1449,-5727,-1696,-3308,1109,-3737,-558,-2179,2081,5948,1046,-2698,597,2637,3772,-1331,74230,73069,19117,6443,3520,1346,1301,720,983,1428,1364,800,5172,3069,2569,1093,6797,2184,982,6846,8391,5556,
净利润(万元),-10104,-8955,-5825,2191,-11563,-6884,-4169,1010,363,-2942,-2968,1399,-153,-450,-3847,1556,-5239,-1442,-3058,1083,-4021,-994,-2469,1667,5354,310,-2723,1236,2234,3394,-1026,62918,62453,16364,5487,3201,1443,1383,661,1063,1336,1289,582,4059,2407,2117,668,4097,1600,599,5152,6407,3731,
净利润(扣除非经常性损益后)(万元),-11686,-9250,-5890,-17708,-12064,-7347,-4341,-10865,-6041,-4832,--,-8277,--,-3153,--,-9638,--,-1582,--,-8164,--,-1832,--,-7878,--,-918,0,-4900,0,-3634,--,-2703,0,16293,--,-10767,0,-94,0,432,0,799,0,755,0,1070,0,2794,--,0,--,--,--,
经营活动产生的现金流量净额(万元),-23755,-18778,-5366,-16644,-9020,-3070,-2897,239,558,-4377,-2781,-9863,-8708,-4440,-4695,-16093,-17793,-5189,-3329,-13011,-10067,-8191,-4154,-11513,-8960,-6314,-4243,-19129,-13923,-9880,-7503,-12820,-10211,-8805,-4453,-13569,1251,-1663,-13960,8206,2104,-2533,-2309,-19978,-9210,-11642,-3692,3908,1093,0,-720,--,--,
现金及现金等价物净增加额(万元),-28268,8026,30089,23622,5192,-15155,-11059,7797,990,-16032,-6318,-12589,-15452,-18031,-13572,10097,-10552,4698,3178,-2231,-2695,2656,2589,-7894,-6071,5250,-3522,-24794,-11222,-1717,-667,31407,42736,18469,4472,-1169,-21804,-14543,-19626,-959,-1192,-607,-768,28870,25513,28369,54287,1053,406,0,1226,--,--,
总资产(万元),363680,429509,447480,410897,342034,305492,307687,324399,323154,303490,317253,324234,322990,329567,321894,317921,327692,350515,353739,330760,319207,328284,394426,407986,365879,362808,335364,289087,340089,342882,357909,474628,505639,331350,293087,111621,135612,131759,132754,135211,170154,159640,155670,148913,144510,128602,137403,80276,76759,0,74871,76451,69667,
流动资产(万元),131287,165732,171489,133172,113714,88862,94560,103267,96831,80190,83446,83972,87267,88183,87200,99115,82344,91929,92615,83080,83808,83677,81296,74133,76456,89716,79503,84699,91646,120323,119911,117429,116891,90871,80143,64204,76598,82767,86347,88654,119877,116576,112843,107959,100933,91538,101169,44116,40260,0,37669,35151,28092,
总负债(万元),145857,181568,183247,182230,158541,121059,122159,127694,121425,106132,111674,111339,113492,114487,113990,115916,105416,110559,108672,92685,95051,92277,101173,94390,85163,68924,57320,49927,60796,59883,61954,81625,84708,58298,52841,30221,28742,24915,25775,28914,56927,47426,44860,38787,36471,18586,26437,32696,34367,0,34056,37408,36798,
流动负债(万元),121530,147801,144896,143511,134760,99010,100689,104144,96310,83520,82796,80828,82129,81881,82037,89115,82351,85874,83686,73834,71430,64228,63197,53506,49706,36497,27618,27707,29158,29114,39614,40793,37956,29077,26762,29858,28427,23127,24007,27145,55149,45648,43082,37009,34703,16817,24669,30927,32318,0,32007,35640,35522,
股东权益不含少数股东权益(万元),209175,238282,253551,216571,169217,168678,168784,179180,182617,178535,186257,194110,192078,198201,191649,185699,205265,222692,227701,220481,205996,217632,275004,295611,262707,281004,261936,222240,261640,264055,272819,377832,411836,267907,234910,76084,101181,101108,101137,100476,103446,103425,102731,102149,100453,106152,105364,42022,37337,0,35736,34185,28270,
净资产收益率加权(%),-4.39,-3.69,-2.48,1.11,-6.64,-3.96,-2.4,0.54,0.19,-1.57,-1.56,0.74,-0.08,-0.23,-2.04,0.77,-1.78,-0.65,-1.36,0.42,-1.6,-0.39,-0.87,0.64,--,0.12,0,0.41,0,1.06,--,22.76,0,8.87,--,4.22,0,1.32,0,1.04,0,1.23,0,4.15,0,2.24,0,9.94,4.38,0,14.73,20.52,13.23,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
