报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.78,0.52,0.64,2.3,1.84,1.31,--,2.12,1.49,0.92,--,1.85,0.82,1.39,1.08,0.88,0.39,0.37,
每股净资产(元),--,--,--,--,--,--,--,7.21,--,--,--,5.6,4.57,4.12,3.81,3.1,2.24,1.91,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,2.41,--,--,--,1.33,0.29,0.31,-0.12,0.35,0.45,0.31,
主营业务收入(万元),70741,48053,23403,76558,58567,38088,18225,62814,46779,29354,14876,54476,26975,40868,29928,27255,17454,14652,
主营业务利润(万元),51404,34933,16588,53152,41069,26475,12653,42721,32263,20029,9998,35677,18065,26528,18950,15890,8344,5816,
营业利润(万元),15252,10293,5072,14793,11607,7342,4137,11860,8371,5296,2695,9959,4749,7725,6251,5021,2190,2089,
投资收益(万元),196,196,158,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,
营业外收支净额(万元),236,-26,-12,450,196,216,-232,226,210,19,3,306,10,462,130,28,17,-4,
利润总额(万元),15488,10266,5060,15243,11803,7558,3905,12086,8581,5316,2698,10264,4759,8186,6381,5049,2207,2085,
净利润(万元),12754,8517,4206,13127,9995,6399,3304,10408,7282,4506,2283,9089,4038,6791,5282,4310,1908,1806,
净利润(扣除非经常性损益后)(万元),12336,8340,4062,12680,9779,6183,3488,10162,7063,4465,2267,8783,--,6372,--,--,--,--,
经营活动产生的现金流量净额(万元),12906,3963,2566,14799,7354,7613,3138,11786,6222,3744,840,6727,1418,1514,-608,1757,2887,1120,
现金及现金等价物净增加额(万元),-794,-6653,-2671,7717,4832,32857,249,1392,-2582,-1112,-3703,5830,2741,732,-1121,341,1601,97,
总资产(万元),101436,94437,91889,87234,83476,97182,62887,59757,--,--,--,51654,40437,32738,29155,22249,18682,16282,
流动资产(万元),51472,45946,47857,48644,49873,64810,32736,31501,--,--,--,29996,28220,23182,19796,14249,10595,8211,
总负债(万元),17123,14362,11393,10944,10317,27620,27095,24426,--,--,--,24233,18066,12543,10470,7045,7715,6924,
流动负债(万元),14540,11779,10062,9614,8987,19387,20195,17526,--,--,--,16233,13066,12043,10470,7045,7715,6924,
股东权益不含少数股东权益(万元),84313,80075,80496,76290,73158,69562,35793,35331,--,--,--,27421,22371,20195,18685,15204,10967,9358,
净资产收益率加权(%),15.73,10.57,5.37,23.93,20.52,17.47,--,33.62,24.54,15.62,--,38.42,18.43,39.37,31.73,32.84,18.69,21.22,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
