报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
基本每股收益(元),0.14,0.11,0.05,0.13,0.16,0.13,0.04,0.19,0.18,0.1,0.01,0.02,0.02,0,-0.01,0.1,0.1,0.07,0.02,0.15,0.13,0.07,0.04,0.28,0.23,0.15,0.07,0.48,0.42,0.3,0.1,0.62,0.47,0.28,0.09,0.55,0.25,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,1.43,1.42,2.18,2.19,2.21,2.18,2.13,2.09,2.06,2.01,2.95,2.9,2.85,2.77,4.58,4.5,4.43,4.3,1.72,1.62,0,0,0,1.36,1.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.12,0.08,-0,-0.01,-0.03,-0.06,0.04,0.14,0.03,0.01,-0.06,0.51,0.42,0.33,0.01,0.48,0.09,0.12,-0.12,0.78,0,-0.15,-0.1,0.92,0.16,
主营业务收入(万元),37666,26683,11901,52803,40372,27965,12359,58928,45431,32494,18133,47677,30862,18297,7770,41943,30167,19042,7723,39667,27565,16146,6579,32308,22596,14056,5578,30475,23036,15471,6270,30018,21782,13019,4841,22285,18462,
主营业务利润(万元),13640,9612,4045,16315,12683,9068,3622,13180,9863,6480,2930,9045,6024,3497,1239,8591,7193,4623,1838,9825,7070,4158,1764,8421,6169,3821,1405,7163,5526,3679,1388,7127,5430,3254,1110,5024,3616,
营业利润(万元),4764,3739,1664,5357,6334,5044,1669,6239,6055,3094,516,-1230,-448,-591,-627,839,1989,1292,264,2268,2278,1218,417,3902,3400,2154,718,3693,3169,2139,668,4401,3451,2022,555,2798,1253,
投资收益(万元),353,220,70,529,391,285,97,3539,3482,1811,0,-412,-372,-264,-142,44,56,-37,--,--,--,--,--,--,--,--,--,--,--,0,0,-2,0,--,0,--,--,
营业外收支净额(万元),203,197,183,10,25,11,8,26,2,17,10,156,-3,-14,0,126,69,68,1,5,-0,-0,--,434,365,267,50,--,--,--,--,282,--,--,--,297,25,
利润总额(万元),4966,3936,1847,5366,6359,5054,1678,6264,6057,3111,526,-1074,-451,-605,-627,966,2058,1360,264,2273,2278,1218,417,4335,3765,2421,768,4298,3731,2342,768,4683,3551,2122,655,3095,1278,
净利润(万元),4272,3331,1524,4220,5057,4040,1350,6045,5661,3125,350,697,479,76,-202,2119,2186,1522,508,3118,2644,1466,564,3891,3191,2052,650,3633,3060,1920,630,4006,3025,1804,557,2640,1184,
净利润(扣除非经常性损益后)(万元),4098,3162,1368,4213,5038,4032,1344,2661,5662,3111,341,633,--,88,--,2012,--,1465,--,3113,--,1466,--,3523,--,1825,0,3120,0,1754,548,3766,0,1719,471,2387,1072,
经营活动产生的现金流量净额(万元),3096,3286,4130,-2357,-3472,-1565,-337,7215,5683,583,-2523,969,3671,2555,-93,-205,-584,-1206,769,2845,636,175,-784,7134,5824,4593,102,4175,757,1063,-790,5054,5306,-979,-655,4395,767,
现金及现金等价物净增加额(万元),14689,2591,6831,-12023,-10541,-3521,619,15140,8331,7283,-694,2037,7121,-263,-124,-3069,-3767,-5130,-174,-3116,-1943,41,-831,-8750,2821,1755,86,21564,19283,26251,-2050,2826,1309,-2125,-915,2695,-1291,
总资产(万元),159796,134006,131666,122607,89391,73693,71837,64661,62852,63570,84987,79282,82248,70442,68044,68498,68135,67327,67463,64886,62776,60972,58250,59117,47574,46248,45003,45145,46009,48353,20871,20002,0,0,0,16330,16954,
流动资产(万元),81059,61308,58647,52834,62718,51748,51770,47685,46644,43853,47053,41011,44640,31358,30836,30604,31729,30487,31212,31700,30729,28945,25822,26187,39130,37603,36331,36255,40411,42810,15458,14444,--,--,--,10742,11481,
总负债(万元),100276,75418,73892,66432,32802,18810,18822,13085,11768,15032,28358,22876,23976,16096,12338,12101,10797,10543,11566,11229,11044,10018,7861,8983,7839,7652,5199,5991,7429,10912,9723,9484,--,--,--,9818,10386,
流动负债(万元),73631,75205,73679,66369,32728,18736,18747,13011,11677,14941,26607,21125,22159,14369,10611,10373,9002,8748,9771,9434,9170,8144,5987,7110,7839,7652,5199,5991,7429,10912,9723,9484,--,--,--,6698,10213,
股东权益不含少数股东权益(万元),58018,57076,56313,54789,55100,53478,51885,50535,50151,47615,45467,45116,44904,44495,45470,45672,46154,45491,44477,43553,43079,41901,40999,40435,39735,38595,39804,39154,38580,37440,11148,10518,0,0,0,6512,6568,
净资产收益率加权(%),7.61,5.97,2.74,8.07,9.61,7.71,2.64,12.64,11.86,6.69,0.77,1.54,1.04,0.17,-0.44,4.75,4.9,3.43,1.16,7.42,6.33,3.56,1.39,9.83,--,5.16,0,14.63,0,16.73,--,47.04,0,0,0,34.45,18.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
