报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
基本每股收益(元),0.12,0.11,0.03,0.14,0.19,0.17,0.05,0.23,0.24,0.14,0.03,0.27,0.23,0.13,0.03,0.33,0.25,0.13,0.05,0.35,0.3,0.16,0.35,0.25,0.14,0.29,0.13,
每股净资产(元),3.98,3.97,3.9,3.86,3.91,5.41,5.29,5.24,5.25,5.17,5.06,5.02,4.94,4.91,4.81,4.77,4.7,4.58,4.49,4.43,4.36,2.01,1.85,--,0,1.48,1.19,
每股经营活动产生的现金流量净额(元),0.1,0.14,0.18,-1.02,0.05,0.17,0.05,-0.29,0.05,0.06,0.06,0.22,0.06,0.09,0,-0.19,-0.13,-0.01,-0.08,-0.19,0.02,0.02,-0.14,--,0.12,0.27,0.29,
主营业务收入(万元),52168,36948,16082,77138,47441,33894,15400,45146,39735,28054,12911,48104,35341,24039,11625,31470,24368,14985,6773,29463,23289,14686,26723,20200,12498,23563,6475,
主营业务利润(万元),9929,6516,2502,11314,8784,5542,2254,7613,6806,4103,1743,7247,6214,3857,1515,5147,3687,2097,1030,4474,3516,2055,4004,3090,1751,3230,1236,
营业利润(万元),1003,1551,339,1055,2897,1906,552,182,2473,1291,379,2734,2698,1451,365,3137,2622,1390,656,2775,2345,1279,2660,2018,1042,2224,727,
投资收益(万元),22,13,18,98,144,112,--,5,-7,-5,--,1,-6,-4,--,-2,--,--,--,--,--,0,22,-60,22,0,46,
营业外收支净额(万元),1542,834,447,2244,556,273,60,2884,418,323,24,387,199,107,9,727,380,151,34,646,447,156,367,149,161,--,--,
利润总额(万元),2545,2385,786,3299,3453,2179,611,3067,2891,1613,404,3120,2897,1558,374,3865,3002,1541,690,3421,2792,1436,3027,2167,1203,2265,942,
净利润(万元),1921,1800,566,2249,3122,2033,589,2718,2810,1617,419,3172,2748,1560,376,3826,2916,1495,639,3416,2709,1435,3044,2189,1229,2352,978,
净利润(扣除非经常性损益后)(万元),--,1090,--,338,--,1810,--,192,--,1345,--,2901,--,1453,--,3177,--,1394,--,2913,--,1279,2711,--,1042,2371,763,
经营活动产生的现金流量净额(万元),1582,2328,3016,-16662,886,1985,612,-3383,545,753,656,2581,695,1078,46,-2166,-1528,-168,-974,-2211,237,175,-1198,103,1003,2370,2254,
现金及现金等价物净增加额(万元),-2274,204,-7167,4646,11267,1453,-5285,3255,5896,2534,591,-10052,-9621,-11357,-9279,-10166,-11780,-4577,-3661,24155,31404,809,733,2047,1211,201,968,
总资产(万元),190486,183496,168954,174881,149802,140815,124723,128013,120083,113806,110226,110017,99275,97489,92150,83110,77195,75495,73454,73628,75032,38471,35021,--,0,24814,22630,
流动资产(万元),88047,86758,77425,92779,74181,67365,53120,55863,51917,46209,41460,42821,37746,36850,42755,44106,41353,44863,44665,47508,51671,17124,15116,--,--,7897,7187,
总负债(万元),112613,105754,92741,99383,78063,69697,55456,59346,51726,46440,44223,44347,35215,33888,30581,25529,20835,20595,19564,20428,22925,19986,17972,--,--,11625,13309,
流动负债(万元),96686,89827,76563,83055,62678,61527,46734,51937,44109,38646,34745,34901,23280,23573,20683,17883,14576,12152,9664,11024,11095,11496,9372,--,--,7514,9268,
股东权益不含少数股东权益(万元),65195,65074,63841,63274,64107,63311,61867,61278,61370,60470,59159,58741,57847,57419,56236,55859,54949,53528,52515,51876,51061,17521,16087,--,0,12861,9306,
净资产收益率加权(%),2.99,2.81,0.89,3.61,4.98,3.26,0.96,4.53,4.68,2.71,0.71,5.52,4.83,2.75,0.67,7.1,5.46,2.84,1.22,11.95,--,0,21.12,--,0,21.61,10.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
