报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,
基本每股收益(元),0.58,0.36,0.19,0.79,0.56,0.31,0.16,--,0.55,0.28,0.16,0.61,0.54,0.37,0.14,0.53,0.46,0.32,0.13,0.63,0.58,0.38,0.09,0.47,0.36,0.31,0.16,0.45,0.36,0.27,0.11,0.44,0.32,0.22,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,7.05,--,6.94,6.75,6.92,6.55,6.75,6.93,7.41,7.08,7.05,6.88,6.15,6.49,5.61,5.63,5.59,4.56,5.57,5.65,5.82,8.24,3.5,3.39,3.47,3.38,3.31,3.18,3.1,3.27,3.2,3.09,3.18,3.11,3.03,2.97,2.98,2.93,2.89,2.86,2.88,2.86,2.93,2.9,2.86,2.85,2.92,2.21,2.19,2.1,1.96,1.89,2.44,2.29,2.59,2.46,2.35,2.22,2.22,2.24,1.63,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.11,--,0.77,0.46,0.14,0.88,0.61,0.37,0.03,1.06,0.92,0.47,0,0.09,0.07,0.02,0.04,0.21,0.13,0.07,0.01,0.32,0.15,0.07,0.01,0.34,0,0,0,0.38,--,0,0,0.31,0,0,0,0.32,0,0,0,0.27,0,0.09,0,0.08,0.04,0.86,0.74,0.11,--,0.2,0.22,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),411297,248933,90902,291310,216522,136855,64253,268441,196063,120332,55065,233599,175576,111298,52315,211608,155950,96385,44643,212454,165773,110526,21391,78256,56980,35681,16891,79363,60208,40151,19989,83476,62468,41019,19656,92951,69255,46621,21971,90246,65797,42452,20627,86370,61565,39258,18630,79692,57007,35433,21816,83420,49600,31168,14936,68265,30849,69638,34832,67220,30186,64066,32392,73992,35276,74461,36359,69555,33039,51946,2721,47015,
主营业务利润(万元),363558,219131,77762,245479,182654,115649,53996,224150,162944,99621,44857,193163,144873,92103,42832,173569,127620,79114,36204,168407,130090,85151,12360,49033,37242,23518,11053,51242,38715,25696,12157,54617,40616,26856,--,63745,46627,31443,15063,61705,45948,29564,13838,58199,43705,27411,12694,48014,34826,21162,13154,47577,27351,16890,8120,34561,15677,34028,16653,35102,15155,33310,16909,2895,378,2538,1933,4065,2161,5929,218,1063,
营业利润(万元),64216,38646,19537,63410,42371,22154,11147,46971,40412,19548,10365,44469,39816,27211,8898,36791,31262,20735,7660,45169,40777,26389,5832,32921,25714,21923,12009,30304,24615,19158,7929,32150,23079,15944,6647,15165,11070,7377,2691,14101,9970,6738,2647,10112,5488,3603,872,-938,-1699,-2804,371,-25,-170,-742,-845,1680,1072,795,1081,2359,57,1939,662,2895,0,2538,0,4062,0,0,218,1063,
投资收益(万元),25914,22995,20062,46232,27133,15493,12400,24672,21948,8060,7755,17572,18714,15881,6723,15098,12945,10916,5914,18939,18811,13798,5438,29357,22925,20384,11235,17909,14218,12203,5312,18565,11796,9465,3998,10923,8830,4316,2411,7704,7119,4587,2942,9657,6710,3985,2457,5484,4294,3103,1786,2789,2745,1675,1085,1534,1304,12690,4824,12130,1854,3017,1440,7662,4872,5254,2882,4094,2504,2988,269,3098,
营业外收支净额(万元),2267,2463,1175,3150,2729,1552,1084,2694,2539,2046,1474,2417,995,701,801,1672,1326,1424,822,1887,1626,1442,244,557,460,458,4,1820,--,108,--,--,--,--,--,105,0,0,0,1824,2140,0,-1,-720,0,0,0,687,0,-293,-13,4933,2667,2712,0,-123,-16,233,0,-594,0,0,0,0,166,0,-212,0,-31,-690,0,--,
利润总额(万元),66483,41109,20712,66560,45101,23707,12232,49665,42951,21594,11839,46887,40811,27911,9699,38463,32588,22159,8482,47056,42403,27830,6076,33478,26173,22380,12013,32124,25172,19266,8028,32455,23160,16023,6651,26292,20908,12662,6284,23797,19303,11494,5587,19746,12708,8117,3854,5744,2591,372,2255,7777,5285,3688,338,5719,2431,14061,6218,14271,4799,11146,8759,10816,5416,9506,4603,8368,4634,8227,488,4060,
净利润(万元),46384,29151,15368,48717,33908,18626,9657,37747,33240,16806,9383,36916,32850,22477,8434,32048,27557,19267,7618,38061,34955,23066,5605,28099,21911,18437,9914,27320,21659,16455,6889,26378,19166,13273,5586,21679,17233,9773,4803,19263,14904,8611,4257,14523,9777,6150,3067,3925,1974,140,1808,6101,4562,3105,279,5412,3620,11811,5134,11794,4084,10457,7538,9736,4831,8741,4392,7657,4041,6062,233,3448,
