报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),1.01,0.62,0.36,1.09,0.8,0.52,0.3,0.93,0.68,0.43,0.25,0.74,0.53,0.35,0.22,0.82,0.61,0.4,0.25,0.7,0.5,0.31,0.24,0.7,0.46,0.28,0.15,0.54,0.35,0.23,0.12,0.91,0.54,0.39,0.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.56,4.43,5.02,4.8,4.58,4.37,4.5,4.26,4.08,3.88,5.08,4.84,4.61,4.43,4.5,4.35,4.15,4.02,3.91,7.56,7.11,4.54,4.55,4.39,4.15,4.05,4.14,4.01,3.86,3.8,5.03,4.93,4.72,2.28,2.06,1.69,1.6,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,1.11,0.55,0.18,0.38,0.22,0.12,0.13,0.22,0.14,-0.24,-0.1,0.66,0.74,0.5,0.32,0.32,-0.13,-0.28,-0.21,0.77,-0.56,-0.5,-0.68,1.55,0,--,0,0.66,0,0,0,0.84,0,0,0.46,0.44,--,
主营业务收入(万元),827862,537957,300673,953464,716539,464290,259718,838325,630912,413728,227112,688946,509427,333799,192158,712565,532091,347846,191661,562206,413170,263739,140982,411569,286985,178964,97477,362247,273751,177009,94887,293370,203699,134307,69051,207893,139533,95062,49760,146966,89295,57133,30744,100510,69076,42126,83652,61514,46945,
主营业务利润(万元),230983,151906,86802,271204,201473,133947,77120,233963,172553,113914,63735,195740,141509,93576,55773,190439,142545,95738,54186,156080,116255,75619,41227,127010,89627,57863,33076,99461,73237,48694,28700,77771,53310,36613,--,55666,38678,26360,13800,36188,23257,15700,8537,27660,19095,12230,23770,18335,15393,
营业利润(万元),86765,53109,30717,90531,67462,43963,24975,75792,57738,37561,22096,57454,44380,29286,17563,59290,45585,30364,18086,49805,37935,23670,14236,42509,28970,19338,10494,34364,22952,15380,7973,24433,16806,12059,6199,15450,9801,6812,3705,10064,5961,4491,2031,6862,4859,2904,8057,6351,3506,
投资收益(万元),3260,2736,510,2628,2340,1814,909,795,434,280,150,177,49,-11,--,2029,1505,458,223,1035,760,672,868,1317,1062,332,-197,2531,172,167,24,229,208,21,10,-37,-131,81,52,-273,-191,-130,-96,530,483,486,518,-241,-114,
营业外收支净额(万元),2081,1467,937,276,1189,478,-178,-926,-11,-887,-779,1833,616,-59,-21,2724,1452,107,8,2587,141,116,-122,217,-267,-101,-182,278,--,--,--,--,--,--,--,-675,0,--,0,-375,0,0,0,-103,0,0,-102,-99,-77,
利润总额(万元),88846,54576,31654,90807,68651,44441,24797,74866,57727,36674,21317,59287,44996,29227,17542,62014,47037,30471,18094,52392,38075,23786,14113,42726,28703,19237,10312,34642,22841,15461,8003,24220,16821,11987,6134,14881,9514,6807,3742,9515,6056,4208,2038,7765,5529,3417,11100,7679,3829,
净利润(万元),63701,39508,23062,68989,50826,33145,18949,58851,43263,27480,15826,46914,33316,22004,12877,47564,35255,23116,14194,40393,28783,17923,10583,31042,20339,12358,6586,23651,15371,10229,5337,17194,9738,6868,3850,10221,6019,4255,2310,6923,4255,2950,1443,6315,3668,2304,7647,5129,2437,
净利润(扣除非经常性损益后)(万元),58912,36259,21152,66256,47782,31193,18279,58915,42798,27954,16464,45048,--,21785,--,43499,--,22018,--,37983,0,18168,--,28607,0,11973,0,21034,0,10170,--,16944,0,6832,--,10790,0,4134,0,6507,0,2927,0,4078,0,1850,5238,4325,2345,
经营活动产生的现金流量净额(万元),42815,11188,1875,83319,58922,32914,20911,58799,61451,35332,27532,85733,70634,35203,10327,21923,12641,7008,7423,12425,8174,-13604,-4326,29458,32733,22049,14400,14217,-5825,-12521,-8881,16689,-12119,-8752,-12004,27366,-1265,-6592,-10395,11703,-8219,-8796,-4987,11327,1114,169,4656,--,--,
现金及现金等价物净增加额(万元),15323,-8617,-18633,2662,16053,57395,61368,5045,-13257,64067,787,-23353,42092,7821,6401,-15640,-18024,-19761,1269,-18738,-16936,-26899,-7460,3896,10571,7735,11367,8521,-7654,-11803,-11040,42004,47497,-15107,-10227,10379,-10610,-3322,-5646,-20778,-26467,-18148,-15712,46734,47530,3319,-230,--,--,
