报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
基本每股收益(元),0.14,0.09,0.04,0.24,0.19,0.12,0.05,0.26,0.19,0.11,0.04,0.28,0.21,0.13,0.11,0.72,0.53,0.33,0.13,0.64,0.09,0.59,0.61,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.17,2.09,4.43,4.32,4.13,2.2,2,2.06,0,1.81,1.25,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.32,0.23,0.22,0.33,0.27,0.31,0.21,0.72,0.15,0.62,0.46,
主营业务收入(万元),33349,21725,10482,55463,41339,27232,12924,56742,41548,26204,11541,63174,48638,32138,14772,64700,48040,31349,14403,55876,11230,52170,51607,
主营业务利润(万元),12004,8159,3866,18269,13775,9017,4469,17936,13003,8026,3213,19854,15126,9472,4518,18913,13428,8332,3857,17594,3399,14956,13306,
营业利润(万元),4682,3026,1311,8178,6476,4099,1764,8060,6317,3853,1218,9501,7651,4806,1941,9948,7034,4309,1764,8364,1231,6953,6220,
投资收益(万元),979,579,275,1166,738,497,178,783,610,387,128,870,654,402,216,912,692,433,180,717,101,584,637,
营业外收支净额(万元),292,143,73,450,381,211,136,1196,379,274,186,457,110,-30,21,1089,665,153,18,270,32,292,31,
利润总额(万元),4974,3169,1384,8628,6857,4310,1900,9256,6697,4128,1404,9958,7762,4775,1962,11036,7699,4462,1782,8635,1263,7245,6251,
净利润(万元),4289,2733,1196,7605,5921,3719,1634,8141,5784,3567,1213,8737,6690,4117,1700,9593,6636,3849,1537,7419,1057,6085,4857,
净利润(扣除非经常性损益后)(万元),4041,2611,1134,7222,5590,3539,1519,7107,5462,3334,1055,8276,--,4107,--,8535,--,3719,0,7189,0,5835,4835,
经营活动产生的现金流量净额(万元),1019,-1588,-1736,5847,5194,1422,264,9547,5365,3600,1434,11674,10094,7286,3468,5169,4182,3598,2423,8353,1791,7238,3717,
现金及现金等价物净增加额(万元),-9054,-9014,-9664,10779,-2023,16296,580,134,-2457,4910,201,-1008,-4752,792,1522,5499,27819,-1480,-1858,-1894,-2669,2800,-286,
总资产(万元),99456,98079,98141,99338,97946,102931,99116,97782,94828,91972,94981,93888,91448,89549,95180,92716,91632,58438,54933,55131,0,51467,49951,
流动资产(万元),67600,66500,65768,66681,66049,71795,67363,65965,64658,62073,66029,64612,64438,62595,69035,66339,67026,34810,32457,32538,--,28272,27252,
总负债(万元),25140,25339,23816,26206,26496,27442,25713,26017,25416,24775,23891,24011,23614,24293,26100,25335,27200,32975,31781,31191,--,30492,39960,
流动负债(万元),22363,22512,20939,23279,23519,24416,22637,22891,22321,21634,20705,20779,20390,20986,22790,23119,24982,30755,29558,23247,--,24868,34098,
股东权益不含少数股东权益(万元),74315,72740,74325,73132,71450,75489,73403,71765,69412,67197,71089,69877,67833,65257,69080,67381,64432,25463,23152,23939,0,20976,9991,
净资产收益率加权(%),5.78,3.67,1.62,10.06,8.07,5.05,2.25,11.58,8.26,5.05,1.72,12.93,9.85,6.02,2.49,22.8,25.81,15.58,0,34.13,0,37.33,42.06,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
