报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,
基本每股收益(元),0.02,0.01,0.01,0.14,0.15,0.12,0.05,0.04,-0.01,-0.12,-0.07,-0.73,-0.4,-0.31,-0.16,0.06,0.32,0.35,0.15,0.1,0.11,0.07,0.03,0.02,-0.1,-0.16,-0.16,-0.32,0.04,0.04,0.03,0.17,0.09,0.04,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.07,--,5.47,5.57,5.77,5.92,6.19,6.23,6.06,5.91,5.87,5.85,5.81,5.78,5.67,5.6,5.61,5.77,6.15,6.14,6.29,6.25,6.18,6.13,6.17,6.14,6.06,6.06,6.08,6.06,6.04,6.04,6.03,6.01,6,5.98,6.01,5.99,6,6.04,5.99,5.98,6.05,6.04,6.04,0.06,6.64,6.7,6.68,6.55,6.51,3.87,3.94,3.59,3.14,2.84,2.97,2.79,3.06,2.93,3.54,3.34,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,1.12,--,-0.36,0.5,0.44,0.55,0.88,0.4,0.21,1.67,1.49,1.41,0.47,-0.43,0.16,0.21,0.06,1.22,1.15,0.79,0.49,0.22,0.69,0.25,-0.11,0.42,0,0,0,0.52,0,0,0,0.55,0,0,0,0.05,0,0,0,0.17,0,-0.2,--,0.07,-0.11,0.11,0.15,0.12,--,0.2,0.89,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),964854,680173,307537,1488614,809587,555515,274414,1469422,1136193,876183,465170,1709805,1277842,858094,445444,1526481,1159394,705857,335968,1247539,929307,610143,256534,617449,402636,200861,65612,454089,364029,236925,107180,451059,313531,194693,84991,284490,177064,111395,51508,195116,128336,84861,46327,165607,123652,79507,36640,144665,108252,70374,37218,135588,104865,63740,23533,115743,60761,104044,56463,119312,45361,140540,69478,122832,55847,68430,28446,54547,28494,44167,21613,48415,
主营业务利润(万元),38009,22356,10993,66357,43066,28325,15082,45631,33281,24362,12343,42169,30356,18862,8671,59500,55389,45639,20759,48116,33872,18755,7480,34604,19265,8391,569,33633,30391,19949,8982,42869,24722,14849,5452,22330,15762,11724,5967,17932,12635,8709,4234,17283,12725,8672,4115,13160,9789,6376,3883,12235,10054,5192,1786,10923,6913,21600,13448,21167,7964,27881,15327,25245,11280,9544,5104,9621,7700,8159,5083,7669,
营业利润(万元),415,-399,-262,9052,6834,5514,2497,5447,-1181,-6029,-2484,-35345,-18091,-13443,-6932,5516,18310,19185,8532,8037,7092,4023,1959,4441,-5247,-8779,-8339,-14361,4356,3149,1881,14749,5673,2586,1186,-258,2879,3798,1875,6772,3976,2912,1488,6147,4943,3354,1482,2776,2550,1436,907,2101,1814,942,354,6776,5202,17898,9704,13601,5093,24449,14157,25359,0,10041,0,10130,0,0,5079,7825,
投资收益(万元),4252,4102,2365,9102,6430,5975,698,9115,6691,3113,1184,-2902,-426,-976,-1037,11547,10209,8248,2100,10935,7382,6727,3276,7588,3253,452,52,-4190,24,11,--,1890,1816,1238,1596,2833,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,561,0,0,-114,73,0,
营业外收支净额(万元),151,134,95,212,-62,-76,18,1014,50,39,-10,1370,899,40,73,510,146,310,8,-80,-8,114,-12,-180,-10,7,-48,-426,--,156,64,--,--,--,55,-394,0,0,-12,-293,0,0,0,-393,0,0,0,-513,-175,-124,0,0,-35,-5,0,-6,0,-13,0,-22,0,0,0,0,-7,0,-149,0,-9,-112,0,--,
利润总额(万元),567,-265,-167,9264,6772,5438,2515,6461,-1131,-5991,-2494,-33975,-17192,-13404,-6859,6026,18456,19495,8540,7957,7084,4137,1947,4262,-5257,-8772,-8388,-14787,4231,3304,1944,15134,6534,2643,1241,2458,3472,3872,1963,6515,3873,2845,1449,5753,4742,3164,1346,2263,2375,1312,849,1817,1780,937,354,6769,5202,17885,9705,13579,5093,24440,14158,25311,11632,10250,5874,10109,6496,8363,5138,7866,
净利润(万元),853,567,554,6053,6529,5217,2349,1968,-530,-5493,-3014,-32169,-17694,-13607,-6885,2496,14259,15463,6688,4522,4749,2994,1359,751,-4287,-7231,-7125,-14104,1847,1689,1147,7514,3876,1629,832,2165,2191,2536,1265,3905,2595,1906,971,3021,3230,2173,955,890,1591,877,569,778,1192,628,237,3438,3485,11059,6495,10641,4329,19953,12034,20669,9058,7525,4300,7004,4321,7148,4369,6686,
