报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.29,0.24,0.08,0.38,0.44,0.29,0.09,0.31,0.21,0.13,0.06,0.15,0.06,0.03,0.04,-0.04,0.02,0.04,0.06,0.03,0.04,0.04,0.03,0.1,0.07,0.05,0.02,0.14,0.05,0.06,0.01,0.14,0.23,0.23,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.95,2.91,2.93,2.89,2.95,2.97,3.01,2.95,2.97,2.96,3.03,3.01,2.98,2.96,3.02,3,2.9,2.92,3,2.98,3.11,3.11,3.03,2.98,2.96,2.92,2.96,2.95,2.91,2.86,2.92,2.91,2.84,2.8,2.84,2.84,2.79,2.76,2.73,2.7,2.79,2.77,2.69,2.67,4.1,3.81,1.63,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,1.68,0.48,-0.38,0.53,-0.05,0.02,-0.19,-0.44,-0.59,-0.52,-0.32,0.03,-0.39,-0.42,-0.35,0.09,0.21,0.38,-0.01,0.6,0.26,0.3,-0.19,0.43,0,0,0,0.47,0,0,0,-0.71,0,0,0,0.1,0,0,0,0.21,0,-0.17,--,-0.16,-0.18,0.41,0,0,0,
主营业务收入(万元),59592,52293,27666,253796,173370,91123,25511,155512,88389,56914,22314,167426,94890,57654,13419,103839,62059,39345,16281,93587,49981,32948,10752,70601,50899,34550,10230,64111,34862,26738,5308,71817,53065,28599,9140,109340,75577,52260,21285,142343,99507,60612,27725,79708,37262,21944,6902,58422,35539,27769,14730,52311,35671,28580,5827,67589,30092,39764,30754,28310,20236,
主营业务利润(万元),13319,12053,4422,31282,23261,14065,4401,24945,14062,9318,4824,17190,7440,4806,2751,9282,6178,4862,3480,9085,6566,4833,2816,9201,6902,4784,1540,10558,5311,4398,916,9891,8122,6280,--,20045,14354,9527,3142,21192,14334,8963,3237,11318,6189,3381,692,8687,5606,4138,2151,9946,6606,5521,1586,14964,7634,11970,10999,7506,8062,
营业利润(万元),11130,9083,3038,17324,17413,11506,3430,15044,8651,5384,2365,6418,2628,1195,1228,-1513,760,1340,1719,1086,1968,1802,736,3948,2759,1789,596,2574,204,709,-460,7929,11837,11268,198,4628,2667,1128,186,5225,4244,2154,239,3872,2630,1485,-90,4341,2760,2007,1062,5851,4192,3502,811,10591,5016,7080,6927,6215,6710,
投资收益(万元),24,--,--,314,19,19,--,64,23,23,--,26,26,0,--,283,51,51,--,221,--,--,--,2448,845,527,256,1731,777,626,--,8239,10929,11026,0,206,1632,1800,2,131,-303,-149,-95,365,734,644,239,651,373,203,34,180,123,61,12,153,43,172,79,520,0,
营业外收支净额(万元),--,--,--,276,23,15,15,1,2,2,2,12,9,5,0,54,51,0,0,-68,-52,-52,4,108,96,96,96,1478,--,1473,--,--,--,--,--,-109,0,0,-37,53,0,0,0,1754,0,0,0,-1,10,0,0,-2,-6,-1,0,-49,4,431,0,0,0,
利润总额(万元),11130,9083,3038,17599,17437,11521,3445,15045,8652,5386,2367,6430,2637,1200,1228,-1459,812,1340,1719,1019,1915,1750,740,4056,2855,1885,692,4052,1685,2182,714,8048,11842,11270,200,6264,4257,2911,151,6053,4880,3023,92,6294,3372,2132,149,5006,3153,2220,1096,6037,4317,3569,832,10720,5062,7683,6980,6755,6661,
净利润(万元),8560,7050,2385,11338,13049,8445,2588,9311,6306,3733,1798,4374,1769,772,1238,-1100,588,1076,1733,792,1326,1052,754,2878,2196,1526,647,4227,1554,1734,334,4030,6952,6816,160,4831,3983,2803,202,4649,3758,2381,192,5103,2993,1819,139,4086,2768,1896,935,4820,3632,3022,761,8899,4260,6311,5307,4777,4654,
净利润(扣除非经常性损益后)(万元),8560,7050,2385,11131,13031,8433,2576,9299,6304,3731,1796,4373,--,767,--,-1141,--,1076,--,843,--,1091,--,1910,--,1459,0,2588,0,640,--,-560,0,292,--,3439,0,1067,0,2560,0,2306,0,3106,0,1432,0,3733,0,1887,0,4813,3630,3015,--,8880,4256,5879,0,0,0,
