报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
基本每股收益(元),0.15,0.19,0.07,0.32,0.33,0.22,0.09,0.54,0.44,0.29,0.18,0.62,0.46,0.29,0.13,0.61,0.52,0.33,0.29,1.04,0.72,0.4,0.17,0.64,0.4,0.07,0.5,0.5,
每股净资产(元),3,5.99,5.9,4.22,4.23,4.13,4.08,3.39,3.3,3.15,4.62,4.43,4.27,4.1,5.23,5.1,5.01,4.81,9.56,9.27,8.93,8.64,3.66,3.49,--,0,--,0,
每股经营活动产生的现金流量净额(元),0.21,0.29,0.11,0.07,0.03,-0.08,-0.03,0.25,0.37,0.26,0.2,0.71,0.45,0.29,0.09,0.28,0.43,0.29,0.25,0.54,0.44,0.22,0.14,0.66,--,0.08,0.4,0.54,
主营业务收入(万元),312092,178294,75869,164338,110032,67210,28851,109735,80305,50808,21875,81035,55309,33478,13636,58932,44310,28657,12712,48309,33250,19301,8061,26150,17023,4241,21211,17894,
主营业务利润(万元),34722,21027,9715,38076,29246,19122,8347,41225,31737,20881,8951,31473,21196,12341,4122,22519,18060,11484,5358,18633,12326,6801,3047,9822,6197,1421,7661,5870,
营业利润(万元),19570,11044,4603,16543,17672,12183,5264,30008,23473,15557,6115,21279,13504,7775,2198,17029,14420,9435,4315,12987,8496,4334,1923,6621,4250,792,5137,4145,
投资收益(万元),-168,-54,--,--,--,--,--,659,-520,-360,-178,-503,-462,-192,-80,-89,--,--,--,--,--,0,0,-93,--,0,--,0,
营业外收支净额(万元),1555,1326,288,2465,1925,1252,346,898,2108,1331,1013,2712,4270,3418,1780,754,685,63,23,740,643,345,21,408,154,--,69,0,
利润总额(万元),21125,12370,4891,19008,19597,13436,5610,30906,25581,16888,7128,23991,17774,11193,3978,17783,15104,9498,4338,13727,9138,4679,1944,7029,4405,792,5205,4394,
净利润(万元),17125,10290,4237,16569,16795,11503,4745,26353,21644,14293,6028,20356,15119,9524,3364,15253,12928,8158,3679,11715,7790,3957,1631,6055,3752,677,4628,3968,
净利润(扣除非经常性损益后)(万元),--,9163,--,14366,--,10438,--,24888,--,13161,--,17969,--,6618,--,14610,--,8105,--,11084,--,3664,1631,--,--,677,--,0,
经营活动产生的现金流量净额(万元),23870,16815,6411,3382,1687,-3975,-1768,12078,18136,12628,6505,23170,14622,9355,2218,7030,10752,7399,3136,6810,5470,2741,1297,6240,3794,798,3688,4294,
现金及现金等价物净增加额(万元),101633,123177,120357,6927,3023,-429,18305,-6527,-8754,-688,91,-2280,-2598,6722,-1170,-31749,-32237,-11927,-5864,48904,53379,53769,-4748,4711,-1079,457,-1472,582,
总资产(万元),531439,499080,463981,352433,331247,307151,306097,225682,216723,205329,188450,178203,163137,162670,150317,149487,139489,125707,123210,122518,116644,112554,48867,45828,--,0,33900,31150,
流动资产(万元),300278,271650,250373,141512,139224,122226,136411,89140,75809,78408,72727,71297,64685,74734,64971,65988,76838,88841,88668,89956,87557,84411,22553,25152,--,--,16180,17462,
总负债(万元),184392,153164,122948,135156,113531,94897,96278,59790,55285,51240,37724,33511,23758,28885,18929,21462,13797,4949,3188,6153,4582,4108,14419,13011,--,--,7242,9757,
流动负债(万元),155223,137185,106994,118931,98962,85950,88837,52284,50089,46025,32491,30019,21857,26973,17008,19531,13797,4949,3188,6153,4582,4108,11819,10411,--,--,7242,9757,
股东权益不含少数股东权益(万元),346462,345537,340711,216995,217416,211954,209820,165892,161438,154089,150726,144692,139379,133786,131388,128025,125692,120758,120022,116365,112062,108445,34448,32817,--,0,26657,21393,
净资产收益率加权(%),6.57,6.6,1.25,7.88,8.76,6.19,2.49,17.01,14.11,9.57,4.08,15,10.75,7.21,2.59,12.49,10.63,6.88,3.11,14.54,--,5.6,0,19.54,--,0,18.99,26.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
