报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.7,0.48,0.23,0.87,0.69,0.47,0.23,0.84,0.66,0.44,0.2,0.66,0.58,0.41,0.18,0.71,0.57,0.38,0.17,0.55,0.44,0.27,0.11,0.37,0.29,0.18,0.08,0.34,0.32,0.22,0.11,0.23,0.15,0.09,0.12,0.06,--,--,--,--,--,--,--,--,
每股净资产(元),6.29,6.05,5.79,5.55,5.35,5.11,5.09,4.82,4.7,4.51,4.44,4.24,4.17,4.02,3.92,3.73,3.62,3.46,3.25,3.08,2.99,2.82,2.75,2.63,2.65,2.54,2.52,2.44,2.42,2.31,2.2,2.16,2.08,2.33,1.02,0.96,--,--,0,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),0.85,0.82,-0.67,0.73,0.13,1.93,-0.28,-2.91,-2.37,1.01,-1.38,-1.18,-2.31,-1.61,-2.71,6.41,-0.53,0.19,-1.39,0.96,0.34,0.3,-1.16,-0.2,-2.06,-2.61,-1.89,3.59,1.23,2.44,0.34,0.76,1.59,0.98,-0.24,-0.43,--,--,0,--,--,--,--,--,
主营业务收入(万元),10745300,7003800,3299200,12471600,9256800,6210600,2980000,10455800,7657200,4987800,2404600,8943500,6628200,4417100,2167900,7694800,5545600,3530000,1683000,5576500,4015600,2550500,1218200,4080100,2721200,1710400,829800,4015500,3097800,2025000,950700,2783800,1929900,1187900,1783000,795300,1354000,1106400,1145072,1131432,1031937,853700,686700,777200,
主营业务利润(万元),4373100,3011000,1464500,5440400,4301600,2947900,1435100,5228500,4098800,2709500,1228500,4150400,3636000,2583100,1159100,4142500,3247800,2023500,868400,2796900,2288300,1421100,578100,1912200,1503400,933000,425700,1761500,1652000,1112000,552800,1310300,928000,556600,678900,302000,544200,404100,300059,221834,155721,145200,113900,200100,
营业利润(万元),4373100,3011000,1464500,5440400,4301600,2947900,1435100,5228500,4098800,2709500,1228500,4150400,3636000,2583100,1159100,4142500,3247800,2023500,868400,2796900,2288300,1421100,578100,1912200,1503400,933000,425700,1761500,1652000,1112000,552800,1310300,928000,556600,678900,302000,544200,404100,300059,221834,155721,145200,113900,200100,
投资收益(万元),288500,204100,67500,258500,259600,229000,95600,19100,34500,37300,20500,103900,106400,54300,17100,25700,29400,19500,3900,4300,-9100,-25800,-9100,15700,11700,5400,35000,-700,21000,18600,3100,12100,24300,5900,-8200,-2800,200,4000,156868,156659,190084,178500,122100,150700,
营业外收支净额(万元),11100,1000,-800,17000,7700,2400,2300,26400,20100,14800,8200,10500,8700,4500,1500,16500,11100,9100,3500,72600,11500,7000,1200,14300,6000,2800,1900,13100,8900,7100,1400,3700,2800,2600,5000,2300,7600,4300,0,1647,1638,--,--,--,
利润总额(万元),4384200,3012000,1463700,5457400,4309300,2950300,1437400,5254900,4118900,2724300,1236700,4160900,3644700,2587600,1160600,4159000,3258900,2032600,871900,2869500,2299800,1428100,579300,1926500,1509400,935800,427600,1774600,1660900,1119100,554200,1314000,930800,559200,683900,304300,551800,408400,245342,223482,157358,145200,113900,200100,
净利润(万元),3292600,2258600,1092800,4069200,3228000,2203400,1070600,3917500,3086000,2039100,921800,3103200,2722600,1937300,856300,3081900,2422600,1502400,650500,2150900,1719300,1068500,431200,1432000,1139500,704700,322900,1332000,1245100,841700,419000,829000,524700,320500,372600,171700,314800,245000,154384,141633,94553,92400,76000,141900,
净利润(扣除非经常性损益后)(万元),3275400,2244200,1093600,4049900,3219900,2199700,--,3892800,3069200,2024900,--,3087300,2713800,1927200,855100,3062700,2480200,1477100,647900,2100200,1709700,1061600,430300,1391100,1135000,702600,321500,1318700,1238700,836700,418000,857500,522900,318800,--,206800,--,--,0,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3962100,3818000,-3111700,3415000,610300,9007200,-1307400,-13622800,-11081600,4738100,-6441300,-5542600,-10799900,-7555100,-12665400,30010400,-2244100,749100,-5442200,3732500,1338800,1152900,-4513800,-769700,-8031400,-10183500,-7366800,14023100,4783600,9539600,1307700,2951900,5656100,3341400,-757400,-1324100,-765000,3025600,0,--,--,--,--,--,
现金及现金等价物净增加额(万元),-819700,-1710000,-2272000,2873200,2534300,10303700,317800,-13718500,-13871100,412700,-9278600,-14225500,-17249800,-11164900,-14942500,30517300,-97400,-985000,-4767200,666200,-789000,-1253900,-4458600,-1670200,-8000600,-10240100,-8146800,7810400,-208600,4081000,3099500,3751800,6051000,5573000,-1710300,-797100,379500,1271400,0,--,--,--,--,--,
总资产(万元),465313800,456127700,443021500,413881500,404588700,431118700,398151400,364119300,340140800,343694500,311908400,295993900,291194500,291636500,265737600,276588100,227084300,224521800,214439800,208131400,194761500,194016800,175280200,177503100,142886100,140147700,125556900,118783700,108867500,111720800,107605800,101123600,92891800,86854900,70685900,--,59499300,49340200,41980297,33516259,30039618,23463600,15733400,13360800,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,0,--,0,0,--,--,--,--,28058155,22234963,20427731,--,--,--,
总负债(万元),435700200,427019500,415146600,387146900,378820200,406448900,373816000,341046800,317659800,322096800,290628800,275685300,271227600,272388500,246958000,258710000,209748100,210556100,201307200,195677600,182657500,182594600,164093300,166802300,132543300,130241400,115728900,109249100,99429800,102701200,98999900,92709500,84787700,78957300,67502900,--,57127500,48468200,40295804,32582571,29088738,22607300,14929900,12562700,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,0,--,0,0,--,--,--,--,34814346,30005654,27056314,--,--,--,
