报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.2,0.12,0.04,0.22,0.16,0.1,0.04,0.29,0,-0,-0.01,-0.08,-0.03,-0.03,-0.01,-0.24,-0.18,-0.09,-0.04,0.01,0.05,0.05,0.02,0.24,0.17,0.06,0.01,0.15,0.09,0.07,0.04,0.22,0.14,0.1,0.03,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,1.5,1.5,1.52,1.53,1.59,1.68,1.73,1.77,1.8,1.79,2.81,2.8,2.78,2.67,2.71,2.71,2.65,2.63,3.03,2.99,2.92,2.88,3.13,3.11,3.12,3.09,3.36,3.27,3.64,3.55,2.2,1.62,1.36,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.04,-0.05,0.01,-0.09,-0.02,-0.03,-0.06,0.04,0.09,0.05,0.18,0.17,-0.04,0.14,0.04,-0.17,-0.24,-0.03,-0.15,0.55,0.28,0.2,-0.06,-0.2,0,--,0,0.44,0,0,0.57,0.1,0.58,
主营业务收入(万元),484834,309764,130489,538246,353985,222054,93535,372681,101513,65460,33083,142140,105370,67391,29624,134490,104144,71168,32408,145160,109347,72741,31009,136764,100090,59624,25865,162417,118146,79643,33904,176754,134678,84025,33893,166162,121736,78184,38247,135173,99809,64595,128602,89596,88472,
主营业务利润(万元),61759,37453,14347,67491,42430,26912,11177,50561,16023,10840,4789,20059,13424,8808,3371,14846,10165,7096,3406,23404,18093,12298,5111,30283,21476,11632,4685,27668,18099,12498,5948,23988,16764,11397,--,21061,16119,12055,6421,23860,18896,12770,25687,20597,13456,
营业利润(万元),36339,22385,7376,36656,25303,15889,5786,29365,-1151,-1309,-1290,-7935,-3603,-2884,-1122,-14361,-9851,-5721,-2110,-1336,1349,1527,365,7987,5342,1473,-137,3714,2350,1741,808,5619,4113,3049,803,3614,3406,2947,2637,6510,5845,3796,10093,7689,5231,
投资收益(万元),-106,-106,-58,336,27,--,--,--,-89,-36,-23,231,196,120,33,-133,-101,-86,-33,10,9,1,6,-108,-112,-42,-28,31,18,5,--,0,--,0,0,-4,-3,-2,-1,-148,-63,-69,57,-4,-2,
营业外收支净额(万元),134,109,-3,195,67,77,71,95,-62,-51,-18,194,92,30,15,41,-131,-7,-5,-26,87,179,36,-231,147,175,4,-151,-152,--,--,--,--,--,--,-134,0,--,0,-129,0,0,-97,-59,-60,
利润总额(万元),36472,22495,7374,36851,25370,15966,5857,29460,-1213,-1360,-1308,-7741,-3511,-2854,-1107,-14321,-9982,-5727,-2114,-1362,1436,1705,401,7756,5488,1648,-132,3563,2198,1663,790,5900,4094,3029,799,3476,3344,2892,2622,6335,5743,3693,10212,7627,5169,
净利润(万元),25523,15787,4965,26879,18894,11862,4331,21990,149,-202,-564,-3852,-1451,-1284,-535,-10735,-8010,-4172,-1591,573,2262,2112,516,6867,4822,1763,161,4360,2594,1933,928,5481,3565,2475,666,3276,3363,2690,2187,5333,5313,3570,8589,6955,4920,
