报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.21,0.15,0.07,0.2,0.14,0.11,0.06,0.03,-0.02,-0.04,-0.02,-0.13,-0.06,-0.03,0.02,0.21,0.18,0.22,0.14,0.37,0.29,0.2,0.16,0.54,0.4,0.46,0.43,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.52,3.55,3.68,3.65,3.62,6.22,6.14,6,5.87,5.77,5.72,2.55,--,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0,-0.03,0.04,0.24,0.13,0.18,0.11,-0.03,-0.02,-0.02,-0.07,0.76,--,-0.13,0.26,
主营业务收入(万元),29859,19960,9392,37560,27682,19489,9779,31364,21409,14987,7256,31604,23694,16119,9794,42034,31020,21584,12012,43522,30783,21110,11503,42967,30801,41543,34267,
主营业务利润(万元),13236,9010,3931,14154,9912,6670,3404,9505,5779,3539,1287,6721,5333,3900,2409,12832,9654,6631,3489,12594,8748,5971,3426,12678,8845,11141,9075,
营业利润(万元),5066,3688,1724,4562,3053,2394,1446,581,-800,-1129,-612,-2864,-1538,-859,528,4508,3868,2851,1954,4799,3734,2419,1704,5708,4238,4614,5030,
投资收益(万元),36,36,--,27,27,27,--,26,26,26,--,23,23,23,--,23,23,23,--,24,24,24,--,25,25,23,16,
营业外收支净额(万元),-36,-14,-7,277,249,285,229,-2,338,223,92,-269,144,192,5,536,504,229,-11,30,-1,-4,-11,-5,5,0,0,
利润总额(万元),5030,3674,1717,4839,3303,2680,1675,580,-462,-905,-520,-3133,-1394,-666,533,5044,4372,3079,1942,4829,3732,2415,1692,5703,4243,4861,5006,
净利润(万元),4312,3157,1458,4057,2798,2253,1414,548,-407,-778,-449,-2572,-1223,-584,446,4379,3708,2617,1662,4205,3173,2055,1452,4815,3608,4161,3909,
净利润(扣除非经常性损益后)(万元),4319,3151,1456,3789,2562,1994,1211,519,-716,-978,-537,-2352,--,-793,--,3888,--,2405,--,4142,--,2041,--,4819,--,3976,3496,
经营活动产生的现金流量净额(万元),3111,2706,12,7331,4042,854,730,3112,1916,-384,-2770,-1051,-88,-522,875,4879,2731,2214,1315,-376,-269,-231,-875,6826,5261,-1172,2308,
现金及现金等价物净增加额(万元),-1414,-1186,-615,-4534,-6258,-6804,-3590,1826,-1226,-3147,-4115,-11511,-6151,-2482,-1767,-2023,-6185,-1031,239,32060,36208,39392,41173,3407,2475,-3492,-1909,
总资产(万元),90049,89789,89719,84853,79136,78645,78208,80186,76585,76549,77561,81802,85788,85340,85138,87178,82227,86052,87880,86498,83932,84194,86585,44187,--,40954,36244,
流动资产(万元),53472,52977,54043,49365,43508,44767,46564,49201,45252,44842,45609,50397,55418,57163,57474,59430,55479,59636,62145,60954,63747,64502,66841,24927,--,22982,19484,
总负债(万元),13005,13690,13400,10121,5642,5794,5807,9204,6562,6927,7592,11408,14022,12954,10142,12648,8342,11413,14215,14502,13549,14982,17905,21208,--,21084,20451,
流动负债(万元),12895,13540,13271,10013,5587,5756,5772,9169,6529,6899,7561,11381,13991,12926,10123,12633,8323,11385,14190,14479,13528,14970,17880,21193,--,18674,20451,
股东权益不含少数股东权益(万元),77043,76100,76319,74731,73493,72851,72401,70983,70022,69622,69969,70394,71766,72386,74996,74530,73885,74639,73665,71995,70383,69212,68680,22979,--,19869,15793,
净资产收益率加权(%),5.69,4.17,1.93,5.57,3.87,3.15,1.97,0.78,-0.58,-1.11,-0.64,-3.56,-1.67,-0.79,0.6,5.99,5.05,3.57,2.28,7.17,5.87,4.46,6.12,23.12,--,23.34,26.35,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
