报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.04,0.03,0.01,0.02,0.03,0.02,0.01,0.2,0.15,0.11,0.06,0.12,0.1,0.08,0.07,0.36,0.21,0.16,0.09,0.57,0.43,0.31,0.49,0.41,0.29,0.2,
每股净资产(元),2.91,2.9,2.92,2.91,2.92,2.92,3.58,3.58,3.54,3.49,3.54,3.49,3.47,3.45,5.29,5.22,5.08,5.04,6.63,6.54,6.42,1.83,1.63,--,1.16,3.63,
每股经营活动产生的现金流量净额(元),-0.05,-0.09,-0.1,-0.15,-0.05,0.01,-0.08,-0.13,-0.19,-0.16,-0.08,0.15,-0.14,-0.18,-0.04,0.17,-0.09,-0.04,-0.4,0.41,0.3,0.41,0.56,--,0.43,0.5,
主营业务收入(万元),37819,23967,11421,42502,31911,19669,8685,41339,32454,22299,9681,31191,22246,14550,6897,40593,31172,22202,10191,40570,30410,21090,34126,24223,32922,29750,
主营业务利润(万元),3509,2323,1041,3568,2641,1745,837,6610,5468,3690,1764,4091,3086,2326,1309,6367,4188,2703,1175,5357,4080,3021,5337,4392,3564,2827,
营业利润(万元),502,472,138,326,429,403,193,3741,3019,2080,1088,2281,1752,1514,915,4534,2574,1983,730,4122,3043,2301,3777,3209,2113,1610,
投资收益(万元),-81,-45,-20,-24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,-17,-81,
营业外收支净额(万元),335,272,52,301,205,84,51,184,93,28,11,232,244,91,54,289,237,231,189,665,248,61,47,46,56,-1,
利润总额(万元),837,744,190,627,635,488,244,3926,3112,2108,1099,2513,1997,1605,969,4823,2811,2214,918,4787,3291,2362,3824,3255,2169,1609,
净利润(万元),743,594,161,495,542,410,224,3335,2629,1787,934,2093,1698,1350,828,4058,2368,1863,777,4048,2801,2001,3161,2679,1864,1271,
净利润(扣除非经常性损益后)(万元),--,397,--,239,--,338,--,3179,--,1763,--,1896,--,1273,--,3813,--,1667,--,3483,--,1949,3121,--,1812,1349,
经营活动产生的现金流量净额(万元),-1099,-1799,-2114,-3051,-1102,284,-1397,-2242,-3263,-2645,-1402,2500,-2372,-3107,-456,1961,-1071,-486,-3468,3598,2604,2667,3632,2626,2811,715,
现金及现金等价物净增加额(万元),-2379,-6355,-4167,-4782,-4026,-1964,-1252,-5120,-7638,-7044,-2367,-14147,-15215,-15069,-4090,-11420,-8196,-7685,-8190,42911,44114,725,-31,-1371,2233,815,
总资产(万元),72506,67595,69855,70935,67995,66258,69074,68288,65906,64568,65648,65015,62709,61339,63888,63944,62122,60883,60898,64551,63804,19501,17988,--,14996,12942,
流动资产(万元),30225,25317,28162,31321,33529,32339,35227,35144,36041,36209,37735,37027,39049,39630,51282,51319,56066,54956,55503,59179,58420,14046,13503,--,11256,9892,
总负债(万元),5808,6808,8679,10767,7536,5943,7350,6522,4805,5062,5271,5567,3571,2531,3820,4673,4414,3586,2952,7389,7683,7338,7091,--,6952,7111,
流动负债(万元),3303,4240,5841,7892,4540,4535,5910,5048,3289,3821,3999,4275,2291,2450,3735,4586,3714,2884,2252,6653,6938,6583,7013,--,6952,6631,
股东权益不含少数股东权益(万元),59528,59437,60061,59883,60176,60046,61460,61480,60813,59220,60095,59164,58856,58526,59779,58983,57422,57015,57656,56875,55837,11890,10593,--,7561,5195,
净资产收益率加权(%),1.24,1,0.27,0.82,0.88,0.66,0.36,5.52,4.38,3.02,1.57,3.57,2.88,2.29,1.39,7.03,4.14,3.26,1.35,17.69,--,17.79,34.83,--,29.97,26.83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
