报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.28,0.29,0.15,0.64,--,0.39,0.18,0.7,--,0.84,0.86,1.22,1.09,0.83,
每股净资产(元),--,--,--,--,--,6.5,--,5.95,--,5.7,4.98,4.43,3.3,3.9,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.67,--,1.37,--,0.81,0.77,1.01,0.81,1.55,
主营业务收入(万元),62008,43617,21826,75795,56857,41321,19147,66599,51061,61066,57584,51844,47160,48866,
主营业务利润(万元),15177,10698,5070,16907,13309,9689,4357,16939,3605,16857,14473,15703,15034,12451,
营业利润(万元),3731,3194,1613,5092,3926,3378,1539,5349,3789,6762,6197,7913,7128,6120,
投资收益(万元),598,409,115,648,525,329,125,604,--,1032,1359,1097,1499,1438,
营业外收支净额(万元),367,269,17,550,342,119,20,706,--,388,1330,2703,276,11,
利润总额(万元),4099,3463,1631,5641,4268,3497,1559,6055,--,7150,7527,10617,7404,6131,
净利润(万元),3597,3019,1412,4837,3655,2941,1319,5244,3747,6308,6470,9179,6007,4575,
净利润(扣除非经常性损益后)(万元),3300,2795,1397,4377,3326,2847,1299,4652,3241,5978,5340,--,--,--,
经营活动产生的现金流量净额(万元),-679,-1212,-2846,6291,2077,5042,-277,10282,3307,6053,5802,7547,6094,4809,
现金及现金等价物净增加额(万元),-3837,-1921,3532,-1279,-2250,5241,-2887,799,-1451,-4067,5721,1332,2390,-221,
总资产(万元),111759,110620,110528,93061,92076,89123,--,77941,--,72579,62830,52828,41730,36214,
流动资产(万元),35666,37210,42331,32454,--,37713,--,32221,--,28748,28061,24915,21649,19660,
总负债(万元),37643,37076,35616,42287,42501,40168,--,33133,--,29652,25328,19355,16830,23916,
流动负债(万元),37285,36700,29221,35874,--,35716,--,32638,--,21014,20699,15905,14990,19718,
股东权益不含少数股东权益(万元),73903,73342,74712,50576,49358,48747,--,44638,--,42767,37371,33259,24722,12094,
净资产收益率加权(%),5.05,4.3,2.11,10.15,--,6.34,2.91,11.8,--,15.7,18.21,32.2,41.05,47.2,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
