报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),-0.07,-0.05,-0.06,0.09,0.12,0.07,0.07,0.37,0.3,0.13,0.04,0.4,0.32,0.11,0.07,0.49,0.34,0.21,0.18,0.79,0.53,0.34,0.13,0.66,0.37,0.41,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,6.25,5.38,3.75,3.91,3.84,3.69,3.66,7.58,7.4,7.07,7.38,7.21,2.37,--,1.71,1.46,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.09,0.15,-0.16,0.46,0.3,0.34,0.65,0.43,-0.17,-0.22,-0.19,0.56,--,0.54,0.41,
主营业务收入(万元),273639,178946,76408,358688,241393,157046,78585,204362,128534,74837,32531,146982,97857,56615,29883,123760,90509,56630,26296,87054,59234,35846,16330,51694,32252,37620,33321,
主营业务利润(万元),14855,8592,2677,26237,20470,12666,6178,21404,15298,7546,2883,17937,13894,6613,3256,16213,11454,7017,2924,11807,7950,4984,2088,8165,5165,5796,6124,
营业利润(万元),-3888,-2637,-2524,5527,6753,3868,2122,10400,8299,3625,1081,9170,7213,2309,1651,11327,8114,5043,2122,8411,5584,3443,1479,4887,2791,3089,3743,
投资收益(万元),--,0,0,144,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,
营业外收支净额(万元),980,894,89,380,639,424,193,462,411,250,167,605,333,330,15,1,-49,-65,15,161,100,83,2,518,301,--,--,
利润总额(万元),-2908,-1743,-2435,5906,7393,4292,2315,10862,8711,3875,1248,9775,7546,2639,1665,11328,8065,4978,2137,8572,5684,3526,1481,5405,3092,3346,3825,
净利润(万元),-3201,-2389,-2857,4432,5778,3319,1582,8958,7109,3197,1003,8494,6338,2200,1413,9850,6889,4262,1824,7395,4848,3004,1283,4971,2806,3048,3601,
净利润(扣除非经常性损益后)(万元),-4034,-3149,-2933,4044,5234,2959,1418,8582,6759,2985,862,7980,--,1920,--,9849,--,4317,--,7258,--,2933,--,4245,--,2640,3173,
经营活动产生的现金流量净额(万元),20840,26195,16865,464,4525,8780,4425,3389,7782,2805,-3577,6240,2269,2939,-3223,9266,5931,6885,6498,4263,-1663,-2173,-1917,4209,-3343,4084,3086,
现金及现金等价物净增加额(万元),-4290,5989,5803,7205,24581,32329,1930,-21019,-79,-8709,-7825,12904,47787,-2677,-8582,-14755,-14876,-7763,-600,16623,23079,34669,39933,10437,-4361,49,1548,
总资产(万元),289309,288069,307062,326274,320536,302023,259371,231122,203634,194530,193985,192039,212207,145774,129112,135104,121657,113634,118463,110793,93807,99320,93041,52263,--,25966,26961,
流动资产(万元),156267,155020,174120,196580,195312,183883,143633,114975,105125,93936,104063,108221,146708,99340,86423,93716,90169,83537,91809,83753,75738,89692,82949,42067,--,18201,18948,
总负债(万元),152701,151115,169855,186713,174987,160139,121197,94529,68890,63698,61746,60803,83127,70724,50848,58254,47767,40372,42638,36793,23148,25505,20947,34478,--,13151,15994,
流动负债(万元),150064,148493,167166,184034,172576,158448,118600,91823,64603,62553,60510,59901,82214,69947,50041,57447,46930,39535,41770,35925,22250,24607,19948,33479,--,11078,13170,
股东权益不含少数股东权益(万元),136627,137020,137207,139561,145550,141884,138174,136593,134744,130833,132239,131236,129080,75050,78263,76850,73889,73262,75825,74001,70659,73816,72095,17785,--,12815,10967,
净资产收益率加权(%),-2.32,-1.73,-2.07,3.23,4.18,2.41,1.15,6.72,5.34,2.42,0.76,9.31,8.06,2.82,1.81,13.04,9.16,5.66,1.63,12.29,--,6.56,6.96,32.49,--,26.29,40.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
