报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,
基本每股收益(元),0.57,0.36,--,0.92,0.33,0.93,0.31,0.85,0.29,--,0.21,0.5,0.08,--,0.05,0,
每股净资产(元),6.44,6.24,--,5.08,4.49,4.36,3.75,3.43,2.87,--,2.28,2.06,1.65,--,1.54,1.66,
每股经营活动产生的现金流量净额(元),-0.73,-0.23,--,0.23,--,0.8,--,1.44,-0.26,--,-0.39,0.22,-0.27,--,-0.3,--,
主营业务收入(万元),75255,48211,14887,91146,37548,71424,27449,51665,20965,36033,15122,26513,10314,20982,5299,12882,
主营业务利润(万元),19794,12436,2630,27545,11903,24093,9555,19135,7947,14396,5944,10538,3861,7350,1592,3833,
营业利润(万元),5707,3150,-1529,8921,2778,8653,2980,8069,2733,6402,2073,4474,720,3253,467,1479,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,1,3,6,
营业外收支净额(万元),312,294,172,93,354,460,13,151,19,183,24,361,31,179,1,302,
利润总额(万元),6020,3444,-1356,9014,3132,9113,2993,8220,2752,6585,2096,4835,750,3432,470,1781,
净利润(万元),5171,2989,-1276,7529,2705,7657,2566,6954,2350,5512,1732,4088,663,2883,434,1476,
净利润(扣除非经常性损益后)(万元),--,2740,--,7449,2405,7265,2555,6825,2334,--,1641,3495,541,--,436,--,
经营活动产生的现金流量净额(万元),-7844,-2466,-8439,1897,-9787,6577,-7260,11848,-2143,3142,-3242,1836,-3676,2650,-2500,1915,
现金及现金等价物净增加额(万元),-1456,19308,-4946,-2141,-13353,1328,-10371,11898,-2631,176,-2461,104,-3859,2803,-2312,3322,
总资产(万元),141299,142345,103412,99396,86585,81582,68158,62484,49302,44963,35901,33423,26804,--,18486,20195,
流动资产(万元),112161,126300,89705,86732,74932,70480,57964,53722,40837,36481,28070,25744,20126,--,15109,16773,
总负债(万元),71504,74656,64352,57337,49408,45380,37074,33922,25362,22118,16863,16162,12975,--,5540,6048,
流动负债(万元),71104,69256,58929,56836,49277,45238,36921,33758,25189,21941,16683,15940,12975,--,5540,6048,
股东权益不含少数股东权益(万元),69697,67515,38835,41755,36932,35870,30779,28213,23609,22492,18712,16944,13520,--,12615,13671,
净资产收益率加权(%),10.06,5.47,--,19.4,7.27,23.9,8.7,27.54,10.02,--,9.73,27.43,5.03,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
