报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.41,0.13,0.16,0.42,0.32,0.1,0.11,0.47,0.41,0.2,0.16,0.8,0.58,0.23,0.14,0.66,0.29,0.18,0.11,0.3,0.2,0.13,0.08,0.26,0.12,0.12,0.11,0.22,0.2,0.1,0.09,0.12,0.06,0.01,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.61,--,4.21,3.85,3.77,3.62,3.25,3.24,3.17,3.06,2.97,2.89,2.94,2.86,2.73,2.73,2.71,2.61,2.59,2.49,2.58,2.48,2.42,2.37,2.43,2.36,2.34,2.36,2.41,2.4,2.4,2.38,2.51,2.48,2.43,2.42,2.49,2.46,2.44,2.4,2.37,2.35,1.65,1.6,1.48,1.45,1.41,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.16,--,-0.52,-0.91,-0.46,0.77,0.46,0.36,-0.02,0.98,0.63,0.42,0.2,0.72,0.53,0.7,0.59,-0.33,-0.26,-0,0.35,1.8,0.8,-0.02,0.13,0.56,0,--,0,0.71,0,0,0,0.37,0,0,0,0.2,0,0,0,0.44,0,0.2,0,--,--,
主营业务收入(万元),152016,91469,61298,210916,123808,66492,44574,180270,121157,80599,47940,166627,121595,72801,36405,141369,98165,60820,39503,116606,80974,49294,24828,93497,63314,49088,25071,60175,49856,36400,23561,46163,29758,18876,9994,47918,31705,18442,10376,37298,26184,17782,9520,29959,21564,15301,9500,26118,16473,10551,6071,26257,19280,12846,22767,22103,25576,
主营业务利润(万元),68789,45552,28986,95358,61634,34166,22958,67174,47348,29688,17161,68745,48189,26305,12389,45553,27157,16203,9815,32616,25726,15187,5769,22012,15376,12286,4190,13504,11285,6429,4784,11445,7726,4285,--,8943,5768,3723,2010,8409,6178,4270,2053,7468,5186,3846,2083,6676,4799,2670,1211,6827,5021,3307,6431,5601,5170,
营业利润(万元),8214,3040,2994,12806,5364,2077,2494,10094,6190,3836,3021,14777,11102,4322,2720,11512,5527,3529,2230,6065,3927,2612,1815,4690,2062,1972,1403,3986,3639,1582,1810,3361,1619,459,205,2155,987,675,323,2073,1702,1251,587,2249,1304,1150,768,2067,1505,714,393,2790,2084,1426,2708,2587,76,
投资收益(万元),-46,-36,--,-18,4,--,--,--,--,--,--,-606,-606,-264,--,--,--,--,--,--,--,--,60,-56,-56,-56,--,-129,-139,--,--,-480,-278,-245,-8,-1020,-119,-40,-34,-194,-157,-101,-22,-177,-74,-51,-39,-184,-3,-3,0,2,12,12,-63,--,--,
营业外收支净额(万元),578,485,129,2194,1898,756,458,1218,1641,165,106,491,70,70,17,703,308,287,12,-24,41,-4,12,652,621,605,832,302,--,--,--,--,--,--,--,-96,0,--,0,-63,0,0,0,-143,0,0,0,-77,0,-26,-0,-213,-50,0,0,4,--,
利润总额(万元),8792,3525,3123,15000,7262,2832,2952,11312,7831,4000,3126,15268,11172,4391,2737,12214,5835,3815,2241,6041,3968,2608,1827,5342,2683,2577,2236,4289,3760,1694,1732,3367,1619,476,241,1231,930,730,377,2115,1756,1236,664,2001,1135,1030,608,1902,1553,749,421,2730,2126,1478,2734,2905,805,
净利润(万元),5729,1760,2177,5914,4549,1420,1559,6556,5735,2803,2257,11224,8184,3191,2028,9213,4114,2500,1595,4165,2849,1785,1135,3572,1733,1732,1481,3115,2834,1426,1302,1739,815,151,44,308,101,128,133,1109,1087,812,422,1555,945,809,406,1513,1301,694,314,2175,1669,1186,2183,2170,773,
净利润(扣除非经常性损益后)(万元),5336,1441,2177,4054,2943,847,1216,5632,4499,2680,--,11438,--,3138,--,8670,--,2282,--,4195,--,1777,--,2722,0,1082,0,2829,0,1335,0,1572,0,284,--,198,0,33,0,845,0,732,0,1592,0,844,0,1475,0,720,0,2374,1719,0,0,--,--,
经营活动产生的现金流量净额(万元),21532,13662,14030,891,17264,11319,20820,-1469,-370,-654,2178,-4235,-7258,-12770,-6468,10720,6472,4972,-225,13738,8761,5825,2805,10065,7426,9795,8266,-4633,-3666,-50,4864,25252,11165,-314,1773,7812,-220,3165,3373,9878,6249,5253,2901,5185,1954,-529,-1145,2808,916,-2622,-2013,6166,0,2043,6046,--,-1079,
现金及现金等价物净增加额(万元),2946,-244,-265,-1363,3482,-132,4919,-1194,-1717,1992,-1138,-183,1827,-1476,4447,-86,1765,3591,626,3770,-180,2386,415,-1727,-1215,3107,7649,-11280,-10171,-10917,-5085,8789,5059,-2265,12,3315,3069,329,2859,-6944,-2681,-1481,-884,-4964,-2574,-4150,1760,-9004,-5638,-5273,-1534,20402,0,775,336,--,5563,
