报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),1.36,0.91,0.54,1.89,1.59,1.07,0.52,1.68,1.37,0.9,0.44,1.41,1.16,0.75,0.36,1.13,0.89,0.57,0.28,0.91,0.75,0.51,0.2,0.58,0.44,0.28,0.14,0.53,0.45,0.29,0.14,0.43,0.3,0.19,0.1,0.33,0.24,0.15,0.26,1.04,--,--,--,
每股净资产(元),9.84,9.75,11.04,10.49,10.05,10.13,9.48,8.84,8.68,8.55,8.11,7.67,7.42,7.06,6.84,6.49,6.19,5.87,5.79,5.51,4.46,4.21,4.1,3.9,3.76,3.6,3.65,3.52,3.44,3.28,3.33,3.21,3.06,1.65,--,1.56,--,--,1.22,4.16,--,--,--,
每股经营活动产生的现金流量净额(元),-1.26,9.82,0.18,7.01,16.64,15.46,9.44,13.43,13.25,12.68,11.89,16.7,5.74,-2.12,-3.09,-8.4,7.46,-2.45,-14.95,19.14,-1.65,0.25,-2.56,6.62,1.36,0.34,2.47,2.37,3.55,0.28,-0.76,2.25,1.13,1.81,--,0.07,--,1.05,2.55,2.53,--,--,--,
主营业务收入(万元),1412430,900746,440153,1535675,1108634,729429,352971,1276148,927709,612367,293721,1034184,762516,496197,240260,796613,570637,363622,169086,591192,415454,269666,132616,417551,286269,184987,95522,340379,249022,160579,80389,224379,157338,99850,48564,160080,115730,72315,123057,103922,115513,60909,43488,
主营业务利润(万元),662875,443754,217560,702658,573414,385753,187218,606003,498068,328712,157861,504455,419876,271472,130311,384457,294150,181522,85600,278243,212828,136516,62268,175277,121596,79761,40230,155090,126387,80490,37261,118334,79712,50382,25511,83870,58404,33007,65338,58039,-1895,-5570,1026,
营业利润(万元),662875,443754,217560,702658,573414,385753,187218,606003,498068,328712,157861,504455,419876,271472,130311,384457,294150,181522,85600,278243,212828,136516,62268,175277,121596,79761,40230,155090,126387,80490,37261,118334,79712,50382,25511,83870,58404,33007,65338,58039,-1895,-5570,1026,
投资收益(万元),-14519,-7033,12135,16494,13521,9166,4790,12080,8876,6248,-14,3365,3036,1624,1625,10105,-2702,-1342,-356,-3243,-1150,-436,-595,1479,1515,1827,592,5567,629,2765,4796,-2723,82,65,29,809,1256,1112,-128,-258,17154,10114,4261,
营业外收支净额(万元),-316,-63,-173,-1969,-2200,-1306,-138,-865,-1879,-718,626,5349,198,209,282,19071,19616,19926,14333,16558,15446,15546,-56,-306,595,700,479,-2801,-522,-394,17,147,244,261,4,-2450,-3277,-172,125,496,-7027,-1812,-3090,
利润总额(万元),662560,443690,217387,700689,571214,384446,187080,605138,496189,327994,158487,509804,420074,271681,130592,403528,313766,201448,99933,294800,228274,152061,62212,174972,122192,80461,40709,152288,125865,80096,37277,118480,79956,50642,25515,81420,55127,32835,65463,58535,6838,2729,1900,
净利润(万元),532052,355170,175166,562747,458442,308608,150215,484707,394383,260751,126953,406814,333462,215789,103364,325351,255669,165504,81497,232199,187789,126255,49805,145745,110331,70610,35388,133174,112673,72959,33760,95107,63800,38281,21329,63208,44327,27163,47195,43802,--,--,1900,
