报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.33,0.14,0.04,0.93,0.32,0.14,0.02,0.9,0.86,0.94,
每股净资产(元),9.63,10.25,--,6.75,--,--,--,6.01,5.11,4.25,
每股经营活动产生的现金流量净额(元),-1.75,-1.44,--,1.08,--,-1.49,--,0.92,0.48,0.71,
主营业务收入(万元),25936,17048,6938,40565,24840,16650,6735,37801,36109,33657,
主营业务利润(万元),13105,8127,3389,19110,12604,7767,3188,17375,15300,12444,
营业利润(万元),1051,236,-199,2790,547,66,-264,2407,2977,2779,
投资收益(万元),-145,-76,--,-21,-22,-14,--,-8,8,--,
营业外收支净额(万元),1193,678,542,2822,1441,896,479,2950,2052,2541,
利润总额(万元),2244,914,343,5612,1988,961,216,5357,5029,5321,
净利润(万元),1918,738,222,4758,1638,725,106,4573,4405,4716,
净利润(扣除非经常性损益后)(万元),--,673,156,4148,--,572,--,3466,4084,3741,
经营活动产生的现金流量净额(万元),-10232,-7735,-6302,5491,-7088,-7609,-7721,4706,2429,3620,
现金及现金等价物净增加额(万元),5362,9393,-7547,2895,-9239,-9583,-7967,148,1759,4282,
总资产(万元),67813,68461,47100,49621,--,--,--,44849,36808,31737,
流动资产(万元),53946,55799,36157,39819,--,--,--,35789,32283,27503,
总负债(万元),11361,13184,12397,15136,--,--,--,14141,10745,10070,
流动负债(万元),9311,11134,10547,13431,--,--,--,12893,9893,9393,
股东权益不含少数股东权益(万元),56385,55204,34635,34412,--,--,--,30637,26064,21667,
净资产收益率加权(%),4.33,1.94,0.64,14.67,--,2.35,--,16.13,18.46,25.64,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
