报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.04,0.02,0.01,0.06,0.06,0.04,0.01,0.05,0.04,0.03,0.01,0.03,0.04,0.03,0.01,0.05,0.04,0.03,0.01,0.06,0.06,0.04,0.02,-0.39,-0.22,-0.15,-0.04,0.01,0.02,0.03,0.01,-0.24,0.04,0.03,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.27,--,1.24,1.36,1.34,1.33,1.31,1.3,1.3,1.28,1.28,1.26,1.24,1.22,1.4,1.46,1.57,1.61,1.64,1.65,1.63,1.62,1.94,0.19,1.92,1.88,1.95,1.94,2.45,2.42,2.43,2.42,2.41,2.39,2.83,2.82,2.8,2.81,2.85,2.84,2.81,2.77,2.98,3.01,3.02,3.12,1.6,1.69,1.48,1.04,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.05,--,0.24,0.2,0.01,0.21,0.08,0.23,0.1,0.17,0.17,0.16,0.1,0.13,0.12,0.15,0.11,0.2,0.11,0.11,0.01,0.31,0.25,0.17,0.1,0.11,0,--,0,0.02,0,0,0,0.22,0,0,0,0.13,0,0,0,0,0,0.04,--,0.15,0.14,-0.07,--,--,
主营业务收入(万元),175128,109173,51696,225031,168306,107219,53445,222181,159593,102335,50453,215377,156564,104635,44610,210875,164061,106885,46435,200520,154216,96271,43225,139473,102575,64050,28740,180266,156749,100809,48547,184286,139399,90921,44128,178791,132129,85176,41380,160198,118190,79171,38280,148178,111217,73519,31864,128314,91065,60748,29162,112612,81608,50573,23983,101089,53252,104137,87257,79528,
主营业务利润(万元),11396,7419,3247,18043,11072,6994,3414,16221,11296,7536,3309,16613,9220,6026,2751,10573,8807,6005,3250,12823,10129,6345,2766,391,-3,-46,1030,10242,8970,6321,2938,8845,6979,4665,2104,10796,8233,5703,2701,8933,6941,4913,2181,5853,6706,4656,1384,8123,6389,4276,2106,6718,5304,2802,1374,9480,4218,11030,10295,8403,
营业利润(万元),1694,1010,564,1478,1825,1180,461,488,1176,866,255,1305,-2636,837,330,-1238,1016,708,434,651,1901,1208,655,-13122,-6964,-4908,-1323,-636,671,1010,257,-7599,1406,1074,453,1632,2071,1582,686,1597,937,799,620,-5053,228,175,-442,407,1032,828,643,-3572,576,173,137,3460,1197,4966,3405,2710,
投资收益(万元),--,--,--,--,--,--,--,--,4,4,4,-1364,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,574,--,--,0,0,0,--,0,0,0,0,0,-2396,-63,-42,-21,-85,-64,-42,-21,215,236,-42,-21,-59,-35,-94,15,18,
营业外收支净额(万元),-109,-55,-45,831,248,156,5,1129,217,152,144,-483,3811,25,0,2797,118,117,13,1368,98,12,1,618,46,-4,-1,1162,--,--,--,--,--,--,9,153,0,--,0,-7,0,0,0,-3935,0,0,0,-28,0,0,0,-1406,-1266,-28,0,13,0,0,102,0,
利润总额(万元),1586,956,518,2309,2072,1337,467,1617,1393,1018,399,822,1176,862,330,1559,1134,825,447,2019,1999,1219,656,-12504,-6918,-4911,-1324,526,676,1018,262,-7501,1430,1086,462,1785,2102,1597,697,1591,923,777,625,-11378,199,145,-461,311,1000,808,626,-4751,-442,113,117,4137,1607,5326,4221,3703,
净利润(万元),1586,956,518,2432,2187,1411,481,1700,1391,1027,385,829,1170,853,330,1552,1136,829,447,2021,1996,1216,655,-12486,-6912,-4908,-1321,326,678,1021,268,-7793,1257,1000,458,1490,2091,1589,693,840,889,746,618,-10311,451,288,-342,227,1226,1034,726,-4718,-770,37,46,2841,1013,3399,2512,2542,
