报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.44,0.36,0.19,0.95,0.75,0.55,--,1,0.82,0.54,--,0.85,0.89,0.84,0.54,0.23,
每股净资产(元),--,--,--,7.12,--,--,--,5.53,--,--,--,--,--,2.79,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.84,--,--,--,1.19,0.95,0.91,0.6,-0.01,
主营业务收入(万元),38585,26250,12904,52784,34278,21736,--,40499,29663,19132,9848,35703,32494,29430,18075,14372,
主营业务利润(万元),7640,5633,2914,12986,9219,6025,--,10753,8078,5252,2819,8986,9442,8455,5255,3031,
营业利润(万元),4541,3665,2006,8740,6438,4193,--,7914,6306,4148,2315,6723,7020,6840,4353,2400,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),72,48,21,88,66,33,--,154,86,71,--,52,101,-11,42,-23,
利润总额(万元),4614,3713,2026,8828,6504,4226,--,8068,6393,4218,2331,6775,7121,6829,4395,2377,
净利润(万元),3515,2872,1503,6628,4995,3287,1682,6030,4894,3238,1722,5108,5315,5029,3247,1399,
净利润(扣除非经常性损益后)(万元),3461,2836,1487,6562,4945,3262,1670,5914,4829,3185,1709,5069,5239,--,--,--,
经营活动产生的现金流量净额(万元),1823,517,914,5312,-14,1016,558,5054,2208,1011,-835,7162,5690,5473,3582,-62,
现金及现金等价物净增加额(万元),-8081,-8209,-1650,5533,5598,14552,--,-926,-1847,-3223,--,2548,-542,-3712,6433,-397,
总资产(万元),75861,74406,74719,73585,72206,69355,50640,47769,--,--,--,38998,34552,29189,22170,9542,
流动资产(万元),29407,29009,33770,33091,34511,38998,--,20168,--,--,--,18048,17405,15747,17272,7099,
总负债(万元),16969,16157,16239,16608,16862,15719,--,14597,--,--,--,11856,12518,12471,10479,1000,
流动负债(万元),15854,15020,15080,15426,15664,14504,--,13349,--,--,--,9988,10622,11575,10479,1000,
股东权益不含少数股东权益(万元),58892,58249,58479,56977,55344,53636,34854,33171,--,--,--,27142,22034,16719,11690,8542,
净资产收益率加权(%),5.98,4.92,2.6,14.7,12.07,9.44,--,19.99,16.54,11.26,--,20.77,27.43,35.4,31.94,17.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
