报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.74,0.49,0.28,1.15,0.86,0.49,0.28,1.14,1.02,0.81,
每股净资产(元),--,--,--,5.48,5.19,4.82,--,4.87,4.12,3.1,
每股经营活动产生的现金流量净额(元),--,--,--,1.41,0.91,0.34,--,1.31,1.25,0.94,
主营业务收入(万元),57636,36399,17912,74395,53750,32645,17470,71041,59910,49913,
主营业务利润(万元),38396,24589,11543,49202,37422,23330,12464,48525,38948,33595,
营业利润(万元),13644,8722,4511,18090,13522,7930,4506,18049,16359,13300,
投资收益(万元),548,297,103,309,256,198,72,160,155,335,
营业外收支净额(万元),320,-1,6,334,175,-27,-25,224,168,-182,
利润总额(万元),13964,8721,4516,18424,13697,7903,4481,18273,16527,13117,
净利润(万元),10507,6572,3375,13802,10279,5886,3343,13665,12230,9672,
净利润(扣除非经常性损益后)(万元),9856,6350,3294,13305,9907,5759,3308,13378,11982,10898,
经营活动产生的现金流量净额(万元),9145,3787,6796,16970,10916,4039,5368,15723,15032,11257,
现金及现金等价物净增加额(万元),87306,15285,-552,451,-1021,-598,-190,-1330,-4877,-2305,
总资产(万元),178295,159574,85298,84477,80024,74789,--,78297,66762,51031,
流动资产(万元),138846,120225,45684,44230,39175,33947,--,37521,30156,32712,
总负债(万元),18317,18380,16111,18666,17735,16893,--,19858,17332,13831,
流动负债(万元),17632,17759,15605,18222,17590,16653,--,19761,17222,13626,
股东权益不含少数股东权益(万元),159978,141193,69187,65811,62289,57896,--,58439,49430,37200,
净资产收益率加权(%),9.54,7.04,5,21.12,16.17,9.76,5.56,25.71,28.24,31.68,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
