报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.46,0.62,0.6,1.37,0.94,0.59,0.25,1.09,0.75,0.5,0.22,1.06,0.79,0.51,0.22,1.15,0.88,0.65,0.24,
每股净资产(元),4.03,7.77,11.92,11.32,10.89,10.54,10.71,10.45,10.17,9.92,9.64,9.92,9.64,9.37,9.39,4.63,3.48,2.9,1.42,
每股经营活动产生的现金流量净额(元),0.37,0.39,-0.06,1.61,1.22,0.94,0.3,1.18,0.92,0.62,0.25,1.22,0.91,0.46,0.16,1.44,0.44,0.91,0.99,
主营业务收入(万元),35789,22517,10393,43779,29808,19082,9017,24528,17728,11473,5735,22726,16836,10688,5322,19672,14182,11972,9017,
主营业务利润(万元),22596,14038,6520,26626,18109,11248,5118,13689,10045,6556,3178,13231,9822,6196,3197,12453,9906,8067,5929,
营业利润(万元),13699,8995,5593,12939,8755,5300,2465,9383,6452,4240,2023,8256,5921,3742,1908,7164,5358,4253,3390,
投资收益(万元),2559,2547,2576,-424,-345,-181,-36,7,--,--,--,0,--,--,--,--,4,7,23,
营业外收支净额(万元),153,159,277,652,636,453,31,393,378,337,14,610,601,249,34,519,570,13,-1578,
利润总额(万元),13852,9154,5870,13591,9391,5753,2496,9776,6830,4578,2037,8866,6522,3991,1942,7683,5928,4265,1812,
净利润(万元),10433,7067,4522,10418,7098,4446,1927,8240,5699,3815,1694,7515,5458,3384,1639,6523,4998,3148,1071,
净利润(扣除非经常性损益后)(万元),--,4704,--,9914,--,4094,--,7904,--,3536,--,6936,--,3173,--,6084,4518,3133,2501,
经营活动产生的现金流量净额(万元),8400,4429,-445,12188,9223,7123,2288,8911,6971,4731,1905,9236,6872,3523,1196,8153,2477,5188,4378,
现金及现金等价物净增加额(万元),-8896,-9147,-361,-5048,-7512,-8468,-6305,-12501,353,-1783,-2336,44254,42423,39722,44099,3120,-4707,9147,-3374,
总资产(万元),112998,109550,105097,101783,96786,92940,93992,100447,83602,78776,76295,77741,76063,73484,77789,33115,29523,31643,14928,
流动资产(万元),51954,51315,59562,60268,55521,51790,54896,61779,64415,62849,60514,61947,60125,58045,62757,17904,14210,20320,10028,
总负债(万元),13507,14032,7795,9390,7966,7206,7201,15785,6532,3590,3230,2580,2959,2454,6609,6848,9779,15193,8549,
流动负债(万元),10667,13382,7283,8686,7355,6568,6536,15027,6152,3195,2820,2155,2519,1999,2139,2363,5234,5233,8046,
股东权益不含少数股东权益(万元),91724,88358,90361,85839,82518,79867,81180,79211,77070,75185,73064,75160,73104,71029,71180,26267,19744,16449,6302,
净资产收益率加权(%),11.85,8.11,5.13,12.77,8.85,5.59,2.4,10.83,7.55,5.07,2.23,12.24,9.58,6.91,6.05,28.36,26.38,30.83,17.93,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
