报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
基本每股收益(元),0.14,0.09,0.06,0.21,0.2,0.15,0.07,0.22,0.14,0.1,0.05,0.29,0.24,0.19,0.29,2.1,1.8,1.62,0.95,2.5,0.19,0.46,0.23,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,8.8,8.65,8.6,18.11,17.82,17.48,17.2,4.91,3.96,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.35,0.23,-0.2,0.25,1.11,0.81,0.65,3.26,0.23,2.38,1.35,
主营业务收入(万元),167255,103645,46987,226548,173865,117487,52860,245468,174309,109261,46147,210477,162449,108236,51243,195592,147212,102823,58171,145407,21843,63539,48146,
主营业务利润(万元),17842,10554,5250,20416,18559,13136,6303,21341,15029,9371,1317,21940,17867,13709,9633,47664,31107,30610,19202,53383,4761,11079,5606,
营业利润(万元),9090,5488,3647,9187,9575,6033,2727,7268,5321,3391,1410,11535,10943,9757,7956,39489,31107,25827,16425,43475,2787,6465,1862,
投资收益(万元),111,111,--,92,92,92,--,92,92,92,92,92,92,92,92,--,--,--,0,30,30,5,0,
营业外收支净额(万元),2763,2339,1,2295,1124,1124,805,2975,1391,1358,815,1919,1495,289,40,9873,5620,3907,1051,822,256,520,237,
利润总额(万元),11853,7826,3648,11482,10699,7157,3532,10244,6712,4749,2225,13454,12438,10046,7996,49362,36727,29734,17477,44297,3044,6985,2099,
净利润(万元),10019,6669,3101,10038,9092,6116,3002,9004,5647,3979,1905,11883,10143,7873,6020,38290,31218,25274,14855,38238,2798,6934,2028,
净利润(扣除非经常性损益后)(万元),7673,4681,3100,8088,8137,5160,2318,6477,4465,2825,1212,10252,--,7656,--,30886,--,21953,0,37539,0,6492,1827,
经营活动产生的现金流量净额(万元),-288,1184,-4227,4686,1116,16743,1623,2295,17934,20503,5465,8046,14755,9480,-4119,5262,23078,16852,10131,50805,3435,16340,9284,
现金及现金等价物净增加额(万元),13182,36128,-19584,15548,139933,11480,-470,-4568,2210,-2936,-351,1247,16231,-7052,12258,4361,164785,231059,2418,205,-2567,6139,763,
总资产(万元),594428,582152,533883,562331,579906,439879,414774,418487,426997,423100,417268,405059,411931,402980,441212,415793,398721,408209,147929,133502,0,69152,51404,
流动资产(万元),274084,283871,233009,262070,321283,191215,155432,156937,202475,196260,222790,210882,229295,224412,267020,255584,295028,311596,53519,38674,--,25032,28361,
总负债(万元),73646,64720,18365,49913,68434,68178,45146,51861,63728,61500,53582,43277,51890,45209,64494,45095,35095,50527,71326,71754,--,48642,37829,
流动负债(万元),73551,64720,18365,49913,68434,68178,45146,51861,63728,61500,53582,43277,51890,44709,63244,43095,29573,44051,56867,64965,--,44142,31829,
股东权益不含少数股东权益(万元),520782,517431,515518,512418,511471,371701,369627,366625,363269,361601,363687,361782,360041,357771,376718,370698,363626,357682,76602,61747,0,20509,13575,
净资产收益率加权(%),1.94,1.29,0.61,2.35,2.27,1.66,0.82,2.47,1.56,1.1,0.53,3.24,2.77,2.12,1.61,17.71,18.63,33.98,0,92.97,0,40.69,20.78,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
