报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
基本每股收益(元),-0.01,-0.02,0.03,0.06,0.09,0.06,0.09,0.5,0.37,0.22,0.09,0.4,0.26,0.15,0.07,0.1,0.07,0.05,0.05,0.64,0.42,0.28,0.13,0.47,0.34,0.24,0.11,0.46,0.29,0.21,0.14,0.76,0.53,0.4,0.83,0.72,0.47,0.94,0.86,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.23,4.13,4.07,4.01,3.92,3.84,5.79,5.64,5.41,5.27,5.31,5.19,5.06,4.96,5.03,4.92,4.75,4.68,7.03,6.89,6.69,3.24,2.86,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.16,0.11,0.04,0.25,0.07,0.02,-0.16,0.43,0.08,0.25,-0.05,0.35,0.09,0.09,-0.01,0.38,0.15,0.1,0.08,0.65,0.43,--,0.9,--,--,1.33,0.71,
主营业务收入(万元),14194,9543,4519,22763,17136,12056,6788,28125,21134,13520,6430,22515,17978,12237,6212,23842,17561,11937,6081,22586,16996,11248,5793,16429,11278,7052,3668,14506,10115,6487,2735,10713,7489,5298,11381,8770,6331,9390,7565,
主营业务利润(万元),5820,3631,2038,9700,7576,5249,3094,12282,9134,5578,2587,9546,6946,4624,2362,9494,7216,4915,2560,9874,6769,4607,2275,7512,5775,3870,1976,7132,5103,3601,1514,6062,4453,--,6424,5128,3549,5599,5322,
营业利润(万元),-941,-997,275,1387,2626,1920,1350,6468,4987,2984,1180,4278,3037,1828,786,1666,1273,947,503,5305,3513,2339,1027,3611,2741,1956,890,3790,2639,1974,778,3521,2308,1661,3328,2927,1982,3081,2811,
投资收益(万元),2198,1524,860,1090,625,84,186,255,239,144,19,398,288,124,50,739,508,340,216,482,518,275,109,370,91,64,5,-20,-17,-15,-9,0,0,0,--,--,--,--,--,
营业外收支净额(万元),500,503,505,101,36,44,-4,237,3,2,-0,618,2,8,9,-7,-5,-4,-2,-18,-21,-4,-0,246,11,--,--,-9,--,--,--,--,-3,--,-20,-54,-12,6,-8,
利润总额(万元),-441,-494,780,1488,2662,1964,1346,6705,4990,2986,1180,4896,3039,1835,795,1659,1267,943,501,5287,3492,2335,1027,3856,2752,1956,890,3781,2624,1965,777,3726,2305,1659,3307,2873,1970,3087,2803,
净利润(万元),-129,-284,744,1526,2255,1564,1116,5631,4150,2495,1012,4583,2901,1753,749,1166,766,601,354,4763,3210,2147,965,3550,2559,1822,826,3449,2207,1625,698,3190,2095,1503,3150,2682,1774,2967,2704,
净利润(扣除非经常性损益后)(万元),-1973,-1777,-547,1200,1990,1526,1119,5509,4148,2493,1012,4072,--,1746,--,1035,--,605,--,4778,--,2152,0,3291,--,1822,0,3205,0,1443,--,2677,0,--,3163,--,--,--,--,
经营活动产生的现金流量净额(万元),1323,-1479,-956,-1990,-749,-1567,-1255,6301,3925,2781,1418,4184,1761,1292,498,2879,845,278,-1210,3235,621,1897,-404,2627,716,718,-40,2854,1153,824,399,3265,2190,1053,3674,2458,1641,4191,2228,
现金及现金等价物净增加额(万元),-13418,-9125,-15208,10995,12140,11095,22666,-7240,-9771,-7945,-9649,-4511,-11233,-8766,-3676,-1549,-9095,-6295,-7547,168,-920,-5575,-3970,-1334,-2898,-768,-2095,77,-924,-1341,-675,22307,21572,1023,3135,864,--,1751,2527,
总资产(万元),110172,110252,110879,114952,105706,105023,106625,57742,55791,53869,53333,51305,51034,48954,47774,46482,47323,45698,45438,43790,42398,41455,41605,39922,39961,38517,38915,37972,37676,37132,36920,35702,34927,15036,13400,--,--,10213,9448,
流动资产(万元),50943,52265,52780,58398,60920,63551,69444,25731,28158,29102,31365,30997,33626,36553,35812,34620,35527,35407,36837,35135,36004,35247,35881,34435,35100,34323,34730,33729,34313,34060,34414,33140,32569,12616,10853,--,--,7382,6466,
总负债(万元),7582,7707,6990,11712,2647,2653,2846,3500,3062,2814,2627,1611,3022,2090,1573,1031,2901,2209,1677,1149,1488,1608,1428,710,1741,1033,916,798,1745,1783,1490,970,1197,2781,2573,--,--,638,1586,
流动负债(万元),7582,7707,6990,11712,2647,2653,2846,3500,3062,2814,2627,1611,3022,2090,1573,1031,2901,2209,1677,1149,1488,1608,1428,710,1741,1033,916,798,1737,1775,1490,970,1158,2742,2534,--,--,599,1586,
股东权益不含少数股东权益(万元),102313,102158,103442,102698,102936,102245,103740,54190,52710,51055,50705,49694,48012,46864,46200,45451,44422,43489,43761,42640,40910,39847,40177,39212,38220,37484,37999,37174,35931,35350,35430,34732,33729,12255,10827,--,--,9567,7860,
净资产收益率加权(%),-0.13,-0.28,0.64,1.56,2.32,1.65,1.28,10.59,8.1,4.92,2.02,9.63,6.21,3.79,1.63,2.65,1.8,1.41,0.83,11.66,7.86,5.36,2.4,9.3,--,4.78,0,9.62,0,4.64,--,16.5,0,--,31.88,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
