报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.09,0.08,0.04,0.18,0.17,0.13,0.06,0.19,0.17,0.13,0.06,0.14,0.11,0.07,0.02,0.1,0.05,0.04,0.01,0.08,0.04,0.03,0.01,0.09,0.08,0.06,0.02,0.12,0.13,0.11,0.05,0.21,0.14,0.09,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,4.26,4.24,--,4.19,--,4.1,--,4.84,--,3.55,3.49,3.46,3.41,3.37,3.35,3.27,3.25,3.23,3.22,3.17,3.16,3.76,3.75,3.82,3.79,3.76,3.74,3.74,3.72,3.67,3.62,3.56,3.51,3.44,3.39,3.49,3.48,3.45,3.43,3.42,3.41,3.39,3.37,3.36,3.34,3.32,3.3,3.3,3.29,3.27,3.26,3.25,3.23,3.19,3.19,3.16,3.41,3.04,2.92,3,2.8,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.2,--,0.08,--,0.1,--,0.04,--,0.17,0.06,0,0.02,0.3,0.06,-0.07,0.07,0.24,0.11,0.03,0.26,0.34,0.27,0.06,0.32,0.21,0.19,0.1,-0.15,0.13,0.28,0.18,0.03,0,0,0,0.37,0,0,0,0.37,0,0,0,-0.07,0,--,0,0.01,0,-0.05,--,-0.04,0.01,0.04,-0.02,0.34,--,-0.02,--,--,--,
主营业务收入(万元),142571,104272,46522,205800,158005,114277,50309,201098,154857,105717,48466,191695,143269,97293,45055,183670,132572,87607,40308,152015,104367,67797,31185,132607,91782,63615,29723,139557,106461,70430,37643,142254,103736,71567,36374,133627,94356,66481,29547,122422,89761,62546,29119,104339,72596,47509,22049,89379,64000,41463,16788,75906,55365,37228,18392,69237,30952,68954,29257,70539,29631,62111,57815,52581,48850,
主营业务利润(万元),35114,24151,11971,49771,38739,27354,12221,50885,35795,24610,10603,45184,32135,22096,9730,40033,27416,17653,7906,35947,24193,16200,6828,30444,18761,12365,5164,23553,17535,13154,6548,25929,18399,13501,--,27384,18937,13373,5575,27387,19443,14250,6857,24936,17297,11805,5681,21290,14793,9862,4289,19359,14114,9628,4454,18285,8644,19916,10978,24248,12948,26533,24188,--,--,
营业利润(万元),2228,2402,1816,2920,5578,4687,2250,4744,5373,3645,1442,3476,3935,2625,879,2856,2031,1069,247,2511,2181,1560,524,-281,855,807,70,338,3433,3319,1742,5071,4790,3701,1172,3919,2156,1761,675,1798,1876,1454,586,2716,1956,1586,642,2330,2066,1575,488,2302,2081,1387,452,1980,1139,4851,4818,10670,6732,10284,7668,--,--,
投资收益(万元),-459,-131,-37,216,-16,-14,-8,18,-21,49,16,-203,-16,8,-52,-159,-175,-7,1,-280,-215,-220,0,-450,-68,-26,-9,-129,56,41,38,319,176,154,10,-842,-52,-84,-53,886,92,79,34,-242,-44,-110,-63,-23,21,1,0,-16,-16,-16,0,7,0,622,181,376,151,0,0,--,--,
营业外收支净额(万元),2978,1803,473,7015,3698,2310,946,4946,2673,1913,930,3789,1231,497,161,2166,759,767,348,1782,187,169,20,4102,2319,1385,661,4331,--,--,--,0,--,-20,--,546,0,0,-10,-13,0,0,0,-155,0,0,0,-143,-103,-113,-35,-123,-126,-55,0,98,97,139,0,219,0,0,--,--,--,
利润总额(万元),5206,4205,2289,9935,9276,6997,3197,9691,8045,5558,2372,7265,5166,3122,1040,5022,2789,1836,595,4294,2368,1730,544,3821,3174,2192,731,4670,4782,3928,1893,7808,5281,3681,1160,3644,2102,1673,613,2674,1963,1515,609,2318,1856,1446,579,2263,1984,1463,453,2163,1940,1316,429,2085,1236,5612,5111,14933,7057,9966,7256,--,--,
净利润(万元),3929,3469,1857,7771,7680,5815,2693,7110,6270,4392,1910,4807,3706,2253,705,3439,1848,1278,311,2683,1330,1103,279,2498,2343,1667,604,3350,3669,3019,1495,6118,4054,2625,870,2826,1623,1314,494,1925,1541,1180,486,1740,1510,1158,452,1677,1335,947,304,1672,1303,869,288,1533,830,4875,3437,11392,5998,8518,4937,3524,2645,
