报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.73,0.45,0.19,0.96,0.61,0.37,0.2,0.91,0.57,0.35,0.14,0.86,0.55,0.34,0.16,0.73,0.46,0.3,0.12,0.5,0.34,0.21,0.08,0.35,0.25,0.15,0.06,0.28,0.19,0.26,0.09,0.43,0.27,0.17,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.74,3.52,4.06,3.81,3.53,3.34,3.23,3.08,2.91,2.78,2.7,2.62,2.52,2.42,2.33,2.28,2.18,2.4,2.23,2.14,2,1.9,1.97,1.9,1.82,1.74,1.68,1.64,1.58,1.53,1.49,1.46,1.39,1.36,1.33,1.32,1.21,1.2,1.07,1.07,1.54,1.56,1.62,1.65,2.02,2.19,2.71,2.71,2.57,3.21,3,--,1.82,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.43,0.2,-0.32,0.42,0.18,-0.06,0.12,0.62,0.34,0.17,0.13,0.05,0.01,0.21,0.17,0.05,0.34,-0.06,-0.27,1.09,0.52,0.52,-0.09,0.24,0,0,0,0.1,0,0,0,0.13,0,0,0,0.94,0,0,0,-0.08,0,-0.02,--,0.08,0,-0.16,0.06,0.42,--,0.47,--,--,--,--,--,--,
主营业务收入(万元),415852,244858,93900,437430,286829,171113,62390,268383,157785,103608,44986,211214,129242,81816,32742,160844,102500,63346,26274,97201,64121,39907,15263,68446,48493,29380,12288,52315,34723,22232,8496,35019,21717,11552,5384,22968,14916,7677,3770,12987,8157,5607,2603,8388,3675,2244,993,2623,1261,484,0,4903,4406,4406,1960,12318,7363,19408,9721,35408,18440,40523,16333,29226,14208,25525,19356,16560,
主营业务利润(万元),131877,85489,30490,146513,90093,56519,14486,91776,60291,38813,15620,78744,48612,31173,12860,57240,36622,23329,9406,33336,22288,14051,5865,27120,18663,12022,4292,20584,14574,9590,3701,14778,8881,6088,--,7844,4600,2486,1111,4280,2727,1779,830,4189,2259,1314,580,1610,709,271,0,201,269,277,155,561,-41,2126,1056,8713,5127,10911,4330,7612,2365,5154,4339,3675,
营业利润(万元),71685,43722,18592,92564,57392,35603,15003,67037,42719,26016,10694,49503,30822,19292,7751,36069,22658,14487,5555,23945,16573,9975,3786,17264,12863,8171,2630,13249,9637,6085,2318,11098,6468,4321,2040,5310,3224,1750,739,3275,2061,1312,593,3015,1496,843,357,2392,294,-19,-106,-6586,-2018,-1482,-562,-5026,-3583,-4018,-56,2286,2234,5940,2379,5091,2451,5301,4417,3808,
投资收益(万元),-239,-447,-135,-619,-1000,-771,-62,-411,-61,-2,--,--,--,--,--,--,--,--,--,-3,-3,-3,-3,--,--,0,--,--,0,--,--,686,0,--,140,-59,373,115,-17,-259,131,-36,-18,-59,7,23,10,-35,-20,-5,0,0,0,0,0,-1003,32,0,0,995,7,25,20,--,0,15,41,22,
营业外收支净额(万元),1907,1076,543,1728,2727,727,268,1838,1024,665,244,1563,967,404,182,625,413,300,192,826,146,140,93,1216,224,174,119,716,154,122,--,114,--,-38,--,-9,0,0,0,-1,0,0,0,-1,0,0,0,387,388,384,0,0,-5,-1,0,-175,0,-388,0,434,0,0,0,12,--,0,0,0,
利润总额(万元),73592,44798,19136,94292,60119,36330,15271,68875,43743,26680,10939,51066,31789,19696,7934,36694,23071,14787,5747,24771,16719,10115,3879,18480,13088,8345,2749,13965,9791,6207,2391,11212,6546,4283,1939,5302,3704,1940,769,3015,2257,1321,575,2955,1508,871,367,3001,919,618,-106,-10705,-2022,-1484,-563,-6204,-3570,-4174,206,5988,2264,6378,2858,5103,2474,5418,4494,3896,
净利润(万元),61676,37943,16177,80395,51223,31274,12918,58561,36796,22362,9150,42994,27127,17092,6709,30092,19102,12195,4770,20699,13957,8486,3229,14572,10368,6374,2295,11132,7847,5130,1786,8658,5422,3338,1272,4575,3111,1725,744,2809,2103,1235,532,2587,1200,627,191,2708,733,549,-106,-10705,-2022,-1484,-563,-6204,-3152,-3895,43,5012,1833,5309,2390,3483,1650,4716,4375,3786,
净利润(扣除非经常性损益后)(万元),60237,37301,15911,79732,49970,30937,12781,57400,36214,21958,9004,41982,--,16874,--,29798,--,12045,--,20346,--,8467,--,14442,--,6641,0,10722,0,5097,0,8261,0,3368,--,4581,0,1650,0,3009,0,1190,0,2588,0,621,0,375,0,-289,0,-6586,-2018,-1482,--,-6476,-3152,-4116,-179,1788,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-25235,-21787,6968,2926,-21368,-58453,-27862,-1173,28003,33231,-8540,-11125,21570,9805,-13210,17348,7353,-2565,4969,25812,14114,6922,5310,2072,237,8535,6948,2116,14163,-1230,-5413,21839,10344,10272,-1598,4366,-3976,76,-2919,1774,307,2159,1309,2293,-599,-287,-3894,17000,97,848,78,-1446,0,-405,--,1372,3,-2875,1092,7539,--,6511,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),46557,43916,69940,-71127,-45303,-35297,-15481,-34928,-59370,-103327,-99476,173950,11629,2452,-6162,20878,96,1862,18601,-4594,-7105,-8922,-4845,-16403,-515,3260,5936,28449,36564,5635,1917,-799,-3060,-2973,-4622,5255,1236,4873,2045,-803,1362,-2329,-690,-11174,-4999,-4163,-4121,8046,-2323,-3688,-2327,-4152,0,-1937,--,5731,1279,-3759,-2441,3891,--,9107,--,--,--,--,--,--,
总资产(万元),1428457,1235858,1109512,954893,928141,875492,797863,744725,655857,593418,571343,632962,437172,429113,390511,378361,365223,343062,331219,297436,304910,292428,273098,264355,266935,265297,235113,235784,231475,182662,161753,153763,150319,100440,92913,88392,84333,75781,69751,56197,52956,47019,45928,40500,35833,34300,37541,37662,35954,36286,34156,36512,45995,46607,49581,54756,74835,75192,80652,80597,77618,78133,79524,43682,37821,34962,27351,26273,
流动资产(万元),600269,535035,536649,455950,499620,502394,469483,433040,374812,325724,323222,395257,218597,212187,176270,163993,157504,136477,126886,96644,115059,107280,92472,85427,109478,114971,107418,98666,115264,66967,45687,38664,40504,32737,29550,25029,42656,35034,32655,23562,31294,20094,19282,14028,13732,12434,15569,15534,21638,21818,24968,0,--,--,35061,0,0,38546,0,0,35840,36467,44989,19110,14793,13057,10138,11986,
总负债(万元),835290,669620,563787,427327,429885,402920,339995,304664,237755,193285,168750,239942,242042,245281,210082,209236,207818,193823,183898,158738,173907,167054,151031,145632,152834,155390,129413,132538,132329,125986,108479,102225,101519,59708,54467,50973,48347,41291,36839,24030,21877,16533,16149,11766,9041,8085,11824,12146,13222,13749,14764,17015,18133,18206,20259,24871,35580,32366,27789,28955,28529,30367,34461,21561,17456,16396,9904,13200,
流动负债(万元),637045,471553,314936,250358,239580,264572,247217,211818,178496,131520,106751,175184,166544,180894,159269,157691,112958,100610,129433,103481,108315,100470,85044,80112,87964,100021,86170,76489,78836,77492,57482,51227,48506,30452,24807,21413,18337,17691,13239,9020,7537,8193,7809,7426,4641,3685,8824,9146,10222,10749,14764,0,--,--,20259,0,0,31698,0,0,19776,21467,25058,15998,13716,12516,5660,8243,
股东权益不含少数股东权益(万元),579349,554161,537787,518292,488687,468464,456175,438769,417006,399039,393243,383805,186125,175445,168709,157512,146004,137939,133376,127448,120240,114770,111579,108350,104145,100152,96393,94098,90060,47807,44462,42677,39988,37851,35709,34466,33033,31497,30516,29772,28681,27814,27110,26579,25192,24618,24182,23992,22016,21833,19392,19497,27862,28401,29322,29885,36588,39740,49218,49176,46608,44775,41856,20858,19025,17374,17052,12678,
净资产收益率加权(%),11.19,7.04,3.07,16.82,11.03,6.88,2.9,14.16,9.2,5.66,2.36,23.88,15.71,10.1,4.11,21.47,13.94,9.13,3.67,17.62,12.1,7.54,2.94,14.17,--,6.29,0,17.07,0,11.34,0,22.42,0,9.27,--,14.24,0,5.63,0,9.97,0,4.54,0,10.23,0,2.58,0,12.74,0,2.52,0,-43.63,0,0,--,-18.84,-8.26,-9.8,0,10.7,--,13.45,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
