报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.35,0.27,0.1,0.2,0.24,0.17,0.06,0.24,0.19,0.14,0.05,0.11,0.1,0.06,0.06,0.73,1.04,0.87,0.36,1.56,1,0.7,0.32,0.69,0.68,0.48,-0.01,0.03,-0.53,-0.38,-0.26,-0.58,-0.32,-0.14,-0.05,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,3.63,3.6,3.58,5.44,5.38,5.19,10.08,9.89,9.39,6.29,5.99,5.67,5.35,5.27,5.03,2.13,2.14,1.59,1.74,1.86,2.12,2.39,2.57,2.66,2.7,2.61,2.68,2.73,2.77,2.8,2.79,2.41,2.52,2.23,2.08,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.07,0.13,-0.46,-2.04,-0.76,-0.29,-0.91,0.93,1.05,0.54,-0.44,0.4,0.83,0.41,0.03,0.12,0.46,0.07,0.03,0.06,-0.01,0.04,-0.12,0.47,0,0,0,-0.17,0,0,0,1.39,0,0,
主营业务收入(万元),594175,383023,160740,613275,534423,364741,159059,624013,467457,331365,150774,573243,409349,279158,122528,510724,385530,281528,141392,478311,361410,228922,86922,319650,246467,158934,6362,23153,18623,9709,3707,43131,33176,24516,11985,48259,37116,24556,11266,42465,31743,21061,9707,41617,36428,32423,
主营业务利润(万元),71521,47971,19740,79171,64443,45294,18160,84396,63166,43074,16842,59554,47920,34390,19846,99171,74928,55204,30818,93208,66453,42486,18098,58212,43481,27069,-257,-1956,-1963,-951,-417,-1588,314,877,--,2667,2171,1679,548,4382,3797,2725,1395,5124,5645,5663,
营业利润(万元),13249,10942,1482,-1688,9852,7188,1335,9395,8520,7873,1485,-13947,-5031,449,3787,44933,36412,28816,13178,43496,26871,18063,8196,23291,17830,11295,-310,-8081,-5520,-3816,-2625,-5928,-3249,-1404,-462,-1311,-770,-141,-477,910,1287,1074,568,2372,2799,2833,
投资收益(万元),1222,1896,1042,3751,2636,990,830,1393,1865,1398,1002,-1731,-1363,166,-12,1574,1531,763,4,4316,125,45,24,44,0,0,0,--,--,--,--,--,--,0,0,-14,-14,-9,-5,48,52,57,61,38,34,32,
营业外收支净额(万元),18312,14075,8554,23068,12042,8534,4428,14486,9579,5377,3518,29320,16729,8870,1587,6401,4164,2697,119,2239,1861,1597,1077,577,344,251,159,8196,--,--,--,44,--,--,--,11,0,0,0,-4,0,0,0,132,76,0,
利润总额(万元),31561,25017,10036,21380,21895,15722,5764,23881,18099,13250,5003,15372,11699,9319,5374,51334,40576,31512,13297,45735,28732,19660,9273,23868,18174,11546,-152,115,-5360,-3815,-2625,-5884,-3221,-1374,-439,187,-769,-142,-483,954,1336,1125,632,2542,2908,2880,
净利润(万元),29086,22635,8442,16847,19871,14153,5033,20027,16224,11541,4431,9074,8084,5118,3539,40697,31964,24123,9884,37120,23399,16437,7533,16124,11273,6286,-124,250,-5261,-3753,-2574,-5811,-3174,-1388,-463,63,-819,-191,-484,588,858,739,431,1732,2109,1934,
净利润(扣除非经常性损益后)(万元),23050,16619,5309,2864,17877,12325,3797,13386,14423,10219,3196,-7654,--,13,--,39080,--,22877,--,31359,--,15792,--,15085,0,6035,0,-7943,0,-1950,--,-5856,0,-1433,--,-948,0,-199,0,591,0,746,0,0,0,0,
经营活动产生的现金流量净额(万元),29780,-8214,-25576,11714,34146,7351,-2469,23337,9246,5720,-37906,47234,5487,10941,-25818,-113044,-42059,-8188,-25167,25829,24698,12625,-10323,9370,19516,9640,329,1150,4648,704,321,643,-70,354,-1236,4674,3705,411,1097,-1657,-4115,-3634,-3060,8345,0,0,
现金及现金等价物净增加额(万元),9495,-2042,10982,8967,7868,4961,-18835,-7620,8684,-22849,-6475,-43031,-57189,-37968,-51277,-45870,-12771,-17709,-18785,118152,18772,-404,12528,-3285,-16599,1008,-1618,1704,-362,-142,-460,-3827,-3327,-2284,-3137,-948,-3666,-2823,2109,-194,1669,2689,-1772,2069,0,0,
总资产(万元),921238,902385,916319,886096,882888,847358,810073,791851,795942,785482,854267,800884,801042,815130,834328,748852,662154,659837,633808,597305,464394,493548,472380,404980,365029,412700,40706,42372,41523,42357,39904,42617,46364,48988,51130,53325,51796,55073,58481,57297,54163,53294,48006,47394,41030,32491,
流动资产(万元),546906,529019,541015,504311,523211,495563,461039,440189,457976,450036,513302,481005,499992,519968,547775,496708,460151,470452,453738,422045,280777,309792,321262,259508,219086,274031,12604,13999,11358,11280,8041,9902,12657,13622,15022,16594,14291,17648,21478,19956,23519,23540,18385,17946,18709,16767,
总负债(万元),549943,533867,561398,539133,534013,503936,475410,459914,469432,463902,538319,489247,491279,506729,523853,441198,371030,376944,356293,333766,314325,350643,336808,276961,239395,292724,18938,20452,25078,24367,20725,20812,21816,22606,23796,25638,25000,27641,30560,28892,25495,24761,32915,31669,27070,19352,
流动负债(万元),410251,396234,455716,431904,419299,393913,382840,368104,383919,379549,455292,406862,408063,424680,440937,359460,356422,362634,341973,319445,298936,335254,318694,260546,231461,281190,18680,20194,24070,23358,19717,19804,20789,18319,19509,21347,18692,19606,21025,19337,16978,14204,21116,19718,19834,14908,
股东权益不含少数股东权益(万元),362744,360967,347399,339347,341614,335816,326749,324187,318442,313493,307289,302566,300280,298318,301955,298674,288300,279855,274524,260667,147980,140787,133361,125828,123824,118247,21320,21444,15933,17441,18620,21194,23912,25697,26640,27005,26123,26752,27258,27742,28013,27893,14461,15111,13378,12470,
