报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-06-30,2003-12-31,2003-03-31,2002-12-31,2001-12-31,
基本每股收益(元),1.19,1.23,0.45,0.55,0.33,0.19,0.05,0.24,0.12,0.14,0.13,0.27,--,0.4,--,--,0.58,--,--,-0.27,--,--,--,1.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,4.35,4,--,--,3.68,--,3.5,--,3.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,1.16,-0.99,--,--,-1.02,--,-0.42,--,-2.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),1188207,1100149,412095,549960,353262,220475,116941,324394,164516,238129,124756,257321,167777,309048,209093,122210,381143,184251,108267,-46695,-54998,-83799,-24267,848497,303292,84629,194801,127854,98225,146114,32106,21401,12688,6699,54736,39697,30754,18354,33946,48889,
主营业务利润(万元),771459,761614,252037,288992,172242,95051,30336,109559,52476,56257,42299,105038,77832,162544,--,65564,244184,122081,--,-145807,--,-136136,--,617288,223538,--,140736,--,74537,--,-3548,--,-2664,--,10506,14936,-8501,--,-744,9473,
营业利润(万元),771459,761614,252037,288992,172242,95051,30336,109559,52476,56257,42299,105038,77832,162544,--,65564,244184,122081,--,-145807,--,-136136,--,617288,223538,--,140736,--,74537,--,-3548,--,-2664,--,10506,14936,-8501,--,-744,9473,
投资收益(万元),813837,713882,198053,379809,241969,163449,103902,241523,120738,125436,61396,115648,83238,110831,--,54002,74662,47354,--,99593,--,44672,--,306636,14312,--,26523,--,10680,--,3758,--,2027,--,2908,1385,14990,--,1391,598,
营业外收支净额(万元),10426,8442,-465,4377,4408,4032,-6,3865,2889,14975,13648,11871,1139,2670,--,-198,497,50,--,11059,--,10708,--,5361,5307,--,-4524,--,-13,--,-3020,--,65,--,-461,-2,94,--,-58,245,
利润总额(万元),781885,770056,251572,293369,176650,99084,30330,113424,55365,71232,55947,116909,78971,165213,122159,65365,244681,122131,76889,-134748,-110553,-125428,-42792,622649,222301,51999,133241,86770,74517,3824,-3817,-2708,-2600,-1773,6852,10313,6583,3824,589,10315,
净利润(万元),591087,587761,193995,234167,142755,82467,21802,100742,52119,60948,55160,90863,65488,131529,97134,53512,191461,92237,57764,-89543,-75641,-87520,-26838,430317,157080,37762,93615,64344,55074,3381,-3169,-2794,-2654,-1803,3525,6666,4799,3381,589,6490,
净利润(扣除非经常性损益后)(万元),582655,581724,194343,--,--,--,21806,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),578066,2987430,-322274,498812,-423579,1540,-106548,-434959,-52138,-181080,-59632,-1198760,--,-135574,--,--,1182955,--,--,-981769,--,--,--,1158195,--,--,846241,--,--,--,31206,--,--,--,-102787,--,-90517,--,-113930,--,
现金及现金等价物净增加额(万元),3523989,4457893,677616,1460180,459706,216185,126032,117524,160607,-215034,-81084,-1154126,--,43932,--,--,1141017,--,--,-1053499,--,--,--,1256885,--,--,736897,--,--,--,115917,--,--,--,-131706,--,-53778,--,-108159,--,
总资产(万元),18894094,19184078,13488687,10753012,8967600,7321096,--,6085246,5377980,4873246,4597220,4016967,3844701,4147854,3402272,3420141,3480842,2239052,2415166,2153683,2401134,3168905,3007771,3535485,3081886,2073382,1493273,1311449,784321,801200,769171,708411,600247,1793238,497626,591803,696986,801200,741429,737750,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3036380,--,1442612,--,745292,--,735252,--,559620,--,463014,561323,665755,--,660060,698041,
总负债(万元),15649014,15759125,10383937,8890462,7253664,5705373,--,4507434,3844487,3373426,3091092,2576349,2869189,3126331,2448938,2546040,2581268,1464517,1673187,1489413,1726501,2461911,2238983,2653843,2542725,1760414,1217708,1065251,540088,608661,587317,526183,417878,1572462,312603,368428,478208,608661,625603,618321,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2540998,--,1215982,--,540088,--,587317,--,417878,--,312603,368428,478208,--,625603,618321,
股东权益不含少数股东权益(万元),3211095,3391600,3075122,1835313,1689477,1591882,--,1555030,1509972,1475018,1479473,1440618,975512,1021523,953334,874101,899574,774534,741979,664270,674632,706994,768788,881643,539162,312967,275565,246198,244233,192539,181854,182228,182369,220776,185023,223375,218778,192539,115826,119429,
净资产收益率加权(%),21.75,22.26,9.87,13.81,8.76,--,1.41,6.65,3.44,4.18,--,8.67,--,13.92,--,--,24.69,--,--,-12.1,--,--,--,--,--,--,--,--,--,1.77,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
