报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.38,0.19,0.08,0.52,0.33,0.16,0.13,0.77,0.5,0.25,0.09,0.59,0.4,0.19,0.08,0.73,0.55,0.21,0.53,0.45,0.4,
每股净资产(元),4.54,4.36,4.01,3.92,3.72,3.31,6.61,6.47,6.17,5.9,5.94,5.84,5.65,5.45,5.53,5.45,2.95,2.6,2.4,1.87,1.62,
每股经营活动产生的现金流量净额(元),-0.81,-0.69,-0.28,0.5,-0.14,-0.25,0.14,1.19,0.01,-0.24,-0.13,0.38,-0.88,-0.99,-0.66,-0.02,-1.26,-0.67,0.19,0.19,0.36,
主营业务收入(万元),148166,87375,37577,216279,129356,65531,26421,162761,89737,55087,21040,117903,75722,47064,21592,126798,90657,52881,114867,86348,46649,
主营业务利润(万元),52962,29143,11134,69813,39543,18992,7169,45382,27347,14963,5545,39199,24461,13574,6303,35917,25100,14171,30647,21417,16349,
营业利润(万元),25182,12624,4705,32130,20035,9901,4159,22949,15208,7620,2864,16519,10881,5145,2431,15505,11425,5423,11776,9024,7385,
投资收益(万元),18,-31,70,572,356,308,-50,159,0,--,--,--,--,--,--,--,--,--,16,56,542,
营业外收支净额(万元),1051,575,237,1140,496,278,142,551,109,91,13,437,258,147,62,159,547,90,824,-16,34,
利润总额(万元),26233,13199,4942,33271,20531,10179,4301,23500,15316,7711,2877,16956,11138,5292,2493,15664,11972,5513,12600,9008,7419,
净利润(万元),20050,9977,4163,25253,16034,7822,3060,18555,12058,5985,2327,14130,9456,4624,2017,13181,9851,3708,9491,8114,7116,
净利润(扣除非经常性损益后)(万元),--,9659,--,24382,--,7617,--,18005,--,5972,--,13655,--,4524,--,13061,9389,3635,8810,7836,6806,
经营活动产生的现金流量净额(万元),-44910,-38107,-14163,25329,-7111,-11938,3265,28487,284,-5849,-3092,9010,-21212,-23769,-15933,-512,-22638,-12090,3481,3443,6393,
现金及现金等价物净增加额(万元),-11713,-7796,-22892,-7415,-40383,-47661,-5551,-9325,-31187,-33973,-10732,-11430,-42950,-33588,-21948,95222,-6979,260,935,-2281,1181,
总资产(万元),484041,450716,402715,429508,376969,309673,306352,312092,278996,263443,279803,288482,257710,254264,254215,265625,165691,148133,134060,101429,78100,
流动资产(万元),364688,344040,304038,331938,282606,238440,241959,257138,227695,215826,236229,249400,223335,227837,230806,241910,142955,126456,113035,83229,61833,
总负债(万元),217587,195885,187618,218668,178572,139008,139210,148485,126996,118128,134795,145752,121353,123548,121430,134659,112496,101095,90723,67354,48035,
流动负债(万元),208753,187088,178901,209912,172043,133521,133648,142849,123880,117008,133695,144632,120563,122736,120596,122795,100408,89192,78985,61147,47828,
股东权益不含少数股东权益(万元),251930,241190,202371,197899,186599,159213,158751,155302,148170,141685,142532,140203,135523,130692,132772,130871,53031,46832,43117,33615,29081,
净资产收益率加权(%),9,4.79,2.08,14.64,9.94,4.91,1.95,12.62,8.37,4.21,1.65,10.46,7.1,3.34,1.46,26.51,--,8.25,24.74,26.87,20.79,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
