报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.37,0.22,0.16,0.93,0.68,0.61,0.24,1.08,0.78,0.47,0.22,0.88,0.62,0.42,0.25,0.78,0.36,0.54,0.25,0.2,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,7.61,7.4,7.28,4.51,4.09,3.77,1.94,1.6,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.3,-0.33,-0.1,0.49,0.28,0.29,0.57,0.38,
主营业务收入(万元),113537,76639,32887,155363,116162,73432,30417,132534,95942,60485,26725,98532,70677,43333,22154,78295,37631,53926,32934,33610,
主营业务利润(万元),27672,17435,7745,35953,26415,16157,6759,28398,20036,12526,5586,21642,15493,10063,5066,17176,7910,10840,5923,5422,
营业利润(万元),17530,10057,3769,21222,15710,9369,3663,15721,11302,6703,2947,11818,8294,5370,2769,8321,3927,4878,1584,1357,
投资收益(万元),229,199,107,703,374,184,109,334,225,93,2,-3,-16,3,7,209,-10,-28,-229,--,
营业外收支净额(万元),234,304,214,226,182,117,110,272,226,164,144,226,62,75,57,353,145,160,242,112,
利润总额(万元),17764,10361,3984,21448,15893,9487,3773,15993,11528,6867,3091,12044,8356,5444,2827,8674,4072,5038,1826,1468,
净利润(万元),14952,8618,3281,18589,13633,8069,3244,14407,10359,6287,2878,10998,7638,4896,2504,7773,3627,4395,1673,1332,
净利润(扣除非经常性损益后)(万元),14733,8341,3089,17829,13145,7949,3273,13912,9931,5962,2759,10816,--,4904,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),10215,2978,-1488,16538,11573,-548,-4727,3851,-7864,-6530,-3689,2689,-4021,-4461,-1368,4906,2840,2939,3813,2527,
现金及现金等价物净增加额(万元),11822,3137,-5007,-10516,-16191,-3668,-4702,1362,-5508,-16073,-5905,24757,22650,29601,48972,3470,4882,-433,785,816,
总资产(万元),187825,174559,179752,186415,184152,170429,161131,160506,147668,146905,158040,149782,137113,131785,147051,90037,79794,72072,53020,38312,
流动资产(万元),125670,114724,123043,129951,137378,124804,115957,116555,104520,105095,117065,111431,105514,101601,116836,60201,52799,47114,34106,24368,
总负债(万元),39677,36367,42487,52578,55493,47204,39758,42388,33507,37483,49158,43505,34035,31092,47931,42723,37091,31947,39001,27623,
流动负债(万元),39527,36217,42337,52428,55342,47054,39758,42388,33483,37464,49158,43505,34034,31092,47319,42114,33962,28404,31447,27563,
股东权益不含少数股东权益(万元),143182,136849,135512,132231,127275,121711,119820,116575,112527,108455,107714,104835,101475,98733,97021,45125,40865,37725,13020,10690,
净资产收益率加权(%),10.88,6.37,2.45,14.94,11.17,6.72,2.74,13.01,9.44,5.82,2.71,12.59,9.35,6.8,5.4,18.71,9.29,18.63,14.11,13.4,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
