报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),2.16,2.09,1,4.18,3.51,2.55,1.45,4.01,3.16,2.37,1.39,3.33,2.84,2.51,1.39,0.93,1.08,0.75,0.48,0.41,0.38,0.24,0.09,-0.4,-0.04,0.21,0,0.79,0.85,0.78,0.43,1.03,0.95,0.9,0.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,16.47,--,14.59,14.26,13.44,12.05,12.2,11.87,11.6,11.12,10.6,10.46,10.32,10.23,10.58,10.83,10.62,10.62,10.67,10.6,10.24,9.82,9.45,9.4,9.11,8.71,8.58,8.42,8.21,8.07,6.63,7.08,6.93,6.7,5.37,5.28,5.25,5.09,5.04,4.97,4.89,4.74,4.82,4.76,4.86,4.6,3.77,3.59,3.57,3.46,3.54,2.49,2.61,2.41,2.94,2.69,2.49,2.29,2.37,2.28,2.1,3.37,1.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,2.81,--,7.66,2.01,0.61,9.27,8.22,3.6,2.74,5.89,4.89,0.9,-0.59,4.17,4.79,1.34,0.69,4.12,5.29,1.06,1.61,3.03,0.73,0.93,0.88,2.96,0,--,0,2.72,0,0,0,1.78,0,0,0,0.71,0,0,0,0.56,0,0.38,--,0.77,0.43,0.48,0.12,0.51,--,0.41,0.08,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),2367117,1653488,913638,3220586,2443563,1699589,946030,3374689,2539266,1756781,941332,3185910,2382240,1616648,889272,3040379,2272904,1554340,878683,2434346,1779870,1197114,660027,2116316,1543292,1022133,551320,1884967,1451386,980029,555760,1496877,1122751,750513,424268,1066355,782547,518103,305197,857657,625959,428580,238298,635445,431815,294386,165432,513842,379407,255553,141800,304899,200175,132234,73802,198052,81137,135786,65807,123785,59013,81641,37254,80303,40650,88884,45876,94753,57621,95362,43824,81555,--,
主营业务利润(万元),482771,342695,186442,646586,495401,350912,193957,653874,489004,341348,187158,595023,440833,315682,177184,528768,391883,269319,143439,435111,329449,223400,116695,369627,278953,196706,107859,346674,257618,176849,97837,289153,207607,143240,--,160354,110316,79273,42607,128808,92309,66103,34717,95605,60660,42155,23109,71057,50510,35163,19640,45820,28859,21283,11183,31971,12637,22050,10661,20351,10010,14964,6671,6363,3628,6239,3170,6025,4096,6511,6499,3588,--,
营业利润(万元),90810,87566,42915,175250,138999,102653,58229,167141,129409,93986,51803,132629,111839,96019,56173,45903,48940,35183,20517,30938,30996,19764,6371,6869,13005,17180,4283,3068,2816,34466,17567,50973,40460,37658,13747,48699,37483,29823,10539,41804,29876,20182,9891,22818,16304,12508,7351,17697,13424,10497,6476,13963,10357,7578,3580,11624,5409,10948,4720,9062,4435,7314,4067,7025,4006,6576,0,6199,0,0,3430,3689,--,
投资收益(万元),103,54,40,206,98,46,30,299,151,137,74,871,834,702,702,19,11,6,6,-220,74,22,11,-145,69,69,55,107,33,33,33,76,0,0,0,-898,-392,-506,6,-838,227,199,101,45,908,152,-80,-148,-402,-535,-243,-537,-537,-418,-168,-516,-481,-916,-777,-2007,-1243,-198,0,2,0,13,0,34,8,9,3,5,--,
营业外收支净额(万元),2964,1573,887,1716,3262,2343,1423,-5138,-4579,-1069,1608,7090,4918,3705,-851,4403,1385,105,1335,380,-1253,13,1608,-3876,-823,453,1153,38922,--,--,--,--,--,--,--,-3249,0,--,0,-1862,0,0,0,-476,-65,0,0,-2283,0,158,8,627,191,83,0,-111,16,67,0,122,0,0,0,0,-9,0,-101,0,15,113,0,0,--,
利润总额(万元),93774,89139,43802,176966,142261,104996,59652,162003,124830,92917,53411,139719,116758,99724,55322,50307,50324,35288,21852,31318,29743,19777,7978,2993,12182,17633,5436,41990,40760,35449,18057,57801,45899,42952,14211,44969,37550,29491,10418,39815,30158,20401,10146,22387,17146,12599,7129,15266,12581,10120,6241,14053,10010,7244,3403,10997,4944,10118,3987,7178,3152,7186,4070,7023,3997,6489,3180,6336,4246,6826,3467,3337,--,
净利润(万元),63572,61501,29270,122781,102956,74989,42521,117882,92733,69710,40748,97700,83446,73667,40920,27398,31702,22096,14045,12178,11021,6977,2605,-11616,-1170,6127,99,23156,24966,22961,12497,30350,27954,26422,8167,25846,22702,18046,7809,24395,19676,13687,6633,14098,11369,8448,4439,8365,6846,5821,3753,8268,6038,4413,2075,8843,3906,8409,2356,5437,2282,6074,3460,5983,3401,5521,2707,5384,3619,5800,2947,2837,--,
