报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,
基本每股收益(元),0.26,0.27,0.1,0.56,0.52,0.35,0.18,0.47,0.46,0.26,0.07,0.27,0.23,0.14,0.05,0.27,0.27,0.23,0.09,0.5,0.43,0.3,0.13,0.6,0.47,0.34,0.15,0.28,0.16,0.07,0.03,0.19,0.18,0.12,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.54,--,5.23,5.15,3.48,3.48,3.4,3.32,3.33,4.03,3.88,3.77,3.68,3.54,4.14,3.98,3.85,3.83,3.58,3.44,3.3,3.34,3.3,3.27,3.27,3.21,3.23,3.16,3.18,3.13,3.17,3.14,3.12,3.17,3.13,3.12,3.25,3.21,1.85,1.94,0,1.82,1.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.34,--,-0.12,--,0.21,0.04,-0.1,0.33,0.01,0.04,-0.12,0.85,0.38,0.35,0.05,0.76,0.37,0.23,-0.11,0.26,-0.08,-0,-0.09,0.13,0.01,-0.1,-0.01,0.34,0,--,0,0.09,0,0,0,0.01,0,0,--,0.16,0,0.59,0,
主营业务收入(万元),68249,41870,17719,98777,73544,49333,20760,93992,65335,39175,15708,66740,44587,29478,11914,54929,38463,24548,10898,47097,33966,22847,9901,42020,30036,20056,8542,31007,20895,13063,5272,21828,15373,9610,4495,15387,11094,7200,3087,14267,10583,7532,3363,12178,8539,5648,2769,10089,2183,9152,8884,
主营业务利润(万元),24237,15558,6915,38857,27476,18385,8137,35572,23865,13996,5017,20363,13427,8823,3292,16925,12226,8151,3525,17350,12765,8712,3481,15941,11155,7474,3184,9190,5595,3369,1351,5515,4983,3072,--,5113,3751,2419,940,3885,2718,1850,743,3815,2825,1966,967,3598,689,3186,3188,
营业利润(万元),9107,5903,2050,13046,11519,7867,3814,11258,10266,5527,1240,5877,4471,2925,913,5020,4893,3776,1544,8083,6450,4634,1611,7415,5442,3889,1633,3392,1945,933,364,2727,2463,1621,487,2534,1761,1096,369,1744,1100,721,165,1546,1491,1064,526,2119,371,1915,2031,
投资收益(万元),70,70,26,512,227,210,51,397,138,45,29,212,49,46,7,56,53,39,6,18,10,12,1,-415,89,40,19,-125,11,10,--,503,-2,--,0,-286,0,--,0,-196,0,0,0,-6,-6,-6,--,0,0,0,0,
营业外收支净额(万元),122,88,89,193,143,63,56,220,188,98,94,-27,79,-12,-7,240,57,55,44,-250,21,7,5,15,74,55,10,-384,--,-3,--,-109,--,-6,--,-14,0,--,0,-7,0,0,0,-18,0,0,3,-20,0,0,0,
利润总额(万元),9229,5990,2138,13239,11661,7931,3870,11478,10453,5625,1334,5850,4551,2912,906,5260,4950,3831,1588,7833,6471,4642,1615,7430,5516,3944,1642,3008,1937,930,364,2617,2468,1614,487,2234,1759,1094,367,1540,1097,718,164,1521,1489,1061,529,2098,371,1894,2021,
净利润(万元),6950,4653,1745,9797,9110,6142,3112,8255,8029,4478,1191,3628,3026,1762,684,3442,3455,2514,991,5443,4591,3191,1215,5376,4215,3046,1319,2525,1392,670,273,1693,1573,1032,327,1404,1180,737,251,903,716,465,92,977,998,714,354,1398,244,1257,1350,
