报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2001-12-31,2001-06-30,2000-12-31,1999-12-31,
基本每股收益(元),0.02,-0.09,-0.04,0.09,0.05,0.04,0,0.08,0.03,0.02,0.01,-0.34,0.01,0.01,0.01,0.23,0.21,0.19,0.12,0.78,0.64,0.41,0.12,0.56,0.42,0.23,0.05,0.25,0.1,0.06,0.02,0.31,0.22,0.17,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.39,--,3.73,3.73,3.8,3.81,3.81,4.18,8.1,7.96,7.71,5.78,5.67,5.57,5.39,5.2,5.12,5.07,4.82,4.77,4.82,4.8,4.66,4.61,4.73,4.51,3.74,3.62,3.71,3.63,3.58,3.47,3.57,3.49,3.58,3.48,3.39,3.34,3.31,3.26,3.21,3.17,3.34,2.08,1.91,0,1.58,1.51,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.18,--,-2.71,-2.08,-1.84,-3.71,-2.23,-1.71,-1.85,-0.95,-2.58,-1.6,-1.16,0.77,-0.46,-0.66,-1.01,0.36,-0.2,-0.89,-0.48,-0.79,-1.08,-0.79,-0.7,-0.41,0,0,0,0.97,0,0,0,0.31,0,0,0,0.3,0,0,0,0.02,0,0.23,0.4,0.18,0.21,0,
主营业务收入(万元),715252,436562,144205,774944,556422,371825,102086,662646,438902,309216,138282,542450,428644,314150,122712,624751,470956,352734,124130,676033,446812,323509,93855,511706,352528,213841,79715,334154,218122,130261,53664,265538,188110,127600,51721,218162,162307,105542,50938,178009,134157,86388,35625,123018,89832,52069,18765,78293,55351,35410,14773,57396,41692,26231,52272,25000,48188,38865,
主营业务利润(万元),93745,52103,23062,125541,86943,58149,22966,116538,84215,56753,24986,102703,75772,52462,21253,110010,83505,55017,21907,116549,88404,58549,19441,93769,72950,41779,14912,51585,36635,24754,11298,51845,36109,24053,9798,49953,38320,24593,11642,43481,32713,20614,8492,30734,22043,12921,4964,21935,14383,9258,3937,17875,12652,7832,16695,6931,15052,11889,
营业利润(万元),-746,-9028,-3222,-2669,-703,2208,205,463,1725,1541,978,-25737,146,744,906,12012,13599,12892,3791,21179,23465,16048,3720,19704,20874,11092,2128,-1897,3399,1748,821,8028,5664,3885,1065,9498,9581,6153,2717,9205,8889,5605,2177,8416,6800,4267,1436,7063,4260,2734,1113,6342,4704,3079,6170,3095,5416,2375,
投资收益(万元),2435,5,-89,58,-190,-260,-116,402,-120,-106,-8,236,453,463,319,1192,350,147,4,1380,1144,271,15,757,459,242,5,102,94,-4,-4,-1457,-752,-169,-45,-38,-15,-2,-2,-43,-48,-49,-27,-477,-381,-380,-6,-1716,-15,10,-5,-13,-6,-4,6,0,0,0,
营业外收支净额(万元),1007,436,140,8289,4227,542,285,5492,939,810,143,5451,2965,1413,23,4769,1372,1050,859,5434,248,276,13,778,247,-30,32,11553,--,--,--,--,651,257,3,1530,0,0,-7,257,0,0,0,56,0,0,0,-98,0,-34,0,-65,-13,2,0,0,0,0,
利润总额(万元),260,-8592,-3082,5621,3524,2750,490,5956,2664,2351,1121,-20286,3111,2157,929,16781,14971,13942,4651,26613,23713,16325,3732,20482,21122,11062,2160,9655,3187,1548,715,12106,6315,4142,1068,10998,9542,6148,2708,9444,8920,5633,2294,8001,6491,3882,1415,5249,4213,2710,1103,6264,4685,3077,6147,2940,5841,2419,
净利润(万元),1101,-6579,-2426,5440,3318,2493,139,4808,1660,1508,865,-20789,516,472,434,13901,12632,11388,3763,21708,15466,9536,2931,13220,9890,5478,1192,5881,2350,1377,484,7289,5173,3889,1880,7109,6051,3815,1668,6056,5073,3079,1310,5199,4152,2445,955,3326,2839,1819,739,4084,3126,2049,3929,1970,3729,1497,
净利润(扣除非经常性损益后)(万元),383,-6909,-2529,-986,261,2040,-103,457,862,823,--,-25344,--,-727,--,10286,--,10780,--,17259,--,9394,--,12642,--,5503,0,287,0,1529,--,4222,0,3768,--,6020,0,3218,0,5362,0,2959,0,4994,0,2379,0,4129,0,1842,0,4199,3135,2048,0,2074,0,0,
