报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.99,0.67,0.3,1.54,1.21,0.8,0.38,--,1.1,0.69,0.32,1.27,0.94,0.58,0.28,1.1,0.82,0.51,0.24,0.94,0.7,0.45,0.22,0.91,0.72,0.38,0.18,0.65,0.45,0.25,0.12,0.55,0.43,0.27,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,7.81,--,7.16,6.81,6.61,6.33,6.06,5.75,5.57,5.33,5.1,4.84,4.7,4.48,4.3,4.06,3.92,3.74,3.58,4.11,4.03,3.9,3.79,3.8,4.01,4,3.89,3.78,4.37,4.27,4.2,4.1,4.52,4.43,4.31,4.22,4.21,4.55,4.49,4.42,4.4,4.35,4.4,4.34,4.28,4.24,4.29,4.2,4.2,4.11,4.02,3.93,3.84,3.77,2.12,4.05,3.64,1.65,1.59,1.4,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.3,--,1.03,0.78,0.3,1.63,1.1,0.66,0.37,1.39,0.97,0.67,0.32,1.22,0.9,0.5,0.31,0.74,0.48,0.37,0.17,0.64,0.45,0.3,0.13,0.64,0,0,0,0.6,0,0,0,1.36,0,0,0,0.87,0,0,0,0.36,0,0.12,--,0.29,0.11,0.41,0.2,0.38,--,0.43,--,--,--,--,--,--,--,--,
主营业务收入(万元),106771,75071,34139,135250,101643,67348,32194,125414,93735,60378,28805,111893,81969,53481,25312,99540,72364,46853,22043,83878,61191,39742,18950,76606,56337,35472,17040,64258,42942,22066,10844,42370,30900,19327,8625,35357,24585,15650,7670,30477,22643,14393,6882,26292,16816,9648,5037,19113,12728,7732,4537,19120,14350,9459,4521,18085,8705,18078,8831,17225,8214,16093,7472,15395,7507,11151,5113,8827,5615,4109,
主营业务利润(万元),44755,30060,13748,67792,53624,35435,16991,65739,50203,31383,14932,56665,41964,26756,12410,50963,37767,24081,11572,45606,32628,21176,10347,40092,30708,18010,8423,30420,20746,10723,5378,21975,16548,10385,--,18524,13124,8345,4154,14847,11287,7066,3632,11669,6422,3088,2149,6702,4322,2350,1804,7843,6009,4357,2006,7609,3715,7696,3538,7217,3319,6038,2755,4951,2161,8540,3762,7188,4739,3313,
营业利润(万元),40776,27534,12382,62941,50054,32999,15831,61458,46475,28934,13390,53082,39048,24791,11661,45639,33924,21291,10106,38805,28819,18626,9017,37317,29681,15327,7113,25316,17625,9852,4975,21615,16991,10588,4992,15950,11510,7303,3646,12395,9587,5774,3118,9695,5304,2484,1768,4830,3159,1635,1463,5877,4644,3136,--,6119,2770,6089,2733,6113,2812,5263,2243,5302,0,8540,3762,7188,0,0,
投资收益(万元),778,466,194,2067,1403,1039,601,1617,1020,523,31,2081,1438,959,446,424,91,73,23,279,160,135,95,3185,3139,22,11,403,383,317,184,4224,2244,1380,842,403,28,-44,-22,102,127,135,118,75,32,14,6,12,15,16,-7,21,-3,-13,2,4,0,0,0,0,0,0,0,0,0,0,0,--,0,0,
营业外收支净额(万元),396,299,121,957,625,402,41,85,217,193,70,-113,-4,50,4,-18,25,2,2,-118,-9,-61,-25,-593,-83,75,57,-21,--,--,--,--,-66,--,--,-188,0,0,0,-60,0,0,0,3,62,0,0,13,9,5,4,-5,-2,2,2,45,0,87,0,-7,0,0,0,0,30,0,0,-1,--,--,
利润总额(万元),41172,27833,12504,63899,50679,33402,15873,61543,46692,29127,13459,52969,39044,24841,11664,45621,33949,21293,10108,38686,28810,18565,8991,36724,29598,15401,7171,25295,17588,9782,4991,21481,16926,10486,4994,16165,11484,7229,3585,12437,9724,5918,3241,9773,5398,2545,1800,4854,3183,1656,1460,5893,4639,3125,1540,6167,2824,6176,2818,6106,2813,5235,2242,5276,2386,8937,3761,7187,4739,3310,
净利润(万元),29513,19947,9040,45825,36151,23779,11340,44001,32819,20690,9593,37786,27852,17382,8288,32626,24293,15071,7227,28012,20848,13332,6512,27015,21544,11323,5328,19456,13306,7576,3715,16479,12785,8076,3880,12259,8723,5432,2736,9295,7308,4423,2455,7682,4308,1979,1497,3988,2665,1366,1246,4786,3927,2622,1309,5149,2399,5143,2395,5098,2391,4360,1854,4482,2020,7582,3197,6109,4028,2813,
净利润(扣除非经常性损益后)(万元),28928,19553,8901,43965,34922,22894,10994,--,32018,20245,--,36533,--,17348,--,32641,--,15062,--,28036,--,13324,--,25034,--,11268,0,19222,0,7451,--,13288,0,8163,--,11986,0,5456,0,9173,0,4261,0,7534,0,1873,0,3551,0,1346,0,4790,3929,2620,--,5127,2362,5057,2301,5098,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),31506,26122,9468,63526,47451,27590,12457,56348,37230,25454,9032,47265,30635,23162,8992,48483,32803,19534,11149,41272,28890,19837,9628,36474,26768,14911,9358,22098,14181,11096,5007,19102,13406,8942,4002,18942,13928,8654,4731,16120,11748,7827,4619,36679,17946,11725,24034,23454,8954,5180,3991,9588,0,3307,--,7901,2822,11155,5364,10132,--,11478,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-11399,-1976,-5580,-78465,-24141,-29633,9925,49819,-35369,-30188,-38001,29112,-8847,-168,-1509,-27375,12430,4313,3241,40520,26615,18993,20061,-6555,-3438,-3548,-2865,-32004,-31710,-21519,976,6989,-2836,-527,4880,9891,10801,5935,4563,17933,21958,16699,25159,-11142,-3578,-9381,8443,14684,-1690,-1592,-3260,2575,0,-328,--,-21622,553,8101,2669,-5558,--,9483,--,--,--,--,--,--,--,--,
总资产(万元),380258,374015,384699,379118,333267,319921,320989,306986,295259,280759,281152,269052,255164,244882,236473,224906,217718,206523,203057,193016,184579,176955,172264,166501,159074,159365,160538,164986,161095,146852,141145,138965,136461,134225,139434,138540,134779,131090,136193,133134,132500,129264,141082,138379,135530,118991,128226,126183,125138,126242,125537,126774,126724,127498,129072,127565,124608,129197,126068,126232,123905,132528,120274,119393,80605,70361,62742,40359,19577,8157,
流动资产(万元),84943,76400,83750,75560,172478,161373,162125,147083,141577,126528,126953,117051,111195,101697,99788,90873,80201,70342,69485,64598,52156,43300,44274,24821,30948,33743,31760,35775,32751,60516,54069,52705,48896,47911,52175,46521,41859,37130,41015,36514,34625,30528,40910,37046,33584,39550,47591,44181,42401,42482,--,--,--,--,38775,0,0,0,0,0,19585,25251,19699,16947,6973,1428,14079,1797,1277,2664,
