报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
基本每股收益(元),-0.08,-0.08,0.04,0.51,0.14,0.12,0.06,0.56,0.18,0.12,0.02,0.46,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.38,0.25,0.17,0.37,0.14,0.39,0.27,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,2.21,1.74,1.74,1.82,1.8,1.49,1.49,3.1,3.09,2.7,2.7,2.79,2.79,1.67,1.6,1.48,0,1.16,0.86,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.46,0.6,0.24,-0.26,-0.87,-0.51,-0.37,-0.6,-1.08,-1.07,-0.45,-0.16,-0.31,0.05,0.03,-0.04,0,0.09,-0.09,
主营业务收入(万元),94704,60477,35926,264723,68097,57746,34315,165540,98710,68853,19289,220899,12594,9242,6033,101794,8360,6061,4003,66163,11013,6618,3513,58728,45694,39138,55356,23759,57953,52228,
主营业务利润(万元),3689,-558,10586,81656,31527,25743,13067,58157,31811,22586,5264,71850,6619,4929,3141,48152,3608,2632,1874,30163,3391,2119,1232,22380,14059,11521,26698,11890,26133,22644,
营业利润(万元),-8488,-9242,5770,70046,20672,18013,9351,65666,25182,17957,3123,60644,2418,2132,1652,41257,823,914,821,25866,1347,899,488,18747,11065,9277,21901,8768,23132,19046,
投资收益(万元),322,198,-16,3807,-494,-402,-188,19851,-232,-157,-109,-210,-157,-86,-54,74,--,--,--,--,--,--,--,--,0,0,19,19,0,6,
营业外收支净额(万元),37,3,1,34,-70,23,7,45,-8,-12,-16,70,-61,-49,-9,317,309,-14,1,102,-25,-14,-5,3081,2782,-32,-201,--,--,-89,
利润总额(万元),-8450,-9239,5771,70081,20601,18037,9358,65711,25174,17945,3107,60714,2357,2083,1643,41575,1132,900,822,25968,1322,885,483,21828,13847,9245,21700,8621,23620,18957,
净利润(万元),-11441,-11943,3895,49090,13922,11675,6245,54058,17336,11661,2005,44551,1212,1136,1042,29397,743,644,600,19241,699,635,347,16619,10621,7187,16096,5913,13614,8232,
净利润(扣除非经常性损益后)(万元),-11469,-11945,3892,49080,13997,11657,6239,54027,17342,11671,2019,44499,--,1181,--,29042,--,654,--,19165,--,646,--,14308,8549,7211,16296,0,13109,8289,
经营活动产生的现金流量净额(万元),-221626,-193058,-152608,-68189,-137251,-104012,-31309,-95521,-107356,-94786,-47657,44152,57842,23441,-24711,-83365,-49184,-35104,-28697,-51920,-51263,-21697,-7734,-15060,2239,1382,-1564,-6021,3756,-3713,
现金及现金等价物净增加额(万元),111550,38987,55211,-40755,-41303,4553,19918,3197,-25674,-59698,-4204,35437,54847,18481,-33279,-31612,-32536,-24190,-8947,31072,-1043,10159,5625,64636,19670,18489,-884,413,1085,-5926,
总资产(万元),1418604,1346532,1290507,1044162,997471,980372,864692,801223,737902,703872,708283,649810,716704,605147,477071,484826,407918,388956,377166,368710,288311,252703,239795,227591,172180,175095,174370,0,136591,110980,
流动资产(万元),1346109,1244193,1188210,951291,988431,971275,855476,791721,728273,702225,706687,648010,715081,603477,475350,482964,406920,387980,376199,367721,287631,252095,239139,226903,171499,174395,173667,--,135801,110153,
总负债(万元),1133265,1062486,981349,742765,731694,705603,595738,538493,512785,486272,501389,437801,549765,438284,302622,311419,264530,245667,228161,220305,128448,92903,105481,93624,99707,106056,110357,--,86493,73996,
流动负债(万元),720728,789771,727799,558215,431744,317949,228538,247636,237985,253223,262389,244601,431415,342734,194678,211350,166575,133487,80225,116369,94717,78963,83333,73700,78323,75882,94179,--,82488,63996,
股东权益不含少数股东权益(万元),279642,278221,303221,299274,263643,272635,266817,260572,222929,215907,205200,211815,166745,166669,174255,173213,143193,143094,148810,148210,129668,129604,134116,133769,72275,68841,63814,0,49879,27557,
净资产收益率加权(%),-3.89,-4.07,1.29,17.5,5.28,4.38,2.37,23.18,8.06,5.47,0.94,23.3,0.71,0.66,0.6,18.4,0.51,0.44,0.4,13.73,0.53,0.48,0.26,20.42,0,10.66,28.77,0,35.29,38.26,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
