报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),-0.1,0.11,0,0.29,0.13,0.11,0.04,0.16,0.13,0.08,0.11,0.01,0.02,0.07,0.03,0.02,0.03,0.05,0.06,0.15,0.15,0.06,0.09,0.75,0.68,0.64,0.54,-0.12,0.06,0.08,0.06,0.54,0.13,0.11,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,3.21,--,3.09,--,2.99,--,2.81,--,2.67,2.52,2.48,2.46,2.37,2.44,2.44,2.38,2.4,2.31,3.36,3.31,3.12,3.25,3.06,2.38,2.61,2.85,3.33,3.48,2.16,2.14,3.26,3.14,3.13,3.04,3.11,3.09,3.07,3.04,3.11,3.07,3.03,3,2.96,2.06,0,1.89,1.63,1.43,
每股经营活动产生的现金流量净额(元),--,--,--,--,-1.02,--,-0.39,--,0.09,--,0.12,--,0.2,0.22,-0.12,0.52,0.03,-0.1,0.05,-0.03,-0,-0.02,-0.14,-0.46,-0.48,-0.66,-0.24,-0.17,0.16,-0.37,-0.34,-0.07,0.17,-0.07,-0.15,0.36,0,--,0,0.23,0,0,0,0.24,0,0,0,0.46,0,0.64,0,0.45,
主营业务收入(万元),444788,225759,84094,304042,251551,159500,56243,453278,286891,121886,46964,192071,117338,71875,49171,185050,166012,108063,53432,147596,102591,55062,27525,91187,60365,31948,15372,106900,84115,46005,21462,106859,59734,34535,13477,71174,44919,30735,12073,54770,36107,21680,9471,49058,34049,22743,9982,42004,9222,30645,25509,0,
主营业务利润(万元),15789,7935,1109,7699,5239,3427,1491,5441,3985,2227,964,4304,3142,2310,1109,5701,4823,3561,1927,6097,4872,3443,1727,7079,5404,3127,936,2343,3583,2057,79,3587,2249,1306,--,2535,1729,1562,737,2757,2027,1417,627,3404,2355,1729,799,4377,739,6472,5450,0,
营业利润(万元),-12766,1097,-1002,10272,3637,3281,1355,1230,816,-1667,-87,-4658,-3588,-428,1455,-200,1041,2384,2754,6114,6178,2880,3657,6745,5981,4754,3216,-3518,2277,3249,2573,24170,5093,4105,1409,-4189,-3523,-1516,-716,-2319,-1076,-1312,-991,969,302,119,-147,1381,296,2379,2731,0,
投资收益(万元),8921,9492,3350,21428,10923,8132,3981,12308,8339,4505,3600,4913,3611,3475,3403,6376,5787,5018,3596,10296,8596,5043,4058,11104,6850,5532,3521,3800,4491,4256,4291,30556,8173,6594,3634,7883,7022,3068,592,2471,2308,1961,1654,820,691,579,465,439,97,98,87,0,
营业外收支净额(万元),1534,1531,-273,909,772,581,202,5185,5203,5011,5048,7964,7166,7096,-55,233,-264,-158,-80,19,-49,-9,-83,20497,20509,20592,18481,-323,--,--,--,--,--,--,--,-176,0,--,0,-71,0,0,0,-52,0,0,0,-91,0,0,0,0,
利润总额(万元),-11231,2628,-1275,11181,4409,3861,1557,6415,6019,3343,4962,3305,3579,6669,1400,32,777,2226,2673,6133,6128,2871,3575,27243,26490,25347,21697,-3841,2049,3122,2377,23646,4847,4057,1381,4514,4402,2510,597,2592,2181,1399,652,3387,2199,1516,712,3678,349,4376,3611,0,
净利润(万元),-4025,4099,169,11123,4925,4153,1527,6294,5166,3125,4086,540,871,2694,1142,879,1138,2016,2252,5976,5791,2336,2804,22217,20052,18998,15861,-3600,1657,2421,1829,15992,3896,3219,685,4074,3793,1999,519,2249,1971,1300,623,3001,2072,1491,701,3595,396,3676,2719,0,
净利润(扣除非经常性损益后)(万元),-8920,-748,259,-859,-946,1173,1198,-5013,1067,-608,--,-4324,--,1,--,897,--,2329,--,5129,--,3130,--,3896,--,1636,0,-1969,0,2462,0,1719,0,3215,--,155,0,-1479,0,-1747,0,1297,0,809,0,1472,0,0,0,0,0,0,
经营活动产生的现金流量净额(万元),30144,-1920,-12853,-12335,-39506,-39402,-15001,-19066,3517,2293,4494,8725,7528,8547,-4580,20250,1046,-4020,2021,-1061,-91,-640,-4043,-13692,-14275,-19668,-7098,-5181,4674,-11075,-10042,-2026,4984,-2116,-2983,7107,7402,16146,6672,4517,4113,3204,849,4730,2889,2761,-1568,6365,0,8854,0,0,
