报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.13,0.07,0.06,0.29,0.18,0.09,0.09,--,0.25,0.16,0.07,0.32,0.22,0.12,0.11,0.51,0.4,0.23,0.18,0.88,0.65,0.66,0.41,0.14,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.86,3.76,7.48,7.37,7.26,7.09,10.56,2.42,2.2,1.55,0.89,0.48,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.31,-0.12,0.03,0.48,0.37,0.5,0.22,0.35,0.26,0.33,0.42,0.37,
主营业务收入(万元),127863,83544,36075,120389,67510,29684,13736,50472,40271,24965,12358,45099,25931,15604,6919,26409,19788,13455,6603,22516,15775,19070,14232,11749,
主营业务利润(万元),31957,18694,7818,29472,14986,5982,2521,11672,7766,4858,2374,10497,6143,3662,1462,6670,4720,3348,1961,7027,5166,5800,3674,1992,
营业利润(万元),14457,8028,3681,14752,8757,4301,1989,8234,5890,3631,1736,7401,5273,2922,1300,4856,3601,2474,1251,4891,3762,3771,2420,921,
投资收益(万元),345,-25,-34,422,428,362,161,375,36,22,10,53,44,25,12,83,35,4,1,40,39,-19,31,32,
营业外收支净额(万元),606,451,13,276,158,63,61,-13,44,51,50,1,6,12,7,994,991,125,14,209,36,69,-0,1,
利润总额(万元),15063,8479,3694,15029,8916,4364,2051,8221,5934,3682,1785,7402,5279,2933,1307,5851,4592,2599,1265,5100,3799,3840,2420,922,
净利润(万元),13286,7536,3154,13028,7562,3724,1750,7070,4930,3184,1496,6383,4466,2503,1101,5029,3907,2215,1075,4379,3260,3296,2073,682,
净利润(扣除非经常性损益后)(万元),12772,7154,3143,12794,7136,3383,1698,--,--,3141,1453,6382,--,2493,--,4184,--,2109,--,4201,3229,3223,2117,593,
经营活动产生的现金流量净额(万元),-7997,-12619,-1956,-23920,-10894,-5814,-1395,5348,4836,3051,-616,-4855,-6124,-2315,259,4794,3689,5037,1470,1755,1321,1664,2077,1874,
现金及现金等价物净增加额(万元),-1177,-1503,-3400,-20011,-15111,-17272,-14178,-7788,-17333,-2445,-2107,-19470,-17663,-12233,-1582,52339,53509,57244,55806,92,-147,1047,-482,1047,
总资产(万元),360165,326922,294770,303026,280871,102407,101063,101520,98948,93738,92574,93141,86374,81193,81558,81376,82306,80731,77944,19045,18413,14838,11326,7798,
流动资产(万元),236812,218003,193601,200608,182345,67297,66157,69293,72161,68553,69111,69996,67678,66632,70984,72628,76024,74515,72944,14570,14381,11457,8659,6743,
总负债(万元),181207,153633,123160,134503,118478,15814,14440,16647,16215,12751,11873,13935,9084,5867,6632,7552,9603,9720,7405,6922,7409,7094,6878,5423,
流动负债(万元),180314,152533,121977,132751,109635,15814,14440,16647,16215,12751,11873,13935,9084,5867,6632,7552,9603,9720,7405,6922,7409,7094,6878,5423,
股东权益不含少数股东权益(万元),177725,171975,170188,167034,161528,86593,86623,84873,82733,80987,80701,79206,77289,75326,74926,73825,72703,71011,70539,12123,11004,7744,4448,2375,
净资产收益率加权(%),7.65,4.41,1.87,10.89,7.92,4.33,2.04,--,--,3.95,1.87,8.35,5.91,3.34,1.48,7.53,6.03,3.64,2.11,44.08,34.77,54.06,60.77,32.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
