报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.31,0.24,0.14,0.48,0.39,0.25,0.15,0.57,0.54,0.51,
每股净资产(元),--,--,2.09,2.66,--,--,--,2.38,2.23,1.93,
每股经营活动产生的现金流量净额(元),--,--,0.18,0.52,--,--,0.11,0.7,0.58,0.71,
主营业务收入(万元),23645,15068,7123,28527,23098,15770,7835,31879,31084,26013,
主营业务利润(万元),18214,11629,5621,22253,18165,12632,6278,24635,24046,19741,
营业利润(万元),8471,5965,3252,10473,9187,6187,3693,13219,12684,11673,
投资收益(万元),--,--,--,--,--,--,--,--,--,363,
营业外收支净额(万元),-197,25,-3,1228,752,31,0,715,503,956,
利润总额(万元),8274,5990,3249,11701,9939,6217,3693,13934,13186,12629,
净利润(万元),7385,5272,2901,10122,8269,5288,3164,11879,11255,10727,
净利润(扣除非经常性损益后)(万元),7545,5247,2904,8960,7572,5262,3164,11237,10808,9661,
经营活动产生的现金流量净额(万元),12819,7743,3819,11022,5540,4850,2391,14763,12248,14961,
现金及现金等价物净增加额(万元),35937,31419,-3420,-735,-1894,-1223,1296,3763,3392,11222,
总资产(万元),113474,100157,65879,65448,--,--,--,60084,56066,50403,
流动资产(万元),73186,66953,32988,35253,--,--,--,35441,30988,24496,
总负债(万元),19189,11066,20878,9598,--,--,--,10017,9278,9829,
流动负债(万元),6077,3986,14279,4712,--,--,--,6315,6380,7715,
股东权益不含少数股东权益(万元),90258,88136,43971,54720,--,--,--,48798,46789,40574,
净资产收益率加权(%),14.98,10.43,--,19.96,16.49,10.72,--,26.21,26.27,29.42,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
