报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,2000-03-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0,0,0.01,0.09,0,0.02,-0.02,0.28,0.04,0.03,0,0.01,0.01,0.01,0,0.02,0.01,0.01,0,0.03,0.02,0.02,0,0.31,0.22,0.1,0,0.25,0.06,0.04,0.01,0.35,0.16,-0.02,-0.01,--,--,--,--,--,--,--,-0.01,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.18,2.18,2.17,2.17,2.29,2.28,2.28,2.27,2.26,2.26,2.25,2.24,2.15,2.03,1.94,1.88,1.69,1.66,1.64,1.62,1.39,1.35,1.36,1.33,1.48,1.4,1.43,1.45,1.65,1.67,1.71,1.71,1.71,1.7,1.68,1.68,1.94,1.94,1.92,1.93,2.04,2.05,2.06,2.06,2.1,3.7,1.21,0,0.33,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.09,0.08,0,0.27,-0.04,-0.01,0,-0.39,-0.35,-0.31,-0.13,-0.25,0.18,-0.08,-0.02,0.15,0.07,0.03,-0.02,0.08,-0.01,-0.01,-0,0.49,0,0,0,-0.09,0,0,--,-0.21,0,0,0,0.52,0,0,0,-0.11,0,-0.16,0,-0.15,-0.07,-0.1,-0.47,0,0.35,--,--,
主营业务收入(万元),66143,42164,18078,15767,8475,7954,1301,72926,2260,2230,2098,8490,5596,4432,2266,10511,3474,2332,1109,7892,3664,3465,737,36247,26014,12625,981,49329,12087,5066,2305,25034,4141,3661,2504,22428,16807,11397,7560,40538,27252,15727,7685,49682,36383,26303,12219,14425,4713,3342,541,3579,16064,9451,5071,14387,9246,29286,14709,8964,29497,29922,24668,
主营业务利润(万元),13871,8588,3824,2098,1884,1597,533,16626,642,614,512,2670,2359,1938,749,3166,2102,1230,607,3459,1055,1463,436,14032,10161,4585,306,12536,3492,2223,996,7617,415,472,192,-66,-179,-114,-138,1241,918,355,510,3348,2461,1930,980,2145,379,178,-157,380,240,94,127,1309,2191,6169,2712,1765,5306,4480,4063,
营业利润(万元),1156,422,458,2794,338,924,-509,12626,1374,1198,149,652,733,699,204,1312,664,381,201,1597,957,755,174,12705,9515,4179,129,11452,2797,1638,623,5344,-1798,-978,-436,1864,1532,-1354,-671,-2105,-1166,-756,86,1787,1303,891,196,-8416,641,402,-400,-3290,-710,-503,0,-372,1078,4646,1774,1248,4404,3949,3261,
投资收益(万元),--,--,--,6492,1260,1297,-42,1282,1790,1303,-34,-97,-61,-41,-26,--,--,--,--,--,0,--,--,-2,-1,-0,--,-0,-0,-0,--,0,2,0,0,-5966,-724,-447,-170,-6895,-976,-700,-277,-872,-688,-413,-173,-403,-358,-179,0,135,135,135,0,745,745,45,0,0,0,0,0,
营业外收支净额(万元),65,63,52,364,-24,17,14,-273,9,-1,-11,75,34,0,-6,23,1,8,6,-80,-19,-12,-12,575,20,26,2,--,--,--,--,9550,--,0,--,-95,0,0,-1,-486,0,0,-0,288,0,0,0,-317,0,0,0,0,1,-0,0,-137,-0,354,0,0,--,--,--,
利润总额(万元),1222,485,510,3159,314,940,-495,12352,1383,1197,138,726,767,699,198,1335,665,389,207,1518,938,743,161,13280,9535,4205,131,11572,2911,1742,625,14894,4964,-975,-433,-4198,807,-1802,-843,-9470,-2199,-1454,-190,1225,950,822,25,-9136,283,223,-400,-5677,-556,-362,-54,266,1823,5045,1759,1233,4404,3949,3261,
净利润(万元),92,113,366,2982,80,690,-514,9190,1266,1080,69,233,247,283,57,788,366,209,124,998,627,493,107,10029,7068,3096,84,8201,2033,1213,423,11334,5109,-753,-340,-4014,972,-1657,-771,-9389,-2151,-1447,-199,1038,866,777,6,-9283,191,152,-425,-5499,-647,-416,-92,180,1578,3981,936,685,3620,3217,2621,
净利润(扣除非经常性损益后)(万元),43,66,327,2690,98,-305,-525,9347,1259,1081,77,181,--,282,--,986,--,203,--,1073,--,502,--,9433,--,3076,0,8091,0,1115,--,3004,0,-778,--,-9434,0,-1809,0,-8850,0,-1358,--,227,0,235,0,84,0,331,0,-5499,-801,-557,0,-458,833,3582,936,0,--,--,--,
经营活动产生的现金流量净额(万元),28663,23673,7754,-12369,6790,-605,-4026,-79893,-58866,-23983,-24435,-52,-2916,2647,17,8678,-1343,-200,143,-12648,-11185,-10102,-4096,-8217,5875,-2581,-648,4730,2261,828,-652,2667,-414,-241,-60,15721,13427,8326,115,-2872,-1240,-801,4264,-6904,-990,-2693,-1730,16717,6843,7806,5559,-3693,0,-5286,0,-4797,-2305,-1773,-5162,0,8579,--,--,
现金及现金等价物净增加额(万元),4560,-1868,14929,-10034,-9816,-10474,-9298,9668,22296,20868,10,1045,198,520,47,35,1406,4,-75,-11362,-11327,-10204,-4194,-14360,5866,-2574,-656,4635,2171,754,-718,14519,11738,-301,-94,5520,4512,594,-204,-2892,-1507,-1006,4322,-6779,-803,-2813,-1736,-13621,-1373,1017,-1079,3909,0,3997,0,18485,4146,10778,-1726,0,3813,--,--,
总资产(万元),431490,387027,382047,252772,273515,268474,271514,271615,280615,231041,196022,165547,160330,151388,148765,149004,108695,103822,103292,103142,103997,103177,110112,111400,116106,114445,120498,121887,122962,119000,109966,108803,93343,52701,52873,52773,60362,56754,59106,58970,64102,63658,64121,62760,68032,75162,68346,60852,66568,67644,64959,65757,69988,69235,69391,69814,73579,76680,39221,36197,33380,30615,26745,
流动资产(万元),328215,306332,307951,241060,242862,237637,240292,240382,248487,199170,165317,134721,130020,121044,118416,118598,101871,97426,97662,97726,102622,101890,108784,110133,114669,112989,118737,120174,121462,117502,108942,107938,93198,28041,28106,29627,32103,28163,30056,30235,28882,27993,27518,25725,30210,36607,39401,31600,53737,54634,--,0,0,--,51770,0,56572,60039,0,19368,--,13202,13161,
总负债(万元),267603,223145,212449,170137,191282,185632,192375,191962,208886,159498,125489,95084,89853,80876,78478,78774,34649,29932,29487,29461,30687,30001,37323,38717,46384,48695,57760,58513,66017,62909,54704,53983,46235,7021,6760,7988,10660,9661,11053,10771,8705,7516,6714,5162,10642,17884,11990,4521,2096,3233,1239,1637,1982,1022,--,1227,4204,8920,24821,22050,19995,19063,18864,
流动负债(万元),131577,155881,145186,157873,159019,123369,70381,67769,91693,80814,68825,75621,67589,63612,61094,61512,10742,9182,9535,10208,18424,17737,25057,26451,34307,36598,45640,46390,53799,50666,42471,41716,46235,6964,6719,7974,10660,9661,11053,10771,8705,7516,6714,5162,10642,17884,11990,4521,2096,3233,--,0,0,--,746,0,3337,8031,0,21785,--,8357,9971,
股东权益不含少数股东权益(万元),163763,163784,169262,82635,79733,80343,79139,79653,71729,71543,70533,70463,70477,70512,70287,70230,74046,73890,73805,73681,73310,73176,72790,72683,69722,65750,62738,60829,54661,53841,53051,52628,45163,43806,44219,43088,48074,45445,46331,47102,53359,54063,55311,55510,55290,55201,54454,54448,62734,62695,62143,62542,66172,66402,66726,66818,68184,66607,13357,13105,12420,11000,7462,
净资产收益率加权(%),0.06,0.07,0.22,3.68,0.1,0.83,-0.65,12.24,1.78,1.52,0.1,0.33,0.35,0.4,0.08,0.99,0.5,0.28,0.17,1.36,0.86,0.68,0.15,14.66,--,4.96,0,14.46,0,2.28,--,24.15,0,-1.7,--,-8.9,0,-3.58,0,-18.3,0,-2.64,--,1.89,0,1.41,0,-15.74,0,0.24,0,-8.79,0,-0.63,0,0.27,2.7,11.03,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
