报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,
基本每股收益(元),1.15,0.89,0.32,2.07,1.54,1.1,0.47,1.77,1.02,0.58,0.18,1.19,0.74,0.55,0.24,2.19,1.71,1.13,0.63,1.75,0.89,0.51,0.45,2.01,1.27,0.73,0.23,1.55,1.22,0.82,0.29,1.7,1.04,0.64,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,12.5,--,--,--,10.59,--,9.4,9.36,9.23,8.72,8.59,8.7,8.46,7.98,7.61,10.74,9.91,8.95,8.37,16.68,16.28,15.33,14.79,14.57,14.04,13.53,13.31,7.32,7.07,6.38,6.8,5.82,5.62,5.14,4.87,4.67,4.55,4.4,4.31,4.37,4.35,4.29,4.18,4,3.65,3.07,2.91,2.79,2.72,2.7,2.64,2.59,2.25,0,2.07,1.98,
每股经营活动产生的现金流量净额(元),--,--,--,3.33,--,--,--,2.87,--,--,0.48,2.17,1.6,1.27,0.31,1.98,1.47,0.98,0.49,1.7,0.68,0.09,0.01,3.98,3.67,2.49,1.16,2.98,0.84,0.59,0.22,1.7,1.31,0.54,0.17,2.33,0,0,0,1.21,--,0,--,1.14,0,0,0,1.98,0,0,0,0.77,0,0.24,0,0.74,0.58,0.48,0.26,
主营业务收入(万元),3796887,2422332,1122934,6075850,4367454,2878448,1262963,5526168,3700802,2358709,990580,4576620,3224689,2055915,885950,4865381,3497481,2232726,931452,3450828,2235835,1386827,607005,2499801,1766793,1123606,514516,2422827,1667537,1019759,461499,1877610,1297166,835505,356525,1524628,1067089,674024,288764,1082621,721092,453306,189526,838495,587601,381591,187179,569503,355693,213128,88224,299978,199316,124749,56115,205835,90625,123774,107483,
主营业务利润(万元),973789,656572,324090,2015418,1452915,1016422,443990,1794681,1092465,654427,243180,1246378,806291,543034,232505,1912964,1434299,935963,365995,1090888,588337,344057,143820,699865,460494,279690,111222,588818,435129,280701,113844,571631,377544,244348,--,440692,287477,180840,77846,244613,148423,86279,31381,275205,227629,180331,97356,234828,130581,77343,31426,101926,66334,42585,19938,73708,33134,45806,37335,
营业利润(万元),705203,545731,184731,1382348,1028094,736551,314601,1174268,661191,363523,111248,701580,434284,311080,129812,1496029,1165109,766925,283289,761588,370901,205736,82289,426015,265179,150485,49711,298714,223527,141574,43491,317058,197969,122757,34699,223751,132012,80438,30043,80992,38490,17473,1897,175725,160219,139130,78241,155830,80374,44802,16460,51426,33067,20591,9510,28990,12697,9909,2568,
投资收益(万元),191311,188515,7245,-2141,-1008,-2561,1113,-264,-603,-1947,-734,411,-2547,-735,-290,12874,12426,8773,514,2725,1213,258,24,1594,2050,652,585,5688,2410,1893,37,424,241,116,-44,471,356,490,-280,758,-2191,-1616,-463,515,1070,838,358,343,18,-13,-12,-134,279,160,-55,47,-297,1716,929,
营业外收支净额(万元),105466,78464,30475,105933,78524,47970,18312,88859,68095,42559,17089,107201,68333,52775,34819,69190,52493,38058,17835,46245,38280,28536,18717,21639,14235,9675,3084,25861,19432,14053,--,31440,24751,16939,--,-739,0,0,0,-5431,-28,0,-54,51,0,0,0,-628,0,-541,7,-1227,-86,-146,0,31,0,-152,8,
利润总额(万元),810668,624195,215206,1488281,1106618,784521,332912,1263127,729286,406082,128337,808782,502617,363855,164630,1565219,1217602,804983,301125,807833,409181,234272,101006,447654,279414,160160,52795,324575,242960,155627,48333,348499,222720,139695,39610,249831,152582,93501,32590,86137,46849,22226,2127,194173,176636,149588,81607,164917,84326,47365,18144,54373,34795,21773,9698,31487,13154,13190,4879,
净利润(万元),610272,470534,171352,1099302,817285,582129,247350,938016,538406,305990,97200,630759,393506,291734,124902,1158983,905521,599405,221608,617140,315926,179668,79232,354437,223505,129712,40894,260701,201774,131346,44960,249422,150270,88112,21259,142793,82646,49270,15535,40689,22687,10767,2166,100883,92355,79192,44320,73957,41398,22181,8163,26376,17380,10156,5018,20273,9112,11377,5859,
净利润(扣除非经常性损益后)(万元),412548,281512,151014,1038722,774231,555323,237157,895246,503016,278023,--,565133,--,260449,--,1105957,--,574033,--,590235,--,161419,--,341366,--,122713,0,242500,0,121923,0,228578,0,76283,--,132542,0,40913,0,38502,--,8974,--,97988,0,79039,0,70773,0,22543,0,27155,17373,10190,0,20246,9144,--,--,
经营活动产生的现金流量净额(万元),633805,418654,85138,1765449,1312961,815399,301918,1519855,1011772,635489,256233,1150864,845758,673274,163229,1049181,780493,517503,174854,601031,241674,33296,1858,702935,648969,440042,204531,526637,147653,104793,34924,266881,187910,73816,21407,292695,147708,82094,23006,152352,73369,54305,-18906,142962,93902,87779,45819,249025,157040,89730,19546,90814,0,28962,0,73598,56954,47221,25369,
现金及现金等价物净增加额(万元),-657968,-701809,-452913,599319,421588,41497,-30833,-159204,-113245,68972,117441,36379,-114543,-204804,-104703,505804,381911,515316,33367,-88373,-66050,-88931,67544,-317833,-323064,-176211,-72081,533950,402849,631442,58916,7647,-14080,-49947,-1269,-4078,-7199,-18537,1221,-44844,-84089,-80439,-45761,-62178,-78364,-51159,-21538,144916,5286,-9616,-3553,19101,0,39908,0,25829,27849,5384,4674,
总资产(万元),10341483,10517972,10402196,10225310,9798931,9590474,9448341,9309448,8830517,8581995,8679708,8752352,8459069,8189320,8184203,8400342,7948909,7749072,6361833,6041185,5572685,5238870,5045974,4714850,4268457,4219955,4158441,4253212,4086670,4178867,3271578,3104061,2769444,2566065,2349815,2230553,2139754,2032619,1978964,1924203,1816518,1752976,1633574,1606717,1513464,1475331,1359667,1333337,1126676,1041999,965164,889962,768234,738222,690897,606802,0,444000,433028,
流动资产(万元),2513762,2597589,2459092,2509706,2419442,2282734,2352363,2462440,2200516,2114533,2249260,2312906,2107994,1879748,2233967,2584994,2659412,2544414,1435769,1322843,1182493,1098499,1102662,1009694,838474,992142,1123068,1353314,1305834,1559115,777832,698686,507165,448304,421314,383031,401015,372355,365010,342261,310967,290652,337448,358917,314959,315972,323465,319560,164861,159449,153842,142325,0,0,166875,0,0,78171,76887,
总负债(万元),3170815,3379772,3131334,3264186,3199753,3248110,3291252,3432930,3376444,3366459,3486951,3634743,3618495,3425361,3369427,3716170,3551293,3560719,2498767,2478003,2344532,2222904,2042889,1784562,1511375,1561152,1541549,1726392,1628875,1777651,2077409,1949285,1729126,1592068,1463775,1376602,1352906,1293067,1289040,1238780,1154303,1107655,987449,942871,859134,822991,749976,762953,670519,607614,550554,487285,--,342943,300367,303778,0,200840,205658,
流动负债(万元),2128269,2286733,1301224,1439701,1361402,1311262,1301790,1454533,1384545,1424147,1457853,1452133,1936437,1763705,1721184,1699133,1497292,1465388,1318725,1307703,1270248,1174171,1054186,1207331,920626,977734,924823,1117423,999664,994204,1140619,960043,751376,710108,633875,655953,605311,624512,672151,739702,798357,750314,641334,611397,543106,483835,456811,495465,443909,405831,396964,354888,0,0,202062,0,0,119612,126949,
股东权益不含少数股东权益(万元),6841421,6778147,6916751,6621661,6258296,6000905,5869148,5611803,5197663,4982584,4961154,4890121,4623024,4552163,4608443,4483951,4231229,4033798,3796055,3500328,3163120,2955616,2945618,2875964,2708380,2612844,2573325,2479666,2390476,2351120,1146692,1107961,999346,935121,730585,705171,645010,611620,586678,571143,553127,541206,548894,546728,538174,525011,502692,458373,363695,344478,330229,322067,319081,311858,306720,221052,0,203168,194742,
净资产收益率加权(%),9.05,6.9,2.51,18.47,13.83,9.92,4.31,18.05,10.68,6.14,1.97,13.5,8.62,6.38,2.75,29.1,23.39,15.77,6.07,19.39,10.45,6.09,2.72,13.17,--,5.1,0,13.81,0,9.07,0,26.39,0,10.72,--,0,0,8.33,0,7,--,2,--,20,0,16.11,0,20,0,6.65,0,8.56,0,3.46,0,9.5,4.39,5.68,3.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
