报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.03,0.05,0.04,0.27,0.2,0.13,0.05,0.21,0.17,0.07,0.02,0.02,-0.01,0.02,0.02,0.29,0.22,0.2,0.11,0.15,0.16,0.11,0.05,-0.27,-0.18,-0.15,-0.04,0.08,0.06,0.04,0.01,0.06,0.06,0.04,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.19,--,2.14,2.17,2.24,2.21,2.14,2.11,2.03,1.92,1.93,1.88,1.82,1.77,1.88,1.91,2.01,2.05,2.02,2.02,2.03,2.02,2.02,2.05,2.02,2.01,1.99,1.99,1.99,1.98,1.97,1.98,2.01,2,1.98,1.95,2,1.96,1.94,1.89,1.85,1.82,1.88,1.84,1.8,1.82,1.81,1.82,1.44,1.52,2.61,2.5,2.42,2.49,1.24,1.11,0.96,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.13,--,-0.01,0.06,-0.14,-0.04,-0.21,-0.26,-0.17,0.23,0.11,-0.01,0.04,0.28,0.19,-0.08,-0.08,-0,-0.12,-0.09,-0.08,0.14,0.07,0.03,-0.02,0.14,0,0,0,-0.15,0,0,0,0.03,0,0,0,0.07,0,0,0,0.1,0,0.04,--,0.26,--,-0.01,0.18,0.03,-0.04,--,-0.05,--,--,--,--,
主营业务收入(万元),36016,26144,12737,66868,49115,34914,16784,66749,47959,33102,13560,60271,44241,32215,16933,75095,58033,46060,26111,71771,57149,39243,18137,40028,27834,16056,5745,52060,39532,30319,8179,48402,26741,17484,7114,43493,25771,18304,6417,36278,19673,14197,5895,30200,21557,15254,6136,25600,17488,11328,4946,21397,16038,10625,4039,16013,10783,7551,15399,7887,16090,7125,11892,5380,10919,11673,9746,
主营业务利润(万元),9499,7369,3788,20816,15147,44878,5161,18978,12941,8695,3200,13560,9579,7247,3856,20850,16547,12929,7298,20584,15889,10888,4903,7588,4298,1664,625,8292,6908,4941,1979,7928,5697,4106,--,6999,4314,2885,1159,5740,3934,2594,1288,6925,5151,3524,1602,7166,5133,3312,1397,6421,4577,2874,1184,4013,2746,2013,4226,2573,5756,2268,3013,1069,1150,1504,2071,
营业利润(万元),1052,1272,842,5871,4278,3018,1447,4358,3629,1909,413,1756,1083,1119,860,6100,4808,4244,2523,4071,3805,2563,1061,-4473,-2830,-2089,-584,1392,1295,854,260,1369,1207,853,234,1227,850,623,227,583,296,149,23,2240,1694,1121,626,2715,2137,1170,500,1825,1515,846,260,938,--,418,1326,1118,4797,711,1704,200,1343,1690,2290,
投资收益(万元),--,--,--,--,--,--,--,14,--,--,--,--,--,0,--,10,--,--,--,--,--,0,--,-1,--,0,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,0,0,--,0,60,32,71,0,0,0,--,0,0,
营业外收支净额(万元),72,128,116,508,225,114,48,906,394,142,82,103,-142,-47,-32,134,-66,-6,10,67,80,51,72,448,419,3,1,136,--,48,--,--,--,-30,--,-136,0,0,0,-275,0,0,0,-60,0,0,0,-25,0,0,-18,-44,-33,-18,0,-14,-12,-9,-36,0,7,0,0,0,26,0,0,
利润总额(万元),1124,1400,959,6379,4503,3132,1496,5264,4023,2052,495,1859,942,1072,828,6234,4743,4237,2533,4138,3885,2563,1133,-4025,-2411,-2086,-583,1529,1317,903,262,1395,1182,823,233,1095,822,570,227,308,67,148,22,2180,1657,1083,583,2691,2092,1148,482,1847,1549,895,242,924,--,409,1360,1127,4876,694,2202,643,1370,2141,2272,
净利润(万元),359,774,525,3851,2773,1883,753,2946,2444,1043,212,336,-196,215,346,4162,3067,2758,1605,2112,2302,1596,684,-3861,-2522,-2128,-576,1111,843,564,162,835,851,588,159,813,635,437,161,215,36,140,41,1642,1349,873,493,1995,1707,938,374,1380,1323,762,218,830,328,348,1150,943,4125,589,1866,543,1164,1980,2272,
