报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.64,0.42,0.2,0.67,0.49,0.33,0.16,0.66,0,-0.13,0,-0.25,0.03,0.01,0.01,0.06,0.06,0.02,0.01,0.06,0.06,0.03,0.01,0.07,0.06,0.03,0,0.08,0.05,0.05,0,0.1,0.08,0.06,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.55,--,3.54,--,3.83,3.81,3.81,3.8,3.81,3.77,3.76,3.76,3.75,3.72,4.82,4.81,4.8,4.77,4.76,4.75,4.73,4.72,4.69,4.68,4.66,4.64,4.6,4.56,4.56,4.55,4.51,4.51,4.5,4.48,4.45,4.45,4.45,4.43,4.39,4.38,4.41,4.39,4.34,4.31,4.36,4.31,4.28,4.23,2.28,2.11,1.89,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.32,--,0.01,--,0.1,0.04,0.01,0,0.09,0.02,0.08,0.37,0.45,0.21,0.25,0.05,0.01,0.04,0,0.22,0.08,0.03,-0.02,0.35,0,0.03,0.01,0.04,0,--,0,0.6,0,0,0,-0.36,0,0,0,0.02,0,0,0,0.21,0,0.03,--,0.07,0.12,0.36,0.18,--,
主营业务收入(万元),281646,187272,90446,298641,221774,146745,71296,244758,14043,10391,6619,16002,18000,12221,6508,24047,19003,12111,4994,23714,16307,10689,4325,22202,14884,9375,3958,21299,14629,9531,3831,21855,14881,9753,3632,20072,13477,9043,3677,17616,12852,9025,3506,14614,10801,7171,3181,11343,8716,5475,2338,10729,8394,5056,2390,11396,6429,9782,8194,6507,
主营业务利润(万元),232290,155174,75136,246579,182490,120363,58264,203587,2300,2277,1946,3557,4580,3536,1999,7194,5988,3787,1597,6591,4900,3376,1374,6244,4558,3051,1213,5681,4022,2711,1140,5586,3827,2579,--,6129,4368,3167,1280,4852,3632,2708,1043,4146,2995,2113,868,2692,2667,1805,749,3044,2709,1637,838,3153,1858,2909,2926,2089,
营业利润(万元),54133,35828,16014,56448,40201,26621,12420,41459,-3462,-1862,25,-3696,287,238,110,478,970,396,97,738,733,450,70,643,698,400,61,875,530,410,39,1047,1178,920,78,1364,1153,949,104,1128,980,837,96,1034,1017,753,118,1123,1545,1175,509,1818,1845,1114,611,2088,1104,1994,1965,1210,
投资收益(万元),1035,833,353,1032,675,206,6,207,--,--,--,0,--,--,--,-6,--,--,--,-7,--,--,--,30,--,--,--,52,--,--,--,235,88,85,13,12,5,0,0,1,0,0,0,-21,-27,-28,0,-67,1,0,0,94,41,41,0,0,0,0,0,--,
营业外收支净额(万元),4183,2563,2464,4017,3898,2746,2202,5028,3507,78,-2,185,263,-8,0,350,10,3,0,135,159,0,--,137,-4,-2,-3,31,--,--,--,--,--,--,--,10,0,--,0,-0,0,0,0,14,10,0,0,-31,43,33,-24,-17,-15,-13,0,-10,-5,0,0,16,
利润总额(万元),58316,38391,18478,60465,44099,29367,14622,46487,45,-1784,23,-3511,550,230,110,828,980,400,97,873,891,450,70,780,694,399,58,906,490,369,51,1682,1167,917,77,1396,1155,944,96,1129,985,845,96,1027,1001,739,134,1025,1603,1223,484,2075,2050,1322,791,2079,1099,2183,2003,1256,
净利润(万元),49900,33120,15963,51939,37871,25513,12561,40272,46,-1783,19,-3465,458,193,90,792,823,337,80,846,753,381,58,771,586,337,47,838,578,488,38,1088,804,636,51,894,773,632,64,843,778,564,59,743,776,493,88,740,1070,818,324,1389,1373,886,530,1770,1103,1455,1702,1063,
