报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.32,0.2,0.04,0.37,0.22,0.1,0.04,0.46,0.31,0.17,0.05,0.41,0.28,0.18,0.07,0.41,0.3,0.2,0.11,0.6,0.43,0.25,0.16,1.03,0.74,0.45,0.54,0.7,0.68,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.57,3.49,3.71,3.64,3.52,3.43,5.43,5.3,5.11,4.94,7.92,7.79,3.31,3.05,3,2.75,2.23,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0,-0.14,-0.35,-0.16,-0.62,-0.67,-0.71,-0.96,-0.94,-0.5,-1.15,0.85,1.45,1.43,0.53,0.45,0.19,
主营业务收入(万元),266340,169252,70406,335354,230284,146849,68975,335991,245374,157059,73033,378600,270140,169932,76531,348839,254480,150770,60464,233697,154922,95865,41497,153860,104622,65574,218656,202542,132740,
主营业务利润(万元),33714,21517,8248,40686,29140,17856,7074,40137,29017,17807,7270,43513,31648,20189,9288,38384,26981,17209,7708,29576,19766,12211,5497,27216,19381,12281,22966,22270,17686,
营业利润(万元),12828,7372,1352,14462,11857,6847,1590,14396,11061,6209,2070,15137,11220,7423,3222,14076,10267,7047,3120,14869,10105,5906,2394,13091,9964,6066,7304,11341,11111,
投资收益(万元),339,286,100,148,187,31,16,118,120,-30,-10,14,2,-19,3,-370,-358,54,-24,151,334,181,38,125,49,83,-21,575,2200,
营业外收支净额(万元),7157,5123,1057,9243,2223,-194,116,4931,2265,1143,195,3110,1570,1062,2,1192,1167,769,29,322,14,73,103,-7,-21,23,-62,--,-78,
利润总额(万元),19985,12495,2409,23705,14080,6653,1706,19328,13325,7352,2265,18247,12789,8486,3224,15269,11434,7815,3149,15191,10119,5979,2497,13085,9944,6089,7242,11199,11033,
净利润(万元),14372,9033,1635,16648,9849,4538,1266,13863,9217,4977,1614,12502,8311,5513,2257,12477,9090,6064,2283,11972,8566,5067,2078,10874,7417,4518,5418,7021,6785,
净利润(扣除非经常性损益后)(万元),8927,5145,850,9966,8288,4689,1178,10478,7621,4211,1504,10808,--,4967,--,12294,--,5702,--,11745,--,5004,--,10733,7419,4510,5465,6712,6817,
经营活动产生的现金流量净额(万元),-11189,-4627,2749,46756,5880,6075,6427,36656,-577,4527,-9672,25608,-99,-4365,-10483,-4864,-18656,-20186,-14319,-19338,-18970,-9981,-15421,11452,14465,14348,5292,4493,1942,
现金及现金等价物净增加额(万元),-3675,9864,1518,-1383,-1641,1831,-4463,-3774,-8998,-12702,-5850,-6379,-19401,-13128,-18280,-5823,-8813,-12646,-15269,-9395,-22215,-12451,-10197,44071,6461,18827,-1032,397,710,
总资产(万元),328173,329877,290425,277792,282347,267578,251734,260578,280201,255756,258380,257967,277438,273258,253304,254178,246535,229985,207394,196478,171939,162414,158787,149740,108138,110630,82770,83831,63333,
流动资产(万元),181268,184449,144137,139839,162036,148986,133686,145226,161969,145784,148687,149358,173131,176972,160737,163702,169117,156292,135818,129796,116798,110693,112867,104685,69515,75012,55020,59160,48860,
总负债(万元),200075,193913,161424,150942,164349,155271,130398,140394,164746,145159,139128,140483,165334,164124,137473,140588,136228,122613,94474,86626,69164,63149,52661,45393,75026,80158,52772,56336,40967,
流动负债(万元),186622,179934,142175,136045,159438,153438,129330,139268,163639,144021,137960,139244,164331,162864,136183,139267,131877,118246,89964,82084,61990,56009,45263,37946,65538,70579,52741,55223,40903,
股东权益不含少数股东权益(万元),123189,131305,124230,122111,113554,108155,116814,115713,111331,106749,114414,112710,107705,105078,111821,109670,106261,103500,109231,106447,102774,99265,106125,104347,33112,30472,29998,27487,22298,
净资产收益率加权(%),11.12,7.13,1.32,14.06,8.16,3.85,1.09,12.28,7.86,4.33,1.42,11.41,7.3,4.9,2.04,11.63,8.19,5.54,2.12,11.52,7.89,4.77,1.97,22.76,0,13.87,17.94,33.47,34.99,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
