报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.01,0.02,-0.03,0.2,0.17,0.15,0.05,-0.03,0.03,0.05,0.09,0.49,0.24,0.23,0.18,0.83,0.92,0.17,
每股净资产(元),2.63,2.65,3.9,3.93,3.89,5.74,5.67,5.59,5.65,8.5,8.62,8.53,8.3,8.28,4.82,4.64,3.91,1.24,
每股经营活动产生的现金流量净额(元),-0.15,-0.02,0.17,-0.29,0.02,0.09,-0.12,0.24,0.2,0.37,0.1,0.52,0.25,0.24,0.34,-0.29,0.39,0.05,
主营业务收入(万元),69893,43424,17118,70608,52000,30442,10918,31620,20546,11184,4352,33002,25875,18772,10408,47400,35066,10032,
主营业务利润(万元),16557,11844,4422,20599,14761,7763,2048,963,-278,-592,14,10153,8555,6747,4050,21805,18291,4145,
营业利润(万元),-5965,45,-2347,1160,931,-733,-1143,-12433,-7386,-4472,-1562,3236,2860,2344,2064,13455,12558,1224,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),8936,1301,940,9547,8033,6054,3106,13460,10231,7270,4098,7540,2092,2019,1174,993,448,277,
利润总额(万元),2971,1346,-1407,10707,8964,5322,1964,1027,2846,2798,2536,10776,4952,4364,3238,14448,13006,1501,
净利润(万元),893,1257,-1407,9091,7482,4415,1454,-862,1020,1429,1731,8734,4209,3709,2752,12465,11181,1474,
净利润(扣除非经常性损益后)(万元),--,232,--,1617,--,-216,--,-11058,--,-4464,--,2849,--,1993,1755,11621,10801,1239,
经营活动产生的现金流量净额(万元),-9878,-1315,7500,-12993,739,2590,-3499,7189,6027,7399,1938,10310,4982,4730,5119,-4286,4721,431,
现金及现金等价物净增加额(万元),12361,-3889,2380,-1750,194,-11493,-6702,-22538,-27774,-25955,-16850,36792,40953,64953,2894,-17289,16242,3736,
总资产(万元),445038,409152,392086,377856,360676,300019,267322,246570,216278,207268,191001,185843,175483,188537,123743,120698,77444,25244,
流动资产(万元),203572,166694,150776,139734,135633,99423,82988,77015,77703,77217,86621,98708,101947,117938,51851,47600,49877,16404,
总负债(万元),267665,229967,216678,201041,185469,127880,97157,78846,46672,37252,18684,15257,9422,22976,51395,51101,18843,13273,
流动负债(万元),171266,122688,107914,109146,115890,77291,57575,55339,44562,35991,17060,13470,7612,7562,32874,32544,16728,8691,
股东权益不含少数股东权益(万元),177373,179184,175408,176815,175207,172139,170164,167725,169606,170015,172317,170586,166062,165561,72349,69597,58602,11971,
净资产收益率加权(%),0.5,0.71,-0.8,5.28,4.36,2.6,0.86,-0.51,0.6,0.83,1.01,6.84,3.73,4.27,3.88,19.56,38.06,17.81,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
