报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-06-30,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),1.75,1.54,0.46,1.11,0.64,--,0.16,0.47,--,0.43,--,0.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,6.89,--,--,--,5.58,--,5.2,--,5.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,3.56,8.1,--,--,1.53,-2,--,-1.09,--,-6.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),2903734,2230144,742847,1788160,1061447,596098,260077,900893,486313,779887,452419,744518,424355,875495,342474,1234862,431266,1243135,959076,1422790,665236,436476,254805,170161,93864,93864,88047,44122,2,190053,116731,122021,153130,421058,
主营业务利润(万元),1667050,1371888,415304,917962,539733,293639,130182,372650,217942,310522,220875,340585,214445,508893,183776,781284,308428,808626,607665,1024135,549574,176824,--,78153,--,-65117,--,-18722,--,16033,34158,-18421,-38649,40136,
营业利润(万元),1667050,1371888,415304,917962,539733,293639,130182,372650,217942,310522,220875,340585,214445,508893,183776,781284,308428,808626,607665,1024135,549574,176824,--,78153,--,-65117,--,-18722,--,16033,34158,-18421,-38649,40136,
投资收益(万元),746466,522048,234917,326577,228185,119165,218,226771,133326,215402,148389,121174,77695,69167,19200,350395,83264,695321,675439,342989,67276,31266,--,8762,--,19288,--,12018,--,17251,11364,22622,38372,6483,
营业外收支净额(万元),29446,1192,50,29698,26479,601,87,19975,1805,24364,20597,26199,-143,11913,1097,55404,1,1542,-1678,-23820,-321,-42840,--,100,--,3478,--,-361,--,14421,279,912,3124,1548,
利润总额(万元),1696496,1373080,415354,947660,566213,294240,130269,392625,219746,334887,241472,366784,214302,520805,184873,836687,308429,810168,605987,1049896,528757,156012,135991,89113,3630,3630,4002,-8917,-1,8146,16602,5113,2847,48166,
净利润(万元),1196111,963762,283536,675791,393350,213825,95194,287897,162619,248997,181136,270880,157941,403124,140008,630152,232350,620186,464649,737758,392120,136245,116975,70204,1109,1109,2037,-10814,-1,5160,15146,5113,1907,35548,
净利润(扣除非经常性损益后)(万元),1174572,963421,283481,653657,373554,--,95165,272953,--,230347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),7497966,11806809,2170219,4941538,1522042,569298,930813,-1220377,--,-628286,--,-2834117,--,-797118,--,3349651,--,-2347657,--,5032059,--,1931637,--,--,--,17232,--,--,--,--,-31786,--,--,--,
现金及现金等价物净增加额(万元),10757993,18836323,2786870,7563899,4031081,1672704,629768,167739,--,-765756,--,-2674666,--,-1171717,--,3604017,--,-2621119,--,5130257,--,1683214,--,--,--,127414,--,--,--,--,31697,--,--,--,
总资产(万元),48135968,59610866,37945723,31930245,--,17456199,--,15535741,11886701,10608039,9428238,9173009,9588622,10726010,9884427,11045099,7192514,7393226,10413132,11158852,8369690,3917210,3422013,3339882,2097637,2097637,1921742,1992548,187,2060706,2785953,3244494,3617219,4987930,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7951725,3559190,--,3122033,--,1875418,--,1764645,--,1823902,2347628,2756168,3128735,4706816,
总负债(万元),38299410,49874304,32397284,27200379,--,13709362,--,12035526,8516280,7352777,6322175,6350464,6817384,8051267,7626423,8715874,5279655,5695535,8832572,8811380,7568207,3503216,3009850,2974423,1820140,1820140,1691908,1769094,165,1826677,2481464,2820560,3196272,4568895,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7213063,3148071,--,2769104,--,1614412,--,1552803,--,1610386,2471001,2820560,3196142,4568765,
股东权益不含少数股东权益(万元),9223845,9130360,4986964,4204047,--,3610371,--,3406517,3268761,3172270,3026892,2743954,2694235,2598542,2247258,2318692,1912858,1688158,1580560,2341388,801483,409363,407461,360700,273118,273118,225599,219251,22,230366,301231,423934,420946,419035,
净资产收益率加权(%),20.2,19.89,6.4,18.04,10.79,--,2.75,8.69,--,8.41,--,10.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
