报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),1.03,1.25,0.58,2.75,--,1.5,0.67,2.4,0,2.14,1.74,
每股净资产(元),--,--,--,--,--,7.58,--,7.56,--,6.69,4.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,2.56,--,2.68,--,2.99,2.35,
主营业务收入(万元),211870,151293,70430,271876,185611,125143,60263,218093,146974,176995,155900,
主营业务利润(万元),115012,84585,40396,165053,112607,77523,38523,136668,94269,108660,97987,
营业利润(万元),22557,22099,11055,38340,24782,21700,9343,30785,22922,26450,22100,
投资收益(万元),96,49,2,23,23,23,23,20,--,21,15,
营业外收支净额(万元),2980,1546,182,2355,1074,854,443,3912,--,2825,3509,
利润总额(万元),25536,23645,11237,40696,25856,22554,9786,34697,24372,29276,25608,
净利润(万元),19958,18201,8413,30113,19403,16443,7320,26294,18921,23424,19086,
净利润(扣除非经常性损益后)(万元),17576,17028,8284,28268,18617,15821,6971,23217,17879,21046,15479,
经营活动产生的现金流量净额(万元),8006,25917,18423,40323,27218,28051,16667,29334,14038,32731,25760,
现金及现金等价物净增加额(万元),-132087,-98543,-2073,135353,5366,4910,4649,-4690,-10354,12996,10330,
总资产(万元),339178,312475,368618,373302,236278,221173,--,209859,--,189446,155710,
流动资产(万元),190237,192986,250125,255589,125120,112616,--,108560,--,103520,80176,
总负债(万元),89572,68998,131332,145333,144610,132613,--,122957,--,113608,101363,
流动负债(万元),63773,44326,91172,105441,105090,96224,--,97207,--,97146,82938,
股东权益不含少数股东权益(万元),234284,234750,230096,221623,86019,83055,--,82833,--,73302,52920,
净资产收益率加权(%),8.56,7.89,3.73,34.48,--,19.21,8.46,35.14,--,37.87,44.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
