报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.2,0.18,-0.02,0.72,0.38,0.34,0.02,0.85,0.41,0.37,0.02,0.79,0.7,0.49,0.43,0.32,
每股净资产(元),3.17,3.15,5.99,6.01,5.68,5.64,5.42,4.09,--,3.93,--,3.56,2.77,2.17,1.68,1.24,
每股经营活动产生的现金流量净额(元),-0.64,-0.57,-0.99,-0.58,-1.28,-0.99,-1.16,0.25,--,-1.27,-0.93,0.08,0.73,0.58,0.25,0.16,
主营业务收入(万元),19566,13678,3342,27883,17029,12119,2866,27977,17671,11463,2239,25853,23482,17974,14785,10325,
主营业务利润(万元),6180,4715,1198,8747,5671,4578,1292,8735,5498,4143,944,7641,6215,4575,3502,2833,
营业利润(万元),2622,2367,-133,4419,2313,2235,102,4950,2392,2130,101,4549,3951,2771,2427,1833,
投资收益(万元),111,--,--,93,93,93,--,80,80,80,--,80,67,53,500,334,
营业外收支净额(万元),3,3,1,283,208,8,8,17,-1,--,--,81,150,120,60,42,
利润总额(万元),2625,2370,-132,4701,2522,2243,110,4967,2391,2130,101,4631,4101,2891,2486,1875,
净利润(万元),2273,2079,-121,4060,2164,1927,94,4274,2072,1840,78,3971,3503,2474,2162,1614,
净利润(扣除非经常性损益后)(万元),--,2076,--,3726,--,1826,--,4179,1993,1760,--,3822,3310,2318,1687,1250,
经营活动产生的现金流量净额(万元),-7365,-6476,-5667,-3292,-7291,-5682,-6653,1246,-7536,-6333,-4654,402,3636,2883,1253,805,
现金及现金等价物净增加额(万元),-8455,-5735,-4173,5209,2537,4193,3776,-1026,-8123,-6588,-4847,352,2712,2174,1645,378,
总资产(万元),48518,48644,44326,50153,40280,40679,35781,31080,26120,24751,--,28498,20486,15178,11116,8796,
流动资产(万元),42385,43301,39174,45432,37338,37626,32669,27828,22671,21613,--,25262,17049,11723,7926,5048,
总负债(万元),12203,12527,9999,15782,7805,8442,4805,10645,7887,5105,--,10692,6651,4318,2730,2572,
流动负债(万元),11870,12194,9666,15450,7483,8120,4513,10353,7595,4813,--,10400,6359,3981,2393,2255,
股东权益不含少数股东权益(万元),36215,36021,34250,34371,32475,32237,30976,20435,18233,19646,--,17806,13835,10859,8386,6223,
净资产收益率加权(%),6.44,5.87,-0.35,12.78,7.68,6.4,0.38,21.88,11,9.83,0.44,25.1,27.78,25.71,29.6,29.83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
